date_obj,Bucket%20helm price
2016-07-06,2591412
2016-07-07,2698721
2016-07-08,2815460
2016-07-09,2928151
2016-07-10,2928151
2016-07-11,3051724
2016-07-12,3051724
2016-07-13,3051724
2016-07-14,3171828
2016-07-15,3171828
2016-07-16,3171828
2016-07-17,3113426
2016-07-18,3113426
2016-07-23,2959471
2016-07-24,2959471
2016-07-25,2811497
2016-07-26,2811497
2016-07-27,2670922
2016-07-28,2670922
2016-07-29,2540157
2016-07-30,2540157
2016-07-31,2540157
2016-08-01,2426393
2016-08-02,2426393
2016-08-03,2314920
2016-08-04,2314920
2016-08-05,2314920
2016-08-06,2314920
2016-08-07,2203049
2016-08-08,2203049
2016-08-09,2203049
2016-08-10,2092896
2016-08-11,2092896
2016-08-12,2092896
2016-08-13,2092896
2016-08-14,1988264
2016-08-15,1988264
2016-08-16,1988264
2016-08-17,1890854
2016-08-18,1890854
2016-08-19,1890854
2016-08-20,1890854
2016-08-21,1796311
2016-08-22,1796311
2016-08-23,1796311
2016-08-24,1706495
2016-08-25,1706495
2016-08-26,1706495
2016-08-28,1622725
2016-08-31,1541588
2016-09-01,1541588
2016-09-02,1541588
2016-09-03,1464508
2016-09-04,1464508
2016-09-05,1391282
2016-09-06,1391282
2016-09-07,1391282
2016-09-08,1326090
2016-09-09,1326090
2016-09-10,1326090
2016-09-11,1326090
2016-09-12,1259785
2016-09-13,1259785
2016-09-14,1259785
2016-09-15,1196826
2016-09-16,1196826
2016-09-17,1196826
2016-09-18,1138503
2016-09-19,1138503
2016-09-20,1138503
2016-09-21,1083173
2016-09-22,1083173
2016-09-23,1083173
2016-09-24,1030344
2016-09-25,1030344
2016-09-26,1030344
2016-09-27,980436
2016-09-28,980436
2016-09-29,980436
2016-09-30,931414
2016-10-01,931414
2016-10-02,931414
2016-10-03,931414
2016-10-04,884843
2016-10-05,884843
2016-10-06,884843
2016-10-07,884843
2016-10-08,840600
2016-10-09,840600
2016-10-10,840600
2016-10-11,840600
2016-10-12,798570
2016-10-13,798570
2016-10-14,759676
2016-10-15,759676
2016-10-16,759676
2016-10-17,721692
2016-10-18,721692
2016-10-19,721692
2016-10-20,685607
2016-10-21,685607
2016-10-22,685607
2016-10-23,651326
2016-10-24,651326
2016-10-25,651326
2016-10-26,620588
2016-10-27,620588
2016-10-28,620588
2016-10-29,620588
2016-10-30,596410
2016-10-31,596410
2016-11-01,596410
2016-11-02,568343
2016-11-03,568343
2016-11-04,568343
2016-11-05,540446
2016-11-06,540446
2016-11-07,515541
2016-11-08,515541
2016-11-09,515541
2016-11-10,502530
2016-11-11,502530
2016-11-12,502530
2016-11-13,481015
2016-11-14,481015
2016-11-15,481015
2016-12-07,316734
2016-12-08,301180
2016-12-09,301180
2016-12-10,301180
2016-12-11,299313
2016-12-12,299313
2016-12-13,299313
2016-12-14,308617
2016-12-15,308617
2016-12-16,308617
2016-12-17,300548
2016-12-18,300548
2016-12-19,300548
2016-12-20,286849
2016-12-21,286849
2016-12-22,286849
2016-12-23,274020
2016-12-24,274020
2016-12-25,274020
2016-12-26,263065
2016-12-27,263065
2016-12-28,252988
2016-12-29,252988
2016-12-30,245352
2016-12-31,245352
2017-01-01,245352
2017-01-02,246605
2017-01-03,246605
2017-01-04,246605
2017-01-05,254746
2017-01-06,254746
2017-01-07,251376
2017-01-08,251376
2017-01-09,242052
2017-01-10,242052
2017-01-11,242052
2017-01-12,235710
2017-01-13,235710
2017-01-14,235710
2017-01-15,229497
2017-01-16,229497
2017-01-17,224551
2017-01-18,224551
2017-01-19,224551
2017-01-20,224089
2017-01-21,224089
2017-01-22,224089
2017-01-23,224196
2017-01-27,222158
2017-01-28,223233
2017-01-29,223233
2017-01-30,223233
2017-01-31,220344
2017-02-01,220344
2017-02-02,214498
2017-02-03,214498
2017-02-04,214498
2017-02-05,210564
2017-02-06,210564
2017-02-07,210564
2017-02-08,205813
2017-02-09,205813
2017-02-10,196817
2017-02-11,196817
2017-02-12,196817
2017-02-13,189826
2017-02-14,189826
2017-02-15,189826
2017-02-16,182326
2017-02-18,182326
2017-02-19,177228
2017-02-20,177228
2017-02-21,177228
2017-02-22,172618
2017-02-23,172618
2017-02-24,172618
2017-02-25,165624
2017-02-26,165624
2017-02-27,165624
2017-02-28,158665
2017-03-01,158665
2017-03-02,158665
2017-03-03,151536
2017-03-04,151536
2017-03-05,151536
2017-03-06,146677
2017-03-07,146677
2017-03-08,146677
2017-03-09,142429
2017-03-10,142429
2017-03-11,136790
2017-03-12,136790
2017-03-13,134900
2017-03-14,134900
2017-03-15,131644
2017-03-16,131644
2017-03-17,130204
2017-03-18,130204
2017-03-19,127888
2017-03-20,127888
2017-03-21,128371
2017-03-22,128371
2017-03-23,128371
2017-03-24,128503
2017-03-25,128503
2017-03-26,128503
2017-03-27,129825
2017-03-28,129825
2017-03-29,129825
2017-03-30,128121
2017-03-31,128121
2017-04-01,129240
2017-04-02,129240
2017-04-03,128288
2017-04-04,128288
2017-04-12,131257
2017-04-13,131257
2017-04-14,131257
2017-04-15,130036
2017-04-16,130036
2017-04-17,129821
2017-04-18,129821
2017-04-19,129821
2017-04-20,134528
2017-04-21,134528
2017-04-22,134528
2017-04-23,133023
2017-04-24,133023
2017-04-25,131426
2017-04-26,131426
2017-04-27,131426
2017-04-28,131426
2017-04-29,127150
2017-04-30,127150
2017-05-01,126311
2017-05-02,126311
2017-05-03,131317
2017-05-04,131317
2017-05-05,133752
2017-05-06,133752
2017-05-07,133752
2017-05-08,132930
2017-05-09,132930
2017-05-10,132930
2017-05-11,131713
2017-05-12,131713
2017-05-13,131828
2017-05-14,131828
2017-05-15,131828
2017-05-16,131364
2017-05-17,131364
2017-05-18,131364
2017-05-19,131364
2017-05-20,127694
2017-05-21,127694
2017-05-22,127694
2017-05-23,127694
2017-05-24,121720
2017-05-25,121720
2017-05-26,121720
2017-05-27,116635
2017-05-28,116635
2017-05-29,115379
