date_obj,Ancestral%20robes%20set price
2017-01-18,114890404
2017-01-19,114890404
2017-01-20,114890404
2017-01-21,119698335
2017-01-22,119698335
2017-01-23,119698335
2017-01-27,124308271
2017-01-28,129961568
2017-01-29,129961568
2017-01-30,129961568
2017-01-31,136174017
2017-02-01,136174017
2017-02-02,136174017
2017-02-03,142168955
2017-02-04,142168955
2017-02-05,142168955
2017-02-06,142168955
2017-02-07,148733135
2017-02-08,148733135
2017-02-09,148733135
2017-02-10,148733135
2017-02-11,155520371
2017-02-12,155520371
2017-02-13,155520371
2017-02-14,155520371
2017-02-15,155520371
2017-02-16,162926103
2017-02-17,162926103
2017-02-18,162926103
2017-02-19,162926103
2017-02-20,162926103
2017-02-21,170451874
2017-02-22,170451874
2017-02-23,170451874
2017-02-24,170451874
2017-02-25,177962719
2017-02-26,177962719
2017-02-27,177962719
2017-02-28,186402188
2017-03-01,186402188
2017-03-02,186402188
2017-03-03,186402188
2017-03-04,186402188
2017-03-05,186402188
2017-03-06,194859303
2017-03-07,194859303
2017-03-08,194859303
2017-03-09,194859303
2017-03-10,203305400
2017-03-11,203305400
2017-03-12,203305400
2017-03-13,203305400
2017-03-14,212376611
2017-03-15,212376611
2017-03-16,212376611
2017-03-17,221324770
2017-03-18,221324770
2017-03-19,221324770
2017-03-20,230823288
2017-03-21,230823288
2017-03-22,230823288
2017-03-23,240728227
2017-03-24,240728227
2017-03-25,240728227
2017-03-26,240728227
2017-03-27,251262397
2017-03-28,251262397
2017-03-29,251262397
2017-03-30,262387174
2017-03-31,262387174
2017-04-01,262387174
2017-04-02,262387174
2017-04-03,273700860
2017-04-04,273700860
2017-04-05,273700860
2017-04-12,297354628
2017-04-13,297354628
2017-04-14,297354628
2017-04-15,297354628
2017-04-16,297354628
2017-04-17,308579741
2017-04-18,308579741
2017-04-19,308579741
2017-04-20,308579741
2017-04-21,308579741
2017-04-22,321150303
2017-04-23,321150303
2017-04-24,321150303
2017-04-25,321150303
2017-04-26,321150303
2017-04-27,321150303
2017-04-28,332776528
2017-04-29,332776528
2017-04-30,332776528
2017-05-01,332776528
2017-05-02,332776528
2017-05-03,336792021
2017-05-04,336792021
2017-05-05,336792021
2017-05-06,336792021
2017-05-07,343159736
2017-05-08,343159736
2017-05-09,343159736
2017-05-10,330582050
2017-05-11,330582050
2017-05-12,330582050
2017-05-13,320298544
2017-05-14,320298544
2017-05-15,320298544
2017-05-16,320298544
2017-05-17,325121864
2017-05-18,325121864
2017-05-19,325121864
2017-05-20,329586931
2017-05-21,329586931
2017-05-22,329586931
2017-05-23,329586931
2017-05-24,332362376
2017-05-25,332362376
2017-05-26,317363966
2017-05-27,317363966
2017-05-28,317363966
2017-05-29,302691393
2017-05-30,302691393
2017-05-31,302691393
2017-06-01,301771489
2017-06-02,301771489
