date_obj,Raw%20chompy price
2015-03-26,8936
2015-03-27,8936
2015-03-28,8489
2015-03-29,8489
2015-03-30,8489
2015-03-31,8489
2015-04-01,8089
2015-04-02,8089
2015-04-03,8089
2015-04-04,8089
2015-04-05,7697
2015-04-06,7697
2015-04-07,7697
2015-04-08,7697
2015-04-09,7697
2015-04-10,7312
2015-04-11,7312
2015-04-12,7312
2015-04-13,7312
2015-04-14,7312
2015-04-15,6953
2015-04-16,6953
2015-04-17,6953
2015-04-18,6953
2015-04-19,6611
2015-04-20,6611
2015-04-21,6611
2015-04-22,6611
2015-04-23,6611
2015-04-24,6280
2015-04-25,6280
2015-04-26,6280
2015-04-27,6280
2015-04-28,5966
2015-04-29,5966
2015-04-30,5966
2015-05-01,5966
2015-05-02,5691
2015-05-03,5691
2015-05-04,5691
2015-05-05,5691
2015-05-06,5691
2015-05-07,5406
2015-05-08,5406
2015-05-09,5406
2015-05-10,5406
2015-05-11,5136
2015-05-12,5136
2015-05-13,5136
2015-05-14,5136
2015-05-15,4977
2015-05-16,4977
2015-05-17,4977
2015-05-18,4977
2015-05-19,4761
2015-05-20,4761
2015-05-21,4761
2015-05-22,4761
2015-05-23,4761
2015-05-24,4531
2015-05-25,4531
2015-05-26,4531
2015-05-27,4531
2015-05-28,4422
2015-05-29,4422
2015-05-30,4422
2015-05-31,4465
2015-06-01,4465
2015-06-02,4465
2015-06-03,4465
2015-06-04,4658
2015-06-05,4658
2015-06-06,4658
2015-06-07,4724
2015-06-08,4724
2015-06-09,4724
2015-06-10,4670
2015-06-11,4670
2015-06-12,4670
2015-06-13,4670
2015-06-14,4493
2015-06-15,4493
2015-06-16,4493
2015-06-17,4493
2015-06-18,4375
2015-06-19,4375
2015-06-20,4375
2015-06-21,4375
2015-06-22,4167
2015-06-23,4167
2015-06-24,4167
2015-06-25,4167
2015-06-26,4017
2015-06-27,4017
2015-06-28,4017
2015-06-29,4017
2015-06-30,3818
2015-07-01,3818
2015-07-02,3818
2015-07-03,3638
2015-07-04,3638
2015-07-05,3638
2015-07-06,3638
2015-07-07,3457
2015-07-08,3457
2015-07-09,3457
2015-07-10,3457
2015-07-11,3373
2015-07-12,3373
2015-07-13,3373
2015-07-14,3277
2015-07-15,3277
2015-07-16,3277
2015-07-17,3178
2015-07-18,3178
2015-07-19,3178
2015-07-20,3178
2015-07-21,3101
2015-07-22,3101
2015-07-23,3101
2015-07-24,3210
2015-07-25,3210
2015-07-26,3210
2015-07-27,3210
2015-07-28,3347
2015-07-29,3347
2015-07-30,3347
2015-07-31,3429
2015-08-01,3429
2015-08-02,3429
2015-08-03,3326
2015-08-04,3326
2015-08-05,3326
2015-08-06,3326
2015-08-07,3418
2015-08-08,3418
2015-08-09,3418
2015-08-10,3542
2015-08-11,3542
2015-08-12,3542
2015-08-13,3542
2015-08-14,3529
2015-08-15,3529
2015-08-16,3529
2015-08-17,3529
2015-08-18,3580
2015-08-19,3580
2015-08-20,3580
