date_obj,Xerician%20top price
2016-01-08,927
2016-01-09,974
2016-01-10,1023
2016-01-11,1075
2016-01-12,1129
2016-01-13,1186
2016-01-14,1246
2016-01-15,1309
2016-01-16,1375
2016-01-17,1444
2016-01-18,1517
2016-01-19,1593
2016-01-20,1673
2016-01-21,1757
2016-01-22,1845
2016-01-23,1938
2016-01-24,2025
2016-01-25,2127
2016-01-26,2233
2016-01-27,2345
2016-01-28,2345
2016-01-29,2463
2016-01-30,2575
2016-01-31,2704
2016-02-01,2840
2016-02-02,2970
2016-02-03,3119
2016-02-04,3272
2016-02-05,3435
2016-02-06,3607
2016-02-07,3776
2016-02-08,3957
2016-02-09,4129
2016-02-10,4336
2016-02-11,4530
2016-02-12,4752
2016-02-13,4990
2016-02-14,5158
2016-02-15,5416
2016-02-16,5687
2016-02-17,5972
2016-02-18,6261
2016-02-19,6575
2016-02-20,6904
2016-02-21,7250
2016-02-22,7250
2016-02-23,7613
2016-02-24,7985
2016-02-25,8385
2016-02-26,8796
2016-02-27,9236
2016-02-28,9698
2016-02-29,10183
2016-03-01,10693
2016-03-02,11218
2016-03-03,11779
2016-03-04,12368
2016-03-05,12987
2016-03-06,13634
2016-03-07,14316
2016-03-08,15032
2016-03-09,15784
2016-03-10,16574
2016-03-11,17356
2016-03-12,17875
2016-03-13,17621
2016-03-14,17677
2016-03-15,17735
2016-03-16,17256
2016-03-17,16841
2016-03-18,16909
2016-03-19,17350
2016-03-20,17027
2016-03-21,16476
2016-03-22,16869
2016-03-23,17501
2016-03-24,18206
2016-03-25,19075
2016-03-26,19430
2016-03-27,20258
2016-03-28,20172
2016-03-29,19577
2016-03-30,19577
2016-03-31,18994
2016-04-01,18899
2016-04-02,19630
2016-04-03,20196
2016-04-04,21199
2016-04-05,21951
2016-04-06,22273
2016-04-07,22651
2016-04-08,22287
2016-04-09,22391
2016-04-10,22846
2016-04-11,22846
2016-04-12,23322
2016-04-13,22932
2016-04-14,22936
2016-04-15,23089
2016-04-16,23360
2016-04-17,23345
2016-04-18,23135
2016-04-19,22847
