date_obj,Black%20gold-trimmed%20set%20(lg) price
2015-03-26,482144
2015-03-27,482144
2015-03-28,482144
2015-03-29,482144
2015-03-30,482144
2015-03-31,459062
2015-04-01,459062
2015-04-02,459062
2015-04-03,459062
2015-04-04,459062
2015-04-05,459062
2015-04-06,459062
2015-04-07,436922
2015-04-08,436922
2015-04-09,436922
2015-04-10,436922
2015-04-11,436922
2015-04-12,436922
2015-04-13,436922
2015-04-14,416058
2015-04-15,416058
2015-04-16,416058
2015-04-17,416058
2015-04-18,416058
2015-04-19,416058
2015-04-20,396123
2015-04-21,396123
2015-04-22,396123
2015-04-23,396123
2015-04-24,396123
2015-04-25,396123
2015-04-26,396123
2015-04-27,377183
2015-04-28,377183
2015-04-29,377183
2015-04-30,377183
2015-05-01,377183
2015-05-02,377183
2015-05-03,359424
2015-05-04,359424
2015-05-05,359424
2015-05-06,359424
2015-05-07,359424
2015-05-08,359424
2015-05-09,359424
2015-05-10,342570
2015-05-11,342570
2015-05-12,342570
2015-05-13,342570
2015-05-14,342570
2015-05-15,342570
2015-05-16,342570
2015-05-17,325743
2015-05-18,325743
2015-05-19,325743
2015-05-20,325743
2015-05-21,325743
2015-05-22,325743
2015-05-23,325743
2015-05-24,325743
2015-05-25,309585
2015-05-26,309585
2015-05-27,309585
2015-05-28,309585
2015-05-29,310210
2015-05-30,310210
2015-05-31,310210
2015-06-01,310210
2015-06-02,301137
2015-06-03,301137
2015-06-04,301137
2015-06-05,301137
2015-06-06,295487
2015-06-07,295487
2015-06-08,295487
2015-06-09,295487
2015-06-10,294394
2015-06-11,294394
2015-06-12,294394
2015-06-13,294394
2015-06-14,294394
2015-06-15,296192
2015-06-16,296192
2015-06-17,296192
2015-06-18,296192
2015-06-19,301821
2015-06-20,301821
2015-06-21,301821
2015-06-22,301821
2015-06-23,301821
2015-06-24,302901
2015-06-25,302901
2015-06-26,302901
2015-06-27,302901
2015-06-28,302901
2015-06-29,302581
2015-06-30,302581
2015-07-01,302581
2015-07-02,302581
2015-07-03,302581
2015-07-04,314026
2015-07-05,314026
2015-07-06,314026
2015-07-07,314026
2015-07-08,314026
2015-07-09,327432
2015-07-10,327432
2015-07-11,327432
2015-07-12,327432
2015-07-13,327432
2015-07-14,340519
2015-07-15,340519
2015-07-16,340519
2015-07-17,340519
2015-07-18,340519
2015-07-19,352326
2015-07-20,352326
2015-07-21,352326
2015-07-22,352326
2015-07-23,352326
2015-07-24,361430
2015-07-25,361430
2015-07-26,361430
2015-07-27,361430
2015-07-28,361430
2015-07-29,374903
2015-07-30,374903
2015-07-31,374903
2015-08-01,374903
2015-08-02,388058
2015-08-03,388058
2015-08-04,388058
2015-08-05,388058
2015-08-06,397283
2015-08-07,397283
2015-08-08,397283
2015-08-09,397283
2015-08-10,397283
2015-08-11,398356
2015-08-12,398356
2015-08-13,398356
2015-08-14,398356
2015-08-15,398356
2015-08-16,391117
2015-08-17,391117
2015-08-18,391117
2015-08-19,391117
2015-08-20,383859
2015-08-21,383859
2015-08-22,383859
2015-08-23,383859
2015-08-24,374009
2015-08-25,374009
2015-08-26,374009
2015-08-27,374009
2015-08-28,374009
2015-08-29,366249
2015-08-30,366249
2015-08-31,366249
2015-09-01,366249
2015-09-02,366249
2015-09-03,364699
2015-09-04,364699
2015-09-05,364699
2015-09-06,364699
