date_obj,Samurai%20greaves price
2016-07-06,7500000
2016-07-07,7500000
2016-07-08,7500000
2016-07-09,7452887
2016-07-10,7452887
2016-07-11,7452887
2016-07-12,7452887
2016-07-13,7452887
2016-07-14,7452887
2016-07-15,7080242
2016-07-16,7080242
2016-07-17,7080242
2016-07-18,7080242
2016-07-23,6726229
2016-07-24,6726229
2016-07-25,6726229
2016-07-26,6726229
2016-07-27,6726229
2016-07-28,6726229
2016-07-29,6389917
2016-07-30,6389917
2016-07-31,6389917
2016-08-01,6389917
2016-08-02,6389917
2016-08-03,6389917
2016-08-04,6389917
2016-08-05,6072047
2016-08-06,6072047
2016-08-07,6072047
2016-08-08,6072047
2016-08-09,6072047
2016-08-10,6072047
2016-08-11,6072047
2016-08-12,6072047
2016-08-13,5773305
2016-08-14,5773305
2016-08-15,5773305
2016-08-16,5773305
2016-08-17,5773305
2016-08-18,5773305
2016-08-19,5773305
2016-08-20,5488293
2016-08-21,5488293
2016-08-22,5488293
2016-08-23,5488293
2016-08-24,5488293
2016-08-25,5488293
2016-08-26,5218061
2016-08-28,5218061
2016-08-31,5218061
2016-09-01,4962059
2016-09-02,4962059
2016-09-03,4962059
2016-09-04,4962059
2016-09-05,4962059
2016-09-06,4962059
2016-09-07,4962059
2016-09-08,4962059
2016-09-09,4962059
2016-09-10,4716525
2016-09-11,4716525
2016-09-12,4716525
2016-09-13,4716525
2016-09-14,4716525
2016-09-15,4716525
2016-09-16,4716525
2016-09-17,4716525
2016-09-18,4483895
2016-09-19,4483895
2016-09-20,4483895
2016-09-21,4483895
2016-09-22,4483895
2016-09-23,4483895
2016-09-24,4483895
2016-09-25,4483895
2016-09-26,4261037
2016-09-27,4261037
2016-09-28,4261037
2016-09-29,4261037
2016-09-30,4261037
2016-10-01,4261037
2016-10-02,4261037
2016-10-03,4261037
2016-10-04,4050808
2016-10-05,4050808
2016-10-06,4050808
2016-10-07,4050808
2016-10-08,4050808
2016-10-09,4050808
