date_obj,Uncooked%20berry%20pie price
2015-03-26,5385
2015-03-27,5385
2015-03-28,5385
2015-03-29,5385
2015-03-30,5385
2015-03-31,5385
2015-04-01,5385
2015-04-02,5385
2015-04-03,5385
2015-04-04,5385
2015-04-05,5385
2015-04-06,5385
2015-04-07,5385
2015-04-08,5385
2015-04-09,5385
2015-04-10,5385
2015-04-11,5385
2015-04-12,5385
2015-04-13,5385
2015-04-14,5385
2015-04-15,5385
2015-04-16,5385
2015-04-17,5385
2015-04-18,5385
2015-04-19,5385
2015-04-20,5385
2015-04-21,5385
2015-04-22,5385
2015-04-23,5385
2015-04-24,5385
2015-04-25,5385
2015-04-26,5385
2015-04-27,5385
2015-04-28,5385
2015-04-29,5385
2015-04-30,5385
2015-05-01,5385
2015-05-02,5385
2015-05-03,5385
2015-05-04,5385
2015-05-05,5385
2015-05-06,5385
2015-05-07,5385
2015-05-08,5385
2015-05-09,5385
2015-05-10,5385
2015-05-11,5385
2015-05-12,5385
2015-05-13,5385
2015-05-14,5385
2015-05-15,5385
2015-05-16,5141
2015-05-17,5141
2015-05-18,5141
2015-05-19,5141
2015-05-20,5141
2015-05-21,5141
2015-05-22,5141
2015-05-23,5141
2015-05-24,5141
2015-05-25,5141
2015-05-26,5141
2015-05-27,5141
2015-05-28,5141
2015-05-29,5141
2015-05-30,5141
2015-05-31,5141
2015-06-01,5141
2015-06-02,5141
2015-06-03,5141
2015-06-04,5141
2015-06-05,5141
2015-06-06,5141
2015-06-07,5141
2015-06-08,5141
2015-06-09,5141
2015-06-10,5141
2015-06-11,5141
2015-06-12,5141
2015-06-13,5141
2015-06-14,5141
2015-06-15,5141
2015-06-16,5141
2015-06-17,5141
2015-06-18,5141
2015-06-19,5141
2015-06-20,5141
2015-06-21,5141
2015-06-22,5141
2015-06-23,5141
2015-06-24,5141
2015-06-25,5141
2015-06-26,5141
2015-06-27,5141
2015-06-28,5141
2015-06-29,5141
2015-06-30,5141
2015-07-01,5141
2015-07-02,5141
2015-07-03,4893
2015-07-04,4893
2015-07-05,4893
2015-07-06,4893
2015-07-07,4893
2015-07-08,4893
2015-07-09,4893
2015-07-10,4893
2015-07-11,4893
2015-07-12,4893
2015-07-13,4893
2015-07-14,4893
2015-07-15,4893
2015-07-16,4893
2015-07-17,4893
2015-07-18,4893
2015-07-19,4893
2015-07-20,4893
2015-07-21,4893
2015-07-22,4893
2015-07-23,4893
2015-07-24,4893
2015-07-25,4893
2015-07-26,4893
2015-07-27,4893
2015-07-28,4893
2015-07-29,4893
2015-07-30,4893
2015-07-31,4893
2015-08-01,4893
2015-08-02,4893
2015-08-03,4893
2015-08-04,4893
2015-08-05,4893
2015-08-06,4893
2015-08-07,4893
2015-08-08,4893
2015-08-09,4893
2015-08-10,4893
2015-08-11,4893
2015-08-12,4893
2015-08-13,4893
2015-08-14,4893
2015-08-15,4893
2015-08-16,4661
2015-08-17,4661
2015-08-18,4661
2015-08-19,4661
2015-08-20,4661
2015-08-21,4661
2015-08-22,4661
2015-08-23,4661
2015-08-24,4661
2015-08-25,4661
2015-08-26,4661
2015-08-27,4661
2015-08-28,4661
2015-08-29,4661
2015-08-30,4661
2015-08-31,4661
2015-09-01,4661
2015-09-02,4661
2015-09-03,4661
2015-09-04,4661
2015-09-05,4661
2015-09-06,4661
2015-09-07,4661
2015-09-08,4661
2015-09-09,4661
2015-09-10,4661
2015-09-11,4661
2015-09-12,4661
2015-09-13,4661
2015-09-14,4661
2015-09-15,4661
2015-09-16,4661
2015-09-17,4661
2015-09-18,4661
2015-09-19,4661
2015-09-20,4661
2015-09-21,4661
2015-09-22,4661
2015-09-23,4661
2015-09-24,4661
2015-09-25,4661
2015-09-27,4661
2015-09-28,4661
2015-09-29,4661
2015-09-30,4661
2015-10-05,4661
2015-10-06,4661
2015-10-07,4444
2015-10-08,4444
2015-10-09,4444
2015-10-10,4444
2015-10-11,4444
2015-10-12,4444
2015-10-13,4444
2015-10-14,4444
2015-10-15,4444
2015-10-16,4444
2015-10-17,4444
2015-10-18,4444
2015-10-19,4444
2015-10-20,4444
2015-10-22,4444
2015-10-23,4444
2015-10-24,4444
2015-10-25,4444
2015-10-26,4444
2015-10-27,4444
2015-10-29,4444
2015-10-30,4444
2015-10-31,4444
2015-11-01,4444
2015-11-02,4444
2015-11-03,4444
2015-11-04,4444
2015-11-05,4444
2015-11-06,4444
2015-11-07,4444
2015-11-08,4444
2015-11-09,4444
2015-11-10,4444
2015-11-11,4444
2015-11-12,4444
2015-11-13,4444
2015-11-14,4444
2015-11-15,4444
2015-11-16,4444
2015-11-17,4444
2015-11-18,4444
2015-11-19,4444
2015-11-20,4444
2015-11-21,4444
2015-11-22,4444
2015-11-23,4444
2015-11-24,4444
2015-11-25,4444
2015-11-26,4444
2015-11-27,4444
2015-11-28,4444
2015-11-29,4249
2015-11-30,4249
2015-12-01,4249
2015-12-02,4249
2015-12-03,4249
2015-12-04,4249
2015-12-05,4249
2015-12-06,4249
2015-12-07,4249
2015-12-08,4249
2015-12-09,4249
2015-12-10,4249
2015-12-11,4249
2015-12-13,4249
2015-12-14,4249
2015-12-15,4249
2015-12-16,4249
2015-12-17,4249
2015-12-18,4249
2015-12-19,4249
2015-12-20,4249
2015-12-21,4249
2015-12-22,4249
2015-12-23,4249
2015-12-24,4249
2015-12-25,4249
2015-12-26,4249
2015-12-27,4249
2015-12-28,4249
2015-12-29,4249
2015-12-30,4249
2015-12-31,4249
2016-01-01,4249
2016-01-02,4249
2016-01-03,4249
2016-01-04,4249
2016-01-05,4249
2016-01-06,4249
2016-01-07,4249
2016-01-08,4249
2016-01-09,4249
2016-01-10,4249
2016-01-11,4249
2016-01-12,4249
2016-01-13,4249
2016-01-14,4249
2016-01-15,4249
2016-01-16,4249
2016-01-17,4249
2016-01-18,4249
2016-01-19,4249
2016-01-20,4047
2016-01-21,4047
2016-01-22,4047
2016-01-23,4047
2016-01-24,4047
2016-01-25,4047
2016-01-26,4047
2016-01-27,4047
2016-01-28,4047
2016-01-29,4047
2016-01-30,4047
2016-01-31,4047
2016-02-01,4047
2016-02-02,4047
2016-02-03,4047
2016-02-04,4047
2016-02-05,4047
2016-02-06,4047
2016-02-07,4047
2016-02-08,4047
2016-02-09,4047
2016-02-10,3858
2016-02-11,3858
2016-02-12,3858
2016-02-13,3858
