date_obj,Dragon%20plateskirt price
2015-03-26,184707
2015-03-27,184707
2015-03-28,185584
2015-03-29,184899
2015-03-30,184922
2015-03-31,184922
2015-04-01,185195
2015-04-02,185195
2015-04-03,185286
2015-04-04,184282
2015-04-05,184282
2015-04-06,183576
2015-04-07,182464
2015-04-08,182464
2015-04-09,182450
2015-04-10,184615
2015-04-11,185149
2015-04-12,185149
2015-04-13,186300
2015-04-14,186300
2015-04-15,185854
2015-04-16,185854
2015-04-17,185280
2015-04-18,182725
2015-04-19,185253
2015-04-20,185253
2015-04-21,186051
2015-04-22,186051
2015-04-23,187005
2015-04-24,187005
2015-04-25,184592
2015-04-26,184592
2015-04-27,182407
2015-04-28,182770
2015-04-29,182770
2015-04-30,184153
2015-05-01,185441
2015-05-02,185112
2015-05-03,185112
2015-05-04,185641
2015-05-05,185641
2015-05-06,186934
2015-05-07,186934
2015-05-08,185036
2015-05-09,182359
2015-05-10,184421
2015-05-11,184421
2015-05-12,184637
2015-05-13,184637
2015-05-14,185140
2015-05-15,185140
2015-05-16,185126
2015-05-17,185908
2015-05-18,185908
2015-05-19,186538
2015-05-20,186538
2015-05-21,186538
2015-05-22,187162
2015-05-23,187162
2015-05-24,184654
2015-05-25,183645
2015-05-26,183645
2015-05-27,183138
2015-05-28,184705
2015-05-29,185224
2015-05-30,184518
2015-05-31,183073
2015-06-01,183207
2015-06-02,183207
2015-06-03,186400
2015-06-04,184941
2015-06-05,181913
2015-06-06,184439
2015-06-07,181374
2015-06-08,183511
2015-06-09,182238
2015-06-10,181672
2015-06-11,181672
2015-06-12,182524
2015-06-13,184635
2015-06-14,185870
2015-06-15,185287
2015-06-16,185189
2015-06-17,183040
2015-06-18,185820
2015-06-19,185379
2015-06-20,185840
2015-06-21,185840
2015-06-22,183288
2015-06-23,184956
2015-06-24,182864
2015-06-25,182864
2015-06-26,185823
2015-06-27,185823
2015-06-28,185829
2015-06-29,185116
2015-06-30,183957
2015-07-01,183713
2015-07-02,183713
2015-07-03,184652
2015-07-04,183141
2015-07-05,185331
2015-07-06,185511
2015-07-07,186297
2015-07-08,187654
2015-07-09,187654
2015-07-10,184093
2015-07-11,184093
2015-07-12,185095
2015-07-13,185278
2015-07-14,181461
2015-07-15,182553
2015-07-16,184416
2015-07-17,182766
2015-07-18,182766
2015-07-19,184075
2015-07-20,182919
2015-07-21,183948
2015-07-22,184895
2015-07-23,184895
2015-07-24,185161
2015-07-25,185038
2015-07-26,183223
2015-07-27,184946
2015-07-28,185453
2015-07-29,186048
2015-07-30,185913
2015-07-31,185913
2015-08-01,184983
2015-08-02,184914
2015-08-03,184190
2015-08-04,184190
2015-08-05,185342
2015-08-06,186368
2015-08-07,186368
2015-08-08,185795
2015-08-09,185443
2015-08-10,185531
2015-08-11,184495
2015-08-12,184495
2015-08-13,184009
2015-08-14,185748
2015-08-15,185748
2015-08-16,184858
2015-08-17,184042
2015-08-18,183364
2015-08-19,184763
2015-08-20,184763
2015-08-21,185636
2015-08-22,185430
2015-08-23,185430
2015-08-24,185455
2015-08-25,185455
2015-08-26,185519
2015-08-27,185710
2015-08-28,185524
2015-08-29,186081
2015-08-30,186081
2015-08-31,186111
2015-09-01,184171
2015-09-02,184171
2015-09-03,185768
2015-09-04,184746
2015-09-05,184746
2015-09-06,183305
2015-09-07,182581
2015-09-08,183967
2015-09-09,184777
2015-09-10,185124
2015-09-11,185037
2015-09-12,183709
2015-09-13,184699
2015-09-14,184898
2015-09-15,185483
2015-09-16,185483
2015-09-17,185717
2015-09-18,185717
2015-09-19,182794
2015-09-20,184949
2015-09-21,184033
2015-09-22,182512
2015-09-23,183821
2015-09-24,183821
2015-09-25,184378
2015-09-27,185195
2015-09-28,185763
2015-09-29,185029
2015-09-30,183245
2015-10-05,185287
2015-10-06,184799
2015-10-07,184919
2015-10-08,185590
2015-10-09,184783
2015-10-10,184783
2015-10-11,185720
2015-10-12,186177
2015-10-13,186177
2015-10-14,186896
2015-10-15,187173
2015-10-16,187551
2015-10-17,187551
2015-10-18,185060
2015-10-19,184459
2015-10-20,185787
2015-10-22,183867
2015-10-23,185571
2015-10-24,185806
2015-10-25,186058
2015-10-26,186285
2015-10-27,186285
2015-10-29,187100
2015-10-30,187100
2015-10-31,186853
2015-11-01,186853
2015-11-02,186536
2015-11-03,186225
2015-11-04,186083
2015-11-05,185558
2015-11-06,185558
2015-11-07,185925
2015-11-08,185925
2015-11-09,186221
2015-11-10,186221
2015-11-11,186472
2015-11-12,186929
2015-11-13,186929
2015-11-14,186025
2015-11-15,186065
2015-11-16,184888
2015-11-17,186895
2015-11-18,186685
2015-11-19,186493
2015-11-20,186045
2015-11-21,186045
2015-11-22,184802
2015-11-23,184802
2015-11-24,185794
2015-11-25,184144
2015-11-26,184144
2015-11-27,183004
2015-11-28,182633
2015-11-29,182599
2015-11-30,183225
2015-12-01,184984
2015-12-02,185745
2015-12-03,185538
2015-12-04,185538
2015-12-05,186088
2015-12-06,185518
2015-12-07,187358
2015-12-08,186412
2015-12-09,186718
2015-12-10,186347
2015-12-11,185873
2015-12-12,186355
2015-12-13,185988
2015-12-14,185988
2015-12-15,186777
2015-12-16,186477
2015-12-17,187028
2015-12-18,186822
2015-12-19,187000
2015-12-20,187108
2015-12-21,186886
2015-12-22,186362
2015-12-23,186245
2015-12-24,186698
2015-12-25,187173
2015-12-26,187789
2015-12-27,185816
2015-12-28,186124
2015-12-29,186443
2015-12-30,186636
2015-12-31,186799
2016-01-01,186837
2016-01-02,186254
2016-01-03,184340
2016-01-04,184423
2016-01-05,182973
2016-01-06,181343
2016-01-07,183525
2016-01-08,185583
2016-01-09,186321
2016-01-10,185873
2016-01-11,182174
2016-01-12,182012
2016-01-13,185533
2016-01-14,184847
2016-01-15,185029
2016-01-16,183573
2016-01-17,184086
2016-01-18,185071
2016-01-19,186119
2016-01-20,185271
2016-01-21,183849
2016-01-22,184007
2016-01-23,185433
2016-01-24,186238
2016-01-25,186574
2016-01-26,184266
2016-01-27,184927
2016-01-28,184927
2016-01-29,185521
2016-01-30,185521
2016-01-31,186722
2016-02-01,187927
2016-02-02,188529
2016-02-03,185620
2016-02-04,182751
2016-02-05,183041
2016-02-06,185564
2016-02-07,186593
2016-02-08,185981
2016-02-09,187210
2016-02-10,185923
2016-02-11,185521
2016-02-12,186592
2016-02-13,187172
2016-02-14,187172
2016-02-15,187334
2016-02-16,186874
2016-02-17,187089
2016-02-18,182654
2016-02-19,183184
2016-02-20,185711
2016-02-21,187059
2016-02-22,187059
2016-02-23,187282
2016-02-24,186852
2016-02-25,187544
2016-02-26,187544
2016-02-27,187126
2016-02-28,187253
2016-02-29,187832
2016-03-01,185764
2016-03-02,185727
2016-03-03,187993
2016-03-04,187825
2016-03-05,187489
2016-03-06,186644
2016-03-07,186144
2016-03-08,186113
2016-03-09,187673
2016-03-10,184747
2016-03-11,182562
2016-03-12,187066
2016-03-13,186101
2016-03-14,183976
2016-03-15,184819
2016-03-16,184392
2016-03-17,184380
2016-03-18,185235
2016-03-19,186709
2016-03-20,186283
2016-03-21,186505
2016-03-22,186935
2016-03-23,186490
2016-03-24,186630
2016-03-25,185441
2016-03-26,185505
2016-03-27,187194
2016-03-28,186722
2016-03-29,185593
2016-03-30,185593
2016-03-31,184615
2016-04-01,186119
2016-04-02,185777
2016-04-03,184746
2016-04-04,185632
2016-04-05,186195
2016-04-06,186829
2016-04-07,186939
2016-04-08,187289
2016-04-09,187108
2016-04-10,187729
2016-04-11,187729
2016-04-12,186455
2016-04-13,186595
2016-04-14,187106
2016-04-15,186421
2016-04-16,185112
2016-04-17,186679
2016-04-18,186622
2016-04-19,185981
2016-04-20,186562
2016-04-21,186263
2016-04-22,186263
2016-04-23,186074
2016-04-24,185802
2016-04-25,185521
2016-04-26,186481
2016-04-27,186867
2016-04-28,184600
2016-04-29,183895
2016-04-30,184684
2016-05-01,185745
2016-05-02,184919
2016-05-03,185702
2016-05-04,183415
2016-05-05,185797
2016-05-06,185797
2016-05-07,186122
2016-05-08,181373
2016-05-09,183817
2016-05-10,185684
2016-05-11,186047
2016-05-12,183231
2016-05-13,184675
2016-05-14,185477
2016-05-15,186054
2016-05-16,186386
2016-05-17,185922
2016-05-18,185913
2016-05-19,185357
2016-05-22,185340
2016-05-23,186469
2016-05-24,186489
2016-05-25,185938
2016-05-26,186552
2016-05-27,185506
2016-05-28,185506
2016-05-29,185908
2016-05-30,185908
2016-05-31,186639
2016-06-01,186767
2016-06-02,186323
2016-06-03,186589
2016-06-04,186065
2016-06-05,186550
2016-06-06,186748
2016-06-07,186748
2016-06-08,186217
2016-06-09,186190
2016-06-10,186410
2016-06-11,186802
2016-06-12,186492
2016-06-13,185972
2016-06-14,186044
2016-06-15,186237
2016-06-16,186297
2016-06-17,186230
2016-06-18,186108
2016-06-19,186334
2016-06-20,186123
2016-06-21,186011
2016-06-22,186427
2016-06-23,186044
2016-06-24,185586
2016-06-25,185378
2016-06-26,185793
2016-06-27,186286
2016-06-28,186533
2016-06-29,185908
2016-06-30,184714
2016-07-01,186966
2016-07-02,185681
2016-07-03,186382
2016-07-04,185556
2016-07-05,187290
2016-07-06,190687
2016-07-07,187557
2016-07-08,187100
2016-07-09,187747
2016-07-10,188286
2016-07-11,184984
2016-07-12,185971
2016-07-13,186806
2016-07-14,186520
2016-07-15,186863
2016-07-16,186469
2016-07-17,186217
2016-07-18,185693
2016-07-23,186202
2016-07-24,186515
2016-07-25,187418
2016-07-26,187065
2016-07-27,187167
2016-07-28,186616
2016-07-29,186326
2016-07-30,187154
2016-07-31,186837
2016-08-01,183712
2016-08-02,185596
2016-08-03,184126
2016-08-04,185475
2016-08-05,186063
2016-08-06,186244
2016-08-07,183979
2016-08-08,186087
2016-08-09,186312
2016-08-10,186838
2016-08-11,186610
2016-08-12,187109
2016-08-13,186962
2016-08-14,187977
2016-08-15,186845
2016-08-16,185419
2016-08-17,185940
2016-08-18,183922
2016-08-19,184840
2016-08-20,185401
2016-08-21,185445
2016-08-22,185854
2016-08-23,186001
2016-08-24,186203
2016-08-25,186899
2016-08-26,186899
