date_obj,Linen price
2016-01-31,213
2016-02-01,223
2016-02-02,223
2016-02-03,223
2016-02-04,223
2016-02-05,223
2016-02-06,223
2016-02-07,223
2016-02-08,235
2016-02-09,235
2016-02-10,235
2016-02-11,235
2016-02-12,235
2016-02-13,235
2016-02-14,235
2016-02-15,247
2016-02-16,247
2016-02-17,247
2016-02-18,247
2016-02-19,247
2016-02-20,247
2016-02-21,259
2016-02-22,259
2016-02-23,259
2016-02-24,259
2016-02-25,259
2016-02-26,259
2016-02-27,259
2016-02-28,271
2016-02-29,271
2016-03-01,271
2016-03-02,271
2016-03-03,271
2016-03-04,271
2016-03-05,283
2016-03-06,283
2016-03-07,283
2016-03-08,283
2016-03-09,283
2016-03-10,283
2016-03-11,297
2016-03-12,297
2016-03-13,297
2016-03-14,297
2016-03-15,297
2016-03-16,297
2016-03-17,311
2016-03-18,311
2016-03-19,311
2016-03-20,311
2016-03-21,311
2016-03-22,311
2016-03-23,311
2016-03-24,327
2016-03-25,327
2016-03-26,327
2016-03-27,327
2016-03-28,327
2016-03-29,344
2016-03-30,344
2016-03-31,344
2016-04-01,344
2016-04-02,344
2016-04-03,344
2016-04-04,344
2016-04-05,362
2016-04-06,362
2016-04-07,362
2016-04-08,362
2016-04-09,362
2016-04-10,380
2016-04-11,380
2016-04-12,380
2016-04-13,380
2016-04-14,380
2016-04-15,380
2016-04-16,395
2016-04-17,395
2016-04-18,395
2016-04-19,395
2016-04-20,395
2016-04-21,395
2016-04-22,413
2016-04-23,413
2016-04-24,413
2016-04-25,413
2016-04-26,413
2016-04-27,408
2016-04-28,408
2016-04-29,408
2016-04-30,408
2016-05-01,408
2016-05-02,408
2016-05-03,391
2016-05-04,391
2016-05-05,391
2016-05-06,391
2016-05-07,391
2016-05-08,391
2016-05-09,401
2016-05-10,401
2016-05-11,401
2016-05-12,401
2016-05-13,401
2016-05-14,418
2016-05-15,418
2016-05-16,418
2016-05-17,418
2016-05-18,418
2016-05-19,433
2016-05-22,433
2016-05-23,433
2016-05-24,449
2016-05-25,449
2016-05-26,449
2016-05-27,449
2016-05-28,449
2016-05-29,468
2016-05-30,468
2016-05-31,468
2016-06-01,468
2016-06-02,468
2016-06-03,468
2016-06-04,487
2016-06-05,487
2016-06-06,487
2016-06-07,487
2016-06-08,487
2016-06-09,501
2016-06-10,501
2016-06-11,501
2016-06-12,501
2016-06-13,501
2016-06-14,521
