date_obj,Verac's%20armour%20set price
2016-01-17,3542462
2016-01-18,3436313
2016-01-19,3389572
2016-01-20,3324449
2016-01-21,3225297
2016-01-22,3189792
2016-01-23,3187959
2016-01-24,3237933
2016-01-25,3186030
2016-01-26,3134175
2016-01-27,3098731
2016-01-28,3098731
2016-01-29,3069877
2016-01-30,3040714
2016-01-31,3048883
2016-02-01,3022744
2016-02-02,2974253
2016-02-03,2904598
2016-02-04,2844798
2016-02-05,2837344
2016-02-06,2815274
2016-02-07,2828389
2016-02-08,2862155
2016-02-09,2859473
2016-02-10,2843590
2016-02-11,2867484
2016-02-12,2867542
2016-02-13,2987369
2016-02-14,3043422
2016-02-15,3052498
2016-02-16,3077410
2016-02-17,3084820
2016-02-18,3066920
2016-02-19,3032978
2016-02-20,2998220
2016-02-21,2983219
2016-02-22,2960933
2016-02-23,2899330
2016-02-24,2857391
2016-02-25,2831037
2016-02-26,2831288
2016-02-27,2848188
2016-02-28,2848250
2016-02-29,2829108
2016-03-01,2851525
2016-03-02,2850621
2016-03-03,2815255
2016-03-04,2795710
2016-03-05,2784925
2016-03-06,2779015
2016-03-07,2783665
2016-03-08,2842447
2016-03-09,2868052
2016-03-10,2864891
2016-03-11,2840393
2016-03-12,2837282
2016-03-13,2823920
2016-03-14,2782687
2016-03-15,2749808
2016-03-16,2698740
2016-03-17,2630497
2016-03-18,2655313
2016-03-19,2663292
2016-03-20,2699807
2016-03-21,2652003
2016-03-22,2655200
2016-03-23,2635291
2016-03-24,2614475
2016-03-25,2605056
2016-03-26,2581843
2016-03-27,2616555
2016-03-28,2585417
2016-03-29,2542484
2016-03-30,2542484
2016-03-31,2434878
2016-04-01,2359038
2016-04-02,2315203
2016-04-03,2316347
2016-04-04,2310091
2016-04-05,2304778
2016-04-06,2343540
2016-04-07,2347174
2016-04-08,2380925
2016-04-09,2462873
2016-04-10,2549483
2016-04-11,2549483
2016-04-12,2573910
2016-04-13,2504003
2016-04-14,2503551
2016-04-15,2561588
2016-04-16,2562131
2016-04-17,2590190
2016-04-18,2559879
2016-04-19,2528577
2016-04-20,2529812
2016-04-21,2538711
2016-04-22,2523999
2016-04-23,2533665
2016-04-24,2611805
2016-04-25,2638733
2016-04-26,2664894
2016-04-27,2738408
2016-04-28,2794753
2016-04-29,2798395
2016-04-30,2836338
2016-05-01,2922401
2016-05-02,2954479
2016-05-03,2928192
2016-05-04,2921401
2016-05-05,2946715
2016-05-06,2970907
2016-05-07,2957124
2016-05-08,2945142
2016-05-09,2963333
2016-05-10,2837490
2016-05-11,2817706
2016-05-12,2843039
2016-05-13,2783313
2016-05-14,2706048
2016-05-15,2574535
2016-05-16,2511961
2016-05-17,2430309
2016-05-18,2439908
2016-05-19,2429789
2016-05-22,2562402
2016-05-23,2513664
2016-05-24,2510486
2016-05-25,2472064
2016-05-26,2431506
2016-05-27,2373788
2016-05-28,2365676
2016-05-29,2420624
2016-05-30,2435806
2016-05-31,2436744
2016-06-01,2423784
2016-06-02,2427416
2016-06-03,2435346
2016-06-04,2413513
2016-06-05,2397539
2016-06-06,2381074
2016-06-07,2338444
2016-06-08,2351181
2016-06-09,2351756
2016-06-10,2340965
2016-06-11,2345158
2016-06-12,2366339
2016-06-13,2361056
2016-06-14,2351030
2016-06-15,2382317
2016-06-16,2362463
2016-06-17,2336117
2016-06-18,2350400
2016-06-19,2365136
2016-06-20,2361729
2016-06-21,2429856
2016-06-22,2446954
2016-06-23,2560400
2016-06-24,2560519
2016-06-25,2540411
2016-06-26,2555670
2016-06-27,2555846
2016-06-28,2601937
2016-06-29,2609731
2016-06-30,2599110
2016-07-01,2680226
2016-07-02,2708789
2016-07-03,2773752
2016-07-04,2775252
2016-07-05,2767030
2016-07-06,2726458
2016-07-07,2604699
2016-07-08,2490763
2016-07-09,2383032
2016-07-10,2295218
2016-07-11,2239218
2016-07-12,2221700
2016-07-13,2193257
2016-07-14,2139279
2016-07-15,2176319
2016-07-16,2241869
2016-07-17,2285957
2016-07-18,2248700
2016-07-24,2050133
2016-07-25,2045529
2016-07-26,2053788
2016-07-27,2049675
2016-07-28,2046791
2016-07-29,2033116
2016-07-30,2019396
2016-07-31,2016609
2016-08-01,2035721
2016-08-02,2062356
2016-08-03,2044725
2016-08-04,2040055
2016-08-05,2036124
2016-08-06,2032614
2016-08-07,2038796
2016-08-08,2072230
2016-08-09,2057840
2016-08-10,2072022
2016-08-11,2060948
2016-08-12,2075650
2016-08-13,2064901
2016-08-14,2059884
2016-08-15,2060133
2016-08-16,2064523
2016-08-17,2088100
2016-08-18,2042055
2016-08-19,2036285
2016-08-20,2049079
2016-08-21,2045952
2016-08-22,2029441
2016-08-23,1969293
2016-08-24,1924256
2016-08-25,1859716
2016-08-26,1859716
2016-08-28,1795723
2016-08-31,1800193
2016-09-01,1735661
2016-09-02,1735661
2016-09-03,1722735
2016-09-04,1764999
2016-09-05,1793820
2016-09-06,1854147
2016-09-07,1840311
2016-09-08,1851623
2016-09-09,1849451
2016-09-10,1851462
2016-09-11,1889011
2016-09-12,1817050
2016-09-13,1785139
2016-09-14,1720678
2016-09-15,1685445
2016-09-16,1685445
2016-09-17,1714691
2016-09-18,1797470
2016-09-19,1867658
2016-09-20,1893033
2016-09-21,1952186
2016-09-22,1919771
2016-09-23,1927214
2016-09-24,1927214
2016-09-25,1911398
2016-09-26,1911398
2016-09-27,1822381
2016-09-28,1769899
2016-09-29,1716442
2016-09-30,1702954
2016-10-01,1739560
2016-10-02,1739560
2016-10-03,1713609
2016-10-04,1700071
2016-10-05,1675702
2016-10-06,1667156
2016-10-07,1674343
2016-10-08,1717672
2016-10-09,1717672
2016-10-10,1724703
2016-10-11,1704644
2016-10-12,1709488
2016-10-13,1725092
2016-10-14,1771463
2016-10-15,1856715
2016-10-16,1945031
2016-10-17,1915583
2016-10-18,1944019
2016-10-19,1938864
2016-10-20,1929435
2016-10-21,1995895
2016-10-22,2071692
2016-10-23,2134439
2016-10-24,2217281
2016-10-25,2217281
2016-10-26,2176431
2016-10-27,2120285
2016-10-28,2135830
2016-10-29,2202550
2016-10-30,2270664
2016-10-31,2247230
2016-11-01,2247230
2016-11-02,2215866
2016-11-03,2170126
2016-11-04,2147585
2016-11-05,2147585
2016-11-06,2172942
2016-11-07,2094230
2016-11-08,2131640
2016-11-09,2104870
2016-11-10,2069163
2016-11-11,2041770
2016-11-12,2036864
2016-11-13,2024287
2016-11-14,2002128
2016-12-08,1918364
2016-12-09,1953517
2016-12-10,1964515
2016-12-11,2006877
2016-12-12,2037374
2016-12-13,2084910
2016-12-14,2115511
2016-12-15,2115768
2016-12-16,2200165
2016-12-17,2308573
2016-12-18,2362704
2016-12-19,2315656
2016-12-20,2346398
2016-12-21,2421370
2016-12-22,2483129
2016-12-23,2528789
2016-12-24,2553951
2016-12-25,2577204
2016-12-26,2681061
2016-12-27,2799775
2016-12-28,2750604
2016-12-29,2744242
2016-12-30,2759650
2016-12-31,2855667
2017-01-01,2790447
2017-01-02,2875472
2017-01-03,2872844
2017-01-04,2833116
2017-01-05,2767139
2017-01-06,2700749
2017-01-07,2815542
2017-01-08,2953563
2017-01-09,2852854
2017-01-10,2748145
2017-01-11,2630792
2017-01-12,2504519
2017-01-13,2436048
2017-01-14,2483439
2017-01-15,2454987
2017-01-16,2344533
2017-01-17,2236717
2017-01-18,2150407
2017-01-19,2070371
2017-01-20,1980643
2017-01-21,1974526
2017-01-22,2013112
2017-01-27,1920287
2017-01-28,1909227
2017-01-29,1936717
2017-01-30,1986142
2017-01-31,1945493
2017-02-01,1889171
2017-02-02,1808664
2017-02-03,1747875
2017-02-04,1776906
2017-02-05,1817011
2017-02-06,1810038
