date_obj,Hosidius%20scarf price
2016-07-06,2500000
2016-07-07,2500000
2016-07-08,2500000
2016-07-09,2500000
2016-07-10,2500000
2016-07-11,2500000
2016-07-12,2500000
2016-07-13,2500000
2016-07-14,2500000
2016-07-15,2500000
2016-07-16,2500000
2016-07-17,2500000
2016-07-18,2500000
2016-07-23,2393895
2016-07-24,2393895
2016-07-25,2393895
2016-07-26,2393895
2016-07-27,2393895
2016-07-28,2393895
2016-07-29,2393895
2016-07-30,2393895
2016-07-31,2393895
2016-08-01,2393895
2016-08-02,2393895
2016-08-03,2393895
2016-08-04,2393895
2016-08-05,2393895
2016-08-06,2393895
2016-08-07,2393895
2016-08-08,2393895
2016-08-09,2393895
2016-08-10,2274900
2016-08-11,2274900
2016-08-12,2274900
2016-08-13,2274900
2016-08-14,2274900
2016-08-15,2274900
2016-08-16,2274900
2016-08-17,2274900
2016-08-18,2274900
2016-08-19,2274900
2016-08-20,2274900
2016-08-21,2274900
2016-08-22,2274900
2016-08-23,2274900
2016-08-24,2274900
2016-08-25,2274900
2016-08-26,2274900
2016-08-28,2162191
2016-08-31,2162191
2016-09-01,2162191
2016-09-02,2162191
2016-09-03,2162191
2016-09-04,2162191
2016-09-05,2162191
2016-09-06,2162191
2016-09-07,2162191
2016-09-08,2162191
2016-09-09,2162191
2016-09-10,2162191
2016-09-11,2162191
2016-09-12,2162191
2016-09-13,2058594
2016-09-14,2058594
2016-09-15,2058594
2016-09-16,2058594
2016-09-17,2058594
2016-09-18,2058594
2016-09-19,2058594
2016-09-20,2058594
2016-09-21,2058594
2016-09-22,2058594
2016-09-23,2058594
2016-09-24,2058594
2016-09-25,2058594
2016-09-26,2058594
2016-09-27,2058594
2016-09-28,2058594
2016-09-29,2058594
2016-09-30,2058594
2016-10-01,2058594
2016-10-02,2058594
2016-10-03,2058594
2016-10-04,2058594
2016-10-05,2058594
2016-10-06,2058594
2016-10-07,1959884
2016-10-08,1959884
2016-10-09,1959884
2016-10-10,1959884
2016-10-11,1959884
2016-10-12,1959884
2016-10-13,1959884
2016-10-14,1959884
2016-10-15,1959884
2016-10-16,1959884
2016-10-17,1959884
2016-10-18,1959884
2016-10-19,1959884
2016-10-20,1959884
2016-10-21,1959884
2016-10-22,1959884
2016-10-23,1959884
2016-10-24,1959884
2016-10-25,1863354
