date_obj,Uncut%20red%20topaz price
2015-03-26,4215
2015-03-27,4215
2015-03-28,4215
2015-03-29,4215
2015-03-30,4022
2015-03-31,4022
2015-04-01,4022
2015-04-02,4022
2015-04-03,4022
2015-04-04,4022
2015-04-05,4022
2015-04-06,3822
2015-04-07,3822
2015-04-08,3822
2015-04-09,3822
2015-04-10,3822
2015-04-11,3822
2015-04-12,3822
2015-04-13,3639
2015-04-14,3639
2015-04-15,3639
2015-04-16,3639
2015-04-17,3639
2015-04-18,3639
2015-04-19,3639
2015-04-20,3458
2015-04-21,3458
2015-04-22,3458
2015-04-23,3458
2015-04-24,3458
2015-04-25,3458
2015-04-26,3458
2015-04-27,3286
2015-04-28,3286
2015-04-29,3286
2015-04-30,3286
2015-05-01,3286
2015-05-02,3286
2015-05-03,3286
2015-05-04,3286
2015-05-05,3123
2015-05-06,3123
2015-05-07,3123
2015-05-08,3123
2015-05-09,3123
2015-05-10,3123
2015-05-11,3123
2015-05-12,2967
2015-05-13,2967
2015-05-14,2967
2015-05-15,2967
2015-05-16,2967
2015-05-17,2967
2015-05-18,2819
2015-05-19,2819
2015-05-20,2819
2015-05-21,2819
2015-05-22,2819
2015-05-23,2819
2015-05-24,2819
2015-05-25,2678
2015-05-26,2678
2015-05-27,2678
2015-05-28,2678
2015-05-29,2544
2015-05-30,2544
2015-05-31,2544
2015-06-01,2544
2015-06-02,2419
2015-06-03,2419
2015-06-04,2419
2015-06-05,2419
2015-06-06,2301
2015-06-07,2301
2015-06-08,2301
2015-06-09,2301
2015-06-10,2186
2015-06-11,2186
2015-06-12,2186
2015-06-13,2186
2015-06-14,2077
2015-06-15,2077
2015-06-16,2077
2015-06-17,2077
2015-06-18,1974
2015-06-19,1974
2015-06-20,1974
2015-06-21,1974
2015-06-22,1974
2015-06-23,1876
2015-06-24,1876
2015-06-25,1876
2015-06-26,1876
2015-06-27,1876
2015-06-28,1782
2015-06-29,1782
2015-06-30,1782
2015-07-01,1782
2015-07-02,1782
2015-07-03,1692
2015-07-04,1692
2015-07-05,1692
2015-07-06,1692
2015-07-07,1692
2015-07-08,1607
2015-07-09,1607
2015-07-10,1607
2015-07-11,1607
2015-07-12,1607
2015-07-13,1526
2015-07-14,1526
2015-07-15,1526
2015-07-16,1526
2015-07-17,1449
2015-07-18,1449
