date_obj,Team%20cape%20zero price
2016-07-07,8245056
2016-07-08,8245056
2016-07-09,8245056
2016-07-10,7836087
2016-07-11,7836087
2016-07-12,7836087
2016-07-13,7836087
2016-07-14,7444282
2016-07-15,7444282
2016-07-16,7444282
2016-07-17,7444282
2016-07-18,7444282
2016-07-24,6724837
2016-07-25,6724837
2016-07-26,6724837
2016-07-27,6724837
2016-07-28,6724837
2016-07-29,6391527
2016-07-30,6391527
2016-07-31,6391527
2016-08-01,6391527
2016-08-02,6391527
2016-08-03,6071950
2016-08-04,6071950
2016-08-05,6071950
2016-08-06,6071950
2016-08-07,6071950
2016-08-08,6071950
2016-08-09,5770871
2016-08-10,5770871
2016-08-11,5770871
2016-08-12,5770871
2016-08-13,5770871
2016-08-14,5770871
2016-08-15,5484783
2016-08-16,5484783
2016-08-17,5484783
2016-08-18,5484783
2016-08-19,5484783
2016-08-20,5484783
2016-08-21,5212395
2016-08-22,5212395
2016-08-23,5212395
2016-08-24,5212395
2016-08-25,5212395
2016-08-26,5212395
2016-08-28,4951775
2016-08-31,4951775
2016-09-01,4951775
2016-09-02,4951775
2016-09-03,4704186
2016-09-04,4704186
2016-09-05,4704186
2016-09-06,4704186
2016-09-07,4704186
2016-09-08,4704186
2016-09-09,4468976
2016-09-10,4468976
2016-09-11,4468976
2016-09-12,4468976
2016-09-13,4468976
2016-09-14,4468976
2016-09-15,4245527
2016-09-16,4245527
2016-09-17,4245527
2016-09-18,4245527
2016-09-19,4245527
2016-09-20,4245527
2016-09-21,4060055
2016-09-22,4060055
2016-09-23,4060055
2016-09-24,4060055
2016-09-25,4060055
2016-09-26,4060055
2016-09-27,3926909
2016-09-28,3926909
2016-09-29,3926909
2016-09-30,3926909
2016-10-01,3926909
2016-10-02,3926909
2016-10-03,3782687
2016-10-04,3782687
2016-10-05,3782687
2016-10-06,3782687
2016-10-07,3782687
2016-10-08,3623702
2016-10-09,3623702
2016-10-10,3623702
2016-10-11,3623702
2016-10-12,3623702
2016-10-13,3710939
2016-10-14,3710939
2016-10-15,3710939
2016-10-16,3710939
2016-10-17,3710939
2016-10-18,3650500
2016-10-19,3650500
2016-10-20,3650500
2016-10-21,3650500
2016-10-22,3650500
2016-10-23,3590900
2016-10-24,3590900
2016-10-25,3590900
2016-10-26,3590900
2016-10-27,3590900
2016-10-28,3613706
2016-10-29,3613706
2016-10-30,3613706
2016-10-31,3613706
2016-11-01,3613706
2016-11-02,3713795
2016-11-03,3713795
2016-11-04,3713795
2016-11-05,3713795
2016-11-06,3713795
2016-11-07,3713795
2016-11-08,3785427
2016-11-09,3785427
2016-11-10,3785427
2016-11-11,3785427
2016-11-12,3785427
2016-11-13,3785427
2016-11-14,3845021
2016-12-08,4017166
2016-12-09,4017166
2016-12-10,3989578
2016-12-11,3989578
2016-12-12,3989578
2016-12-13,3989578
2016-12-14,3989578
2016-12-15,3989578
2016-12-16,3931204
2016-12-17,3931204
2016-12-18,3931204
2016-12-19,3931204
2016-12-20,3931204
2016-12-21,3834212
2016-12-22,3834212
2016-12-23,3834212
2016-12-24,3834212
2016-12-25,3834212
2016-12-26,3716199
2016-12-27,3716199
2016-12-28,3716199
2016-12-29,3716199
2016-12-30,3716199
2016-12-31,3622365
2017-01-01,3622365
2017-01-02,3622365
2017-01-03,3707096
2017-01-04,3707096
2017-01-05,3707096
2017-01-06,3707096
2017-01-07,3707096
2017-01-08,3748324
2017-01-09,3748324
2017-01-10,3748324
2017-01-11,3748324
2017-01-12,3668071
2017-01-13,3668071
2017-01-14,3668071
2017-01-15,3668071
2017-01-16,3668981
2017-01-17,3668981
2017-01-18,3668981
2017-01-19,3668981
2017-01-20,3743811
2017-01-21,3743811
2017-01-22,3743811
2017-01-27,3975244
2017-01-28,3975244
2017-01-29,3975244
2017-01-30,3975244
2017-01-31,3951637
2017-02-01,3951637
2017-02-02,3951637
2017-02-03,3951637
2017-02-04,3943406
2017-02-05,3943406
2017-02-06,3943406
2017-02-07,3943406
2017-02-08,3968206
2017-02-09,3968206
2017-02-10,3968206
2017-02-11,3968206
2017-02-12,4138584
2017-02-13,4138584
2017-02-14,4138584
2017-02-15,4138584
2017-02-16,4267801
2017-02-18,4267801
2017-02-19,4267801
2017-02-20,4267801
2017-02-21,4149627
2017-02-22,4149627
2017-02-23,4149627
2017-02-24,4149627
2017-02-25,4149627
2017-02-26,4092316
2017-02-27,4092316
2017-02-28,4092316
2017-03-01,4092316
2017-03-02,3899522
2017-03-03,3899522
2017-03-04,3899522
2017-03-05,3899522
2017-03-06,3742794
2017-03-07,3742794
2017-03-08,3742794
2017-03-09,3742794
2017-03-10,3656203
2017-03-11,3656203
2017-03-12,3656203
2017-03-13,3505688
2017-03-14,3505688
2017-03-15,3505688
2017-03-16,3457632
2017-03-17,3457632
2017-03-18,3457632
