date_obj,Amethyst%20arrowtips price
2017-06-21,257
2017-06-22,257
2017-06-23,270
2017-06-24,270
2017-06-25,270
2017-06-26,277
2017-06-27,277
2017-06-28,277
2017-06-29,277
2017-06-30,277
2017-07-01,290
2017-07-02,290
2017-07-03,290
2017-07-04,290
2017-07-05,290
2017-07-06,290
2017-07-07,300
2017-07-08,300
2017-07-09,300
2017-07-13,289
2017-07-14,289
2017-07-15,289
2017-07-16,289
2017-07-17,289
2017-07-18,289
2017-07-19,289
2017-07-20,274
2017-07-21,274
2017-07-22,274
2017-07-23,274
2017-07-24,274
2017-07-25,274
2017-07-26,274
2017-07-27,274
2017-07-28,274
2017-07-29,270
2017-07-30,270
2017-07-31,270
2017-08-01,270
2017-08-02,270
2017-08-03,270
2017-08-04,270
2017-08-05,272
2017-08-06,272
2017-08-07,272
2017-08-08,272
2017-08-09,272
2017-08-10,272
2017-08-11,272
2017-08-12,272
2017-08-13,272
2017-08-14,273
2017-08-15,273
2017-08-16,273
2017-08-17,273
2017-08-18,273
2017-08-19,273
2017-08-20,273
2017-08-21,273
2017-08-22,267
2017-08-23,267
2017-08-24,267
2017-08-25,267
2017-08-26,267
2017-08-27,267
2017-08-28,266
2017-08-29,266
2017-08-30,266
2017-08-31,266
2017-09-01,266
2017-09-02,266
2017-09-03,266
2017-09-04,266
2017-09-05,253
2017-09-06,253
2017-09-07,253
2017-09-08,253
2017-09-09,253
2017-09-10,253
2017-09-11,253
2017-09-12,253
2017-09-13,251
2017-09-14,251
2017-09-15,251
2017-09-16,251
2017-09-17,251
2017-09-18,251
2017-09-19,251
2017-09-20,251
2017-09-21,249
2017-09-22,249
2017-09-23,249
2017-09-24,249
2017-09-25,249
2017-09-26,249
2017-09-27,249
2017-09-28,249
2017-09-29,249
2017-09-30,249
2017-10-01,249
2017-10-02,242
2017-10-03,242
2017-10-04,242
2017-10-05,242
2017-10-06,242
2017-10-07,242
2017-10-08,242
2017-10-09,242
2017-10-10,242
2017-10-11,242
2017-10-12,242
2017-10-13,239
2017-10-14,239
2017-10-15,239
2017-10-16,239
2017-10-17,239
2017-10-18,239
2017-10-19,239
2017-10-20,239
2017-10-21,239
2017-10-22,239
2017-10-23,239
2017-10-24,239
2017-10-25,239
2017-10-26,239
2017-10-27,239
2017-10-28,239
2017-10-29,239
2017-10-30,239
2017-10-31,239
2017-11-01,241
2017-11-02,241
2017-11-03,241
2017-11-04,241
2017-11-05,241
2017-11-06,241
2017-11-07,241
2017-11-08,241
2017-11-09,234
2017-11-10,234
2017-11-11,234
2017-11-12,234
2017-11-13,234
2017-11-14,234
2017-11-15,234
2017-11-16,234
2017-11-17,234
2017-11-18,232
2017-11-19,232
2017-11-20,232
2017-11-21,232
2017-11-22,232
2017-11-23,232
2017-11-24,232
2017-11-25,235
2017-11-26,235
2017-11-27,235
2017-11-28,235
2017-11-29,235
2017-11-30,235
2017-12-01,244
2017-12-02,244
2017-12-03,244
2017-12-04,244
2017-12-05,244
2017-12-06,244
2017-12-07,244
2017-12-08,244
2017-12-09,256
2017-12-10,256
2017-12-11,256
2017-12-12,256
2017-12-13,256
2017-12-14,256
2017-12-15,256
2017-12-16,258
2017-12-17,258
2017-12-18,258
2017-12-19,258
2017-12-20,258
2017-12-21,258
2017-12-22,261
2017-12-23,261
2017-12-24,261
2017-12-25,261
2017-12-26,261
2017-12-27,261
2017-12-28,261
2017-12-29,261
2017-12-30,260
2017-12-31,260
2018-01-01,260
2018-01-02,260
2018-01-03,260
2018-01-04,260
2018-01-05,260
2018-01-06,253
2018-01-07,253
2018-01-08,253
2018-01-09,253
2018-01-10,253
2018-01-11,253
2018-01-12,253
2018-01-13,253
2018-01-14,240
2018-01-15,240
2018-01-16,240
2018-01-17,240
2018-01-18,240
2018-01-19,240
2018-01-20,240
2018-01-21,229
2018-01-22,229
2018-01-23,229
2018-01-24,233
2018-01-25,233
2018-01-26,233
2018-01-27,233
2018-01-28,236
2018-01-29,236
2018-01-30,236
2018-01-31,236
2018-02-01,236
2018-02-02,234
2018-02-03,234
2018-02-04,234
2018-02-05,234
2018-02-06,234
2018-02-07,234
2018-02-08,234
2018-02-09,234
