date_obj,Jogre%20bones price
2015-03-26,14814
2015-03-27,14814
2015-03-28,14814
2015-03-29,14073
2015-03-30,14073
2015-03-31,14073
2015-04-01,14073
2015-04-02,13369
2015-04-03,13369
2015-04-04,13369
2015-04-05,12700
2015-04-06,12700
2015-04-07,12700
2015-04-08,12700
2015-04-09,12065
2015-04-10,12065
2015-04-11,12065
2015-04-12,11476
2015-04-13,11476
2015-04-14,11476
2015-04-15,11476
2015-04-16,10916
2015-04-17,10916
2015-04-18,10916
2015-04-19,10916
2015-04-20,10405
2015-04-21,10405
2015-04-22,10405
2015-04-23,10405
2015-04-24,9890
2015-04-25,9890
2015-04-26,9890
2015-04-27,9890
2015-04-28,9395
2015-04-29,9395
2015-04-30,9395
2015-05-01,9395
2015-05-02,8939
2015-05-03,8939
2015-05-04,8939
2015-05-05,8939
2015-05-06,8498
2015-05-07,8498
2015-05-08,8498
2015-05-09,8498
2015-05-10,8073
2015-05-11,8073
2015-05-12,8073
2015-05-13,8073
2015-05-14,7673
2015-05-15,7673
2015-05-16,7673
2015-05-17,7673
2015-05-18,7289
2015-05-19,7289
2015-05-20,7289
2015-05-21,7289
2015-05-22,7289
2015-05-23,6924
2015-05-24,6924
2015-05-25,6924
2015-05-26,6924
2015-05-27,6577
2015-05-28,6577
2015-05-29,6577
2015-05-30,6248
2015-05-31,6248
2015-06-01,6248
2015-06-02,5936
2015-06-03,5936
2015-06-04,5936
2015-06-05,5639
2015-06-06,5639
2015-06-07,5639
2015-06-08,5359
2015-06-09,5359
2015-06-10,5359
2015-06-11,5095
2015-06-12,5095
2015-06-13,5095
2015-06-14,4851
2015-06-15,4851
2015-06-16,4851
2015-06-17,4610
2015-06-18,4610
2015-06-19,4610
2015-06-20,4379
2015-06-21,4379
2015-06-22,4379
2015-06-23,4164
2015-06-24,4164
2015-06-25,4164
2015-06-26,3955
2015-06-27,3955
2015-06-28,3955
2015-06-29,3761
2015-06-30,3761
2015-07-01,3761
2015-07-02,3577
2015-07-03,3577
2015-07-04,3577
2015-07-05,3398
2015-07-06,3398
2015-07-07,3398
2015-07-08,3228
2015-07-09,3228
2015-07-10,3228
2015-07-11,3228
2015-07-12,3066
2015-07-13,3066
2015-07-14,3066
2015-07-15,2912
2015-07-16,2912
2015-07-17,2912
2015-07-18,2769
2015-07-19,2769
2015-07-20,2769
2015-07-21,2634
2015-07-22,2634
2015-07-23,2634
2015-07-24,2502
2015-07-25,2502
2015-07-26,2502
2015-07-27,2378
2015-07-28,2378
2015-07-29,2378
2015-07-30,2259
2015-07-31,2259
2015-08-01,2259
2015-08-02,2146
2015-08-03,2146
2015-08-04,2146
2015-08-05,2038
2015-08-06,2038
2015-08-07,2038
2015-08-08,1939
2015-08-09,1939
2015-08-10,1939
2015-08-11,1842
2015-08-12,1842
2015-08-13,1842
2015-08-14,1749
2015-08-15,1749
2015-08-16,1749
2015-08-17,1661
2015-08-18,1661
2015-08-19,1661
2015-08-20,1586
2015-08-21,1586
2015-08-22,1586
2015-08-23,1506
2015-08-24,1506
2015-08-25,1506
2015-08-26,1506
2015-08-27,1470
2015-08-28,1470
2015-08-29,1470
2015-08-30,1470
2015-08-31,1400
2015-09-01,1400
2015-09-02,1400
2015-09-03,1400
2015-09-04,1370
2015-09-05,1370
2015-09-06,1370
2015-09-07,1370
2015-09-08,1325
2015-09-09,1325
2015-09-10,1325
2015-09-11,1273
2015-09-12,1273
2015-09-13,1273
2015-09-14,1240
2015-09-15,1240
2015-09-16,1240
2015-09-17,1214
2015-09-18,1214
2015-09-19,1214
2015-09-20,1214
2015-09-21,1175
2015-09-22,1175
2015-09-23,1175
2015-09-24,1156
2015-09-25,1156
2015-09-27,1156
2015-09-28,1181
2015-09-29,1181
2015-09-30,1181
2015-10-05,1122
2015-10-06,1122
2015-10-07,1122
2015-10-08,1088
2015-10-09,1088
2015-10-10,1088
2015-10-11,1073
2015-10-12,1073
2015-10-13,1073
2015-10-14,1073
2015-10-15,1052
2015-10-16,1052
2015-10-17,1052
2015-10-18,1052
2015-10-19,1029
2015-10-20,1029
2015-10-22,1029
2015-10-23,1017
2015-10-24,1017
2015-10-25,1017
2015-10-26,1034
2015-10-27,1034
2015-10-29,1034
2015-10-30,1035
2015-10-31,1035
2015-11-01,1035
2015-11-02,1035
2015-11-03,996
2015-11-04,996
2015-11-05,996
2015-11-06,996
2015-11-07,989
2015-11-08,989
2015-11-09,989
2015-11-10,989
2015-11-11,941
2015-11-12,941
2015-11-13,941
2015-11-14,941
2015-11-15,963
2015-11-16,963
2015-11-17,963
2015-11-18,963
2015-11-19,931
2015-11-20,931
2015-11-21,931
2015-11-22,931
2015-11-23,945
2015-11-24,945
2015-11-25,945
2015-11-26,945
2015-11-27,944
2015-11-28,944
2015-11-29,944
2015-11-30,940
2015-12-01,940
2015-12-02,940
2015-12-03,939
2015-12-04,939
2015-12-05,939
2015-12-06,928
2015-12-07,928
2015-12-08,928
2015-12-09,949
2015-12-10,949
2015-12-11,949
2015-12-12,966
2015-12-13,966
2015-12-14,966
2015-12-15,984
2015-12-16,984
2015-12-17,984
2015-12-18,1012
2015-12-19,1012
2015-12-20,1012
2015-12-21,1028
2015-12-22,1028
2015-12-23,1028
2015-12-24,990
2015-12-25,990
2015-12-26,990
2015-12-27,966
2015-12-28,966
