date_obj,Common%20kebbit%20fur price
2015-03-26,5500
2015-03-27,5500
2015-03-28,5500
2015-03-29,5500
2015-03-30,5500
2015-03-31,5415
2015-04-01,5415
2015-04-02,5415
2015-04-03,5415
2015-04-04,5415
2015-04-05,5415
2015-04-06,5415
2015-04-07,5415
2015-04-08,5415
2015-04-09,5415
2015-04-10,5415
2015-04-11,5415
2015-04-12,5415
2015-04-13,5415
2015-04-14,5415
2015-04-15,5415
2015-04-16,5415
2015-04-17,5415
2015-04-18,5415
2015-04-19,5415
2015-04-20,5415
2015-04-21,5415
2015-04-22,5415
2015-04-23,5415
2015-04-24,5415
2015-04-25,5415
2015-04-26,5415
2015-04-27,5415
2015-04-28,5415
2015-04-29,5415
2015-04-30,5415
2015-05-01,5415
2015-05-02,5415
2015-05-03,5415
2015-05-04,5415
2015-05-05,5415
2015-05-06,5415
2015-05-07,5415
2015-05-08,5415
2015-05-09,5415
2015-05-10,5262
2015-05-11,5262
2015-05-12,5262
2015-05-13,5262
2015-05-14,5262
2015-05-15,5262
2015-05-16,5262
2015-05-17,5262
2015-05-18,5262
2015-05-19,5262
2015-05-20,5262
2015-05-21,5262
2015-05-22,5262
2015-05-23,5262
2015-05-24,5262
2015-05-25,5262
2015-05-26,5262
2015-05-27,5262
2015-05-28,5262
2015-05-29,5262
2015-05-30,5262
2015-05-31,5262
2015-06-01,5262
2015-06-02,5262
2015-06-03,5262
2015-06-04,5262
2015-06-05,5262
2015-06-06,5262
2015-06-07,5262
2015-06-08,5018
2015-06-09,5018
2015-06-10,5018
2015-06-11,5018
2015-06-12,5018
2015-06-13,5018
2015-06-14,5018
2015-06-15,5018
2015-06-16,5018
2015-06-17,5018
2015-06-18,5018
2015-06-19,5018
2015-06-20,5018
2015-06-21,5018
2015-06-22,5018
2015-06-23,5018
2015-06-24,5018
2015-06-25,5018
2015-06-26,5018
2015-06-27,5018
2015-06-28,5018
2015-06-29,5018
2015-06-30,5018
2015-07-01,5018
2015-07-02,5018
2015-07-03,5018
2015-07-04,5018
2015-07-05,5018
2015-07-06,5018
2015-07-07,5018
2015-07-08,5018
2015-07-09,5018
2015-07-10,5018
2015-07-11,5018
2015-07-12,5018
2015-07-13,5018
2015-07-14,5018
2015-07-15,4793
2015-07-16,4793
2015-07-17,4793
2015-07-18,4793
2015-07-19,4793
2015-07-20,4793
2015-07-21,4793
2015-07-22,4793
2015-07-23,4793
2015-07-24,4793
2015-07-25,4793
2015-07-26,4793
2015-07-27,4793
2015-07-28,4793
2015-07-29,4793
2015-07-30,4793
2015-07-31,4793
2015-08-01,4793
2015-08-02,4793
2015-08-03,4793
2015-08-04,4793
2015-08-05,4793
2015-08-06,4793
2015-08-07,4793
2015-08-08,4793
2015-08-09,4793
2015-08-10,4793
2015-08-11,4793
2015-08-12,4793
2015-08-13,4793
2015-08-14,4793
2015-08-15,4793
2015-08-16,4793
2015-08-17,4793
2015-08-18,4793
2015-08-19,4793
2015-08-20,4793
2015-08-21,4570
2015-08-22,4570
2015-08-23,4570
2015-08-24,4570
2015-08-25,4570
2015-08-26,4570
2015-08-27,4570
2015-08-28,4570
2015-08-29,4570
2015-08-30,4570
2015-08-31,4570
2015-09-01,4570
2015-09-02,4570
2015-09-03,4570
2015-09-04,4570
2015-09-05,4570
2015-09-06,4570
2015-09-07,4570
2015-09-08,4570
2015-09-09,4570
2015-09-10,4570
2015-09-11,4570
2015-09-12,4570
2015-09-13,4570
2015-09-14,4570
2015-09-15,4570
2015-09-16,4570
2015-09-17,4570
2015-09-18,4570
2015-09-19,4570
2015-09-20,4570
2015-09-21,4570
2015-09-22,4570
2015-09-23,4570
2015-09-24,4570
2015-09-25,4570
2015-09-27,4570
2015-09-28,4570
2015-09-29,4570
2015-09-30,4570
2015-10-05,4570
2015-10-06,4382
2015-10-07,4382
2015-10-08,4382
2015-10-09,4382
2015-10-10,4382
2015-10-11,4382
2015-10-12,4382
2015-10-13,4382
2015-10-14,4382
2015-10-15,4382
2015-10-16,4382
2015-10-17,4382
2015-10-18,4382
2015-10-19,4382
2015-10-20,4382
2015-10-22,4382
2015-10-23,4382
2015-10-24,4382
2015-10-25,4382
2015-10-26,4382
2015-10-27,4382
2015-10-29,4382
2015-10-30,4382
2015-10-31,4382
2015-11-01,4382
2015-11-02,4382
2015-11-03,4382
2015-11-04,4382
2015-11-05,4382
2015-11-06,4382
2015-11-07,4382
2015-11-08,4382
2015-11-09,4382
2015-11-10,4382
2015-11-11,4382
2015-11-12,4382
2015-11-13,4382
2015-11-14,4382
2015-11-15,4382
2015-11-16,4382
2015-11-17,4382
2015-11-18,4382
2015-11-19,4382
2015-11-20,4308
2015-11-21,4308
2015-11-22,4308
2015-11-23,4308
2015-11-24,4308
2015-11-25,4308
2015-11-26,4308
2015-11-27,4308
2015-11-28,4308
2015-11-29,4308
2015-11-30,4308
2015-12-01,4308
2015-12-02,4308
2015-12-03,4308
2015-12-04,4308
2015-12-05,4308
2015-12-06,4308
2015-12-07,4308
2015-12-08,4308
2015-12-09,4308
2015-12-10,4308
2015-12-11,4308
2015-12-12,4308
2015-12-13,4308
2015-12-14,4308
2015-12-15,4308
2015-12-16,4308
2015-12-17,4308
2015-12-18,4308
2015-12-19,4308
2015-12-20,4308
2015-12-21,4308
2015-12-22,4308
2015-12-23,4308
2015-12-24,4308
2015-12-25,4308
2015-12-26,4200
2015-12-27,4200
2015-12-28,4200
2015-12-29,4200
2015-12-30,4200
2015-12-31,4200
2016-01-01,4200
2016-01-02,4200
2016-01-03,4200
2016-01-04,4200
2016-01-05,4200
2016-01-06,4200
2016-01-07,4200
2016-01-08,4200
2016-01-09,4200
2016-01-10,4200
2016-01-11,4200
2016-01-12,4200
2016-01-13,4200
2016-01-14,4200
2016-01-15,4200
2016-01-16,4200
2016-01-17,4200
2016-01-18,4200
2016-01-19,4200
2016-01-20,4200
2016-01-21,4200
2016-01-22,4200
2016-01-23,4200
2016-01-24,4200
2016-01-25,4200
2016-01-26,4200
2016-01-27,4088
2016-01-28,4088
2016-01-29,4088
2016-01-30,4088
2016-01-31,4088
2016-02-01,4088
2016-02-02,4088
2016-02-03,4088
2016-02-04,4088
2016-02-05,4088
2016-02-06,4088
2016-02-07,4088
2016-02-08,4088
2016-02-09,4088
2016-02-10,4088
2016-02-11,4088
2016-02-12,4088
2016-02-13,4088
2016-02-14,4088
2016-02-15,4088
2016-02-16,4088
2016-02-17,4088
2016-02-18,4088
2016-02-19,4088
2016-02-20,4088
