date_obj,Nightmare%20staff price
2020-02-05,4000000
2020-02-06,4178000
2020-02-07,4341041
2020-02-08,4558094
2020-02-09,60000000
2020-02-10,63000000
2020-02-11,66150000
2020-02-12,69457500
2020-02-13,72930375
2020-02-14,76576894
2020-02-15,80405739
2020-02-16,84426026
2020-02-17,88647328
2020-02-18,93079695
2020-02-19,97644609
2020-02-20,102526840
2020-02-21,107388521
2020-02-22,112757948
2020-02-23,118305836
2020-02-24,124221128
2020-02-25,130134186
2020-02-26,136640896
2020-02-27,143472941
2020-02-28,150646589
2020-02-29,156757446
2020-03-01,164595319
2020-03-02,172363219
2020-03-03,179185436
2020-03-04,179185436
2020-03-05,187102664
2020-03-06,196457798
2020-03-07,205719617
2020-03-08,215148076
2020-03-09,217591136
2020-03-10,214076008
2020-03-11,206330488
2020-03-12,196013963
2020-03-13,186213264
2020-03-14,176902600
2020-03-15,168057470
2020-03-16,159654596
2020-03-17,151671866
2020-03-18,144816826
2020-03-19,141895022
2020-03-20,139284164
2020-03-21,133266550
2020-03-22,126652834
2020-03-23,120320192
2020-03-24,114304182
2020-03-25,108588972
2020-03-26,103159523
2020-03-27,98001546
2020-03-28,93101468
2020-03-29,88446394
2020-03-30,84024074
2020-03-31,79822870
2020-04-01,75831726
2020-04-02,72040139
2020-04-03,68438132
2020-04-04,65016225
2020-04-05,61765413
2020-04-06,58677142
2020-04-07,55743284
2020-04-08,52956119
2020-04-09,50308313
2020-04-10,47792897
2020-04-11,46289558
2020-04-12,46155319
2020-04-13,45586262
2020-04-14,43626114
2020-04-15,43053994
2020-04-16,43832385
2020-04-17,45543332
2020-04-18,44885399
2020-04-19,44960528
2020-04-20,46990021
2020-04-21,48072031
2020-04-22,49860668
2020-04-23,52353702
2020-04-24,54971388
2020-04-25,57225349
2020-04-26,59018804
2020-04-27,56854580
2020-04-28,55171737
2020-04-29,52893521
2020-04-30,50317470
2020-05-01,48530083
2020-05-02,47511779
2020-05-03,45816486
2020-05-04,45397917
2020-05-05,47185359
2020-05-06,49239104
2020-05-07,49294621
2020-05-08,48654538
2020-05-09,48562933
2020-05-10,48187832
2020-05-11,48778451
2020-05-12,49418779
2020-05-13,48387060
