date_obj,Monk's%20robe price
2015-03-05,1656
2015-03-06,1573
2015-03-07,1494
2015-03-08,1419
2015-03-09,1348
2015-03-10,1280
2015-03-11,1216
2015-03-12,1155
2015-03-13,1097
2015-03-14,1042
2015-03-15,989
2015-03-16,939
2015-03-17,892
2015-03-18,847
2015-03-19,804
2015-03-20,763
2015-03-21,724
2015-03-22,687
2015-03-23,652
2015-03-24,619
2015-03-25,591
2015-03-26,564
2015-03-27,564
2015-03-28,535
2015-03-29,508
2015-03-30,482
2015-03-31,457
2015-04-01,434
2015-04-02,412
2015-04-03,391
2015-04-04,371
2015-04-05,352
2015-04-06,334
2015-04-07,317
2015-04-08,301
2015-04-09,285
2015-04-10,270
2015-04-11,256
2015-04-12,246
2015-04-13,240
2015-04-14,228
2015-04-15,216
2015-04-16,205
2015-04-17,197
2015-04-18,194
2015-04-19,189
2015-04-20,193
2015-04-21,194
2015-04-22,195
2015-04-23,194
2015-04-24,194
2015-04-25,196
2015-04-26,201
2015-04-27,195
2015-04-28,189
2015-04-29,189
2015-04-30,187
2015-05-01,186
2015-05-02,182
2015-05-03,182
2015-05-04,180
2015-05-05,177
2015-05-06,174
2015-05-07,172
2015-05-08,173
2015-05-09,174
2015-05-10,175
2015-05-11,175
2015-05-12,171
2015-05-13,170
2015-05-14,167
2015-05-15,166
2015-05-16,165
2015-05-17,162
2015-05-18,161
2015-05-19,164
2015-05-20,164
2015-05-21,161
2015-05-22,159
2015-05-23,159
2015-05-24,160
2015-05-25,161
2015-05-26,157
2015-05-27,154
2015-05-28,156
2015-05-29,157
2015-05-30,164
2015-05-31,166
2015-06-01,162
2015-06-02,159
2015-06-03,164
2015-06-04,164
2015-06-05,169
2015-06-06,177
2015-06-07,186
2015-06-08,193
2015-06-09,197
2015-06-10,207
2015-06-11,218
2015-06-12,229
2015-06-13,241
2015-06-14,253
2015-06-15,266
2015-06-16,278
2015-06-17,288
2015-06-18,295
2015-06-19,300
2015-06-20,308
2015-06-21,319
2015-06-22,323
2015-06-23,318
2015-06-24,327
2015-06-25,325
2015-06-26,325
2015-06-27,327
2015-06-28,322
2015-06-29,318
2015-06-30,326
2015-07-01,331
2015-07-02,331
2015-07-03,344
2015-07-04,361
2015-07-05,369
2015-07-06,365
2015-07-07,367
2015-07-08,363
2015-07-09,367
2015-07-10,368
2015-07-11,366
2015-07-12,363
2015-07-13,373
2015-07-14,390
2015-07-15,387
2015-07-16,384
2015-07-17,379
2015-07-18,384
2015-07-19,376
2015-07-20,369
2015-07-21,357
2015-07-22,367
2015-07-23,367
2015-07-24,384
2015-07-25,371
2015-07-26,389
2015-07-27,405
2015-07-28,395
2015-07-29,391
2015-07-30,388
2015-07-31,401
2015-08-01,400
2015-08-02,387
2015-08-03,367
2015-08-04,351
2015-08-05,347
2015-08-06,343
2015-08-07,353
2015-08-08,352
2015-08-09,334
2015-08-10,329
2015-08-11,319
2015-08-12,320
2015-08-13,320
2015-08-14,311
2015-08-15,320
2015-08-16,333
2015-08-17,340
2015-08-18,330
2015-08-19,327
2015-08-20,339
2015-08-21,348
2015-08-22,365
2015-08-23,381
2015-08-24,397
2015-08-25,397
2015-08-26,406
2015-08-27,425
2015-08-28,442
2015-08-29,463
2015-08-30,485
2015-08-31,508
2015-09-01,1122
2015-09-02,545
2015-09-07,557
2015-09-08,529
2015-09-10,479
2015-09-14,409
2015-09-16,368
2015-09-22,296
2015-09-23,287
2015-09-24,282
2015-09-25,278
2015-09-27,277
2015-09-28,271
2015-09-29,259
2015-09-30,246
2015-10-05,196
2015-10-06,193
2015-10-07,192
2015-10-08,194
2015-10-09,193
2015-10-10,195
2015-10-11,192
2015-10-12,185
2015-10-13,175
2015-10-14,172
2015-10-15,170
2015-10-16,168
2015-10-17,169
2015-10-18,175
2015-10-19,176
2015-10-20,172
2015-10-22,170
2015-10-23,170
2015-10-24,170
2015-10-25,170
2015-10-26,174
2015-10-27,178
2015-10-29,173
2015-10-30,172
2015-10-31,172
2015-11-01,172
2015-11-02,170
2015-11-03,164
2015-11-04,155
2015-11-05,147
2015-11-06,147
2015-11-07,148
2015-11-08,152
2015-11-09,156
2015-11-10,162
2015-11-11,166
2015-11-12,168
2015-11-13,172
2015-11-14,175
2015-11-15,177
2015-11-16,176
2015-11-17,174
2015-11-18,174
2015-11-19,176
2015-11-20,177
2015-11-21,177
2015-11-22,182
2015-11-23,182
2015-11-24,187
2015-11-25,186
2015-11-26,186
2015-11-27,186
2015-11-28,186
2015-11-29,187
2015-11-30,189
2015-12-01,185
2015-12-02,187
2015-12-03,188
2015-12-04,187
2015-12-05,191
2015-12-06,194
2015-12-07,198
2015-12-08,204
2015-12-09,210
2015-12-10,220
2015-12-11,227
2015-12-12,236
2015-12-13,246
2015-12-14,246
2015-12-15,258
2015-12-16,262
2015-12-17,273
2015-12-18,283
2015-12-19,292
2015-12-20,298
2015-12-21,301
2015-12-22,304
2015-12-23,316
2015-12-24,329
2015-12-25,342
2015-12-26,344
2015-12-27,345
2015-12-28,337
2015-12-29,331
2015-12-30,314
2015-12-31,301
2016-01-01,293
2016-01-02,285
2016-01-03,289
2016-01-04,286
2016-01-05,284
2016-01-06,288
2016-01-07,294
2016-01-08,297
2016-01-09,297
2016-01-10,292
2016-01-11,284
2016-01-12,281
2016-01-13,281
2016-01-14,279
2016-01-15,277
2016-01-16,269
2016-01-17,261
2016-01-18,263
2016-01-19,267
2016-01-20,264
2016-01-21,267
2016-01-22,261
2016-01-23,247
2016-01-24,234
2016-01-25,222
2016-01-26,211
2016-01-27,207
2016-01-28,207
2016-01-29,196
2016-01-30,187
2016-01-31,181
2016-02-01,171
2016-02-02,162
2016-02-03,163
2016-02-04,160
2016-02-05,153
2016-02-06,146
2016-02-07,143
2016-02-08,145
2016-02-09,146
2016-02-10,143
2016-02-11,135
2016-02-12,128
2016-02-13,129
2016-02-14,122
2016-02-15,116
2016-02-16,116
2016-02-17,119
2016-02-18,123
2016-02-19,123
2016-02-20,122
2016-02-21,119
2016-02-22,123
2016-02-23,119
2016-02-24,121
2016-02-25,124
2016-02-26,123
2016-02-27,127
2016-02-28,131
2016-02-29,130
2016-03-01,128
2016-03-02,121
2016-03-03,127
2016-03-04,124
2016-03-05,121
2016-03-06,120
2016-03-07,115
2016-03-08,114
2016-03-09,118
2016-03-10,122
2016-03-11,127
2016-03-12,129
2016-03-13,135
2016-03-14,139
2016-03-15,143
2016-03-16,147
2016-03-17,155
2016-03-18,163
2016-03-19,172
2016-03-20,181
2016-03-21,191
2016-03-22,200
2016-03-23,209
2016-03-24,213
2016-03-25,216
2016-03-26,219
2016-03-27,220
2016-03-28,211
2016-03-29,200
2016-03-30,196
2016-03-31,190
2016-04-01,180
2016-04-02,173
2016-04-03,173
2016-04-04,177
2016-04-05,176
2016-04-06,175
2016-04-07,176
2016-04-08,174
2016-04-09,179
2016-04-10,184
2016-04-11,184
2016-04-12,187
2016-04-13,193
2016-04-14,203
2016-04-15,213
2016-04-16,220
2016-04-17,224
2016-04-18,232
2016-04-19,243
2016-04-20,252
2016-04-21,265
2016-04-22,277
2016-04-23,291
2016-04-24,305
2016-04-25,319
2016-04-26,334
2016-04-27,351
2016-04-28,369
2016-04-29,386
2016-04-30,396
2016-05-01,390
2016-05-02,391
2016-05-03,388
2016-05-04,393
2016-05-05,396
2016-05-06,400
2016-05-07,381
2016-05-08,378
2016-05-09,376
2016-05-10,380
2016-05-11,379
2016-05-12,378
2016-05-13,384
2016-05-14,387
2016-05-15,391
2016-05-16,396
2016-05-17,402
2016-05-18,406
2016-05-19,410
2016-05-22,415
2016-05-23,416
2016-05-24,423
2016-05-25,429
2016-05-26,431
2016-05-27,445
2016-05-28,461
2016-05-29,462
2016-05-30,462
2016-05-31,467
2016-06-01,459
2016-06-02,446
2016-06-03,438
2016-06-04,426
2016-06-05,421
2016-06-06,406
2016-06-07,392
2016-06-08,376
2016-06-09,366
2016-06-10,362
2016-06-11,359
2016-06-12,349
2016-06-13,336
2016-06-14,333
2016-06-15,329
2016-06-16,320
2016-06-17,314
2016-06-18,321
2016-06-19,315
2016-06-20,314
2016-06-21,304
2016-06-22,303
2016-06-23,308
2016-06-24,316
2016-06-25,313
2016-06-26,307
2016-06-27,292
2016-06-28,281
2016-06-29,267
2016-06-30,266
2016-07-01,257
2016-07-02,250
2016-07-03,252
2016-07-04,248
2016-07-05,243
2016-07-06,231
2016-07-07,220
2016-07-08,213
2016-07-09,208
2016-07-10,199
2016-07-11,195
2016-07-12,188
2016-07-13,182
2016-07-14,182
2016-07-15,188
2016-07-16,187
2016-07-17,184
2016-07-18,184
2016-07-23,200
2016-07-24,205
2016-07-25,212
2016-07-26,218
2016-07-27,225
2016-07-28,227
2016-07-29,233
2016-07-30,231
2016-07-31,220
2016-08-01,214
2016-08-02,204
2016-08-03,196
2016-08-04,193
2016-08-05,190
2016-08-06,190
2016-08-07,184
2016-08-08,176
2016-08-09,173
2016-08-10,168
2016-08-11,168
2016-08-12,171
2016-08-13,173
2016-08-14,170
2016-08-15,173
2016-08-16,173
2016-08-17,178
2016-08-18,184
2016-08-19,184
2016-08-20,189
2016-08-21,193
2016-08-22,194
2016-08-23,199
2016-08-24,206
2016-08-25,214
2016-08-26,214
2016-08-28,215
2016-08-31,204
2016-09-01,193
2016-09-02,193
2016-09-03,183
2016-09-04,181
2016-09-05,184
2016-09-06,178
2016-09-07,178
2016-09-08,179
2016-09-09,182
2016-09-10,181
2016-09-11,182
2016-09-12,180
2016-09-13,181
2016-09-14,185
2016-09-15,190
2016-09-16,189
2016-09-17,191
2016-09-18,193
2016-09-19,194
2016-09-20,201
2016-09-21,202
2016-09-22,195
2016-09-23,189
2016-09-24,189
2016-09-25,183
2016-09-26,181
2016-09-27,184
2016-09-28,188
2016-09-29,189
