date_obj,Kebbit%20teeth%20dust price
2015-03-26,1800
2015-03-27,1800
2015-03-28,1800
2015-03-29,1800
2015-03-30,1800
2015-03-31,1800
2015-04-01,1800
2015-04-02,1800
2015-04-03,1800
2015-04-04,1800
2015-04-05,1800
2015-04-06,1800
2015-04-07,1800
2015-04-08,1800
2015-04-09,1800
2015-04-10,1800
2015-04-11,1800
2015-04-12,1800
2015-04-13,1800
2015-04-14,1800
2015-04-15,1800
2015-04-16,1800
2015-04-17,1800
2015-04-18,1800
2015-04-19,1800
2015-04-20,1800
2015-04-21,1800
2015-04-22,1800
2015-04-23,1800
2015-04-24,1800
2015-04-25,1800
2015-04-26,1800
2015-04-27,1800
2015-04-28,1773
2015-04-29,1773
2015-04-30,1773
2015-05-01,1773
2015-05-02,1773
2015-05-03,1773
2015-05-04,1773
2015-05-05,1773
2015-05-06,1773
2015-05-07,1773
2015-05-08,1773
2015-05-09,1773
2015-05-10,1773
2015-05-11,1773
2015-05-12,1773
2015-05-13,1773
2015-05-14,1773
2015-05-15,1773
2015-05-16,1773
2015-05-17,1773
2015-05-18,1773
2015-05-19,1773
2015-05-20,1773
2015-05-21,1773
2015-05-22,1773
2015-05-23,1773
2015-05-24,1773
2015-05-25,1773
2015-05-26,1773
2015-05-27,1773
2015-05-28,1835
2015-05-29,1835
2015-05-30,1835
2015-05-31,1835
2015-06-01,1835
2015-06-02,1835
2015-06-03,1835
2015-06-04,1835
2015-06-05,1835
2015-06-06,1835
2015-06-07,1835
2015-06-08,1835
2015-06-09,1835
2015-06-10,1835
2015-06-11,1835
2015-06-12,1835
2015-06-13,1835
2015-06-14,1835
2015-06-15,1835
2015-06-16,1835
2015-06-17,1835
2015-06-18,1835
2015-06-19,1835
2015-06-20,1835
2015-06-21,1835
2015-06-22,1835
2015-06-23,1835
2015-06-24,1910
2015-06-25,1910
2015-06-26,1910
2015-06-27,1910
2015-06-28,1910
2015-06-29,1910
2015-06-30,1910
2015-07-01,1910
2015-07-02,1910
2015-07-03,1910
2015-07-04,1910
2015-07-05,1910
2015-07-06,1910
2015-07-07,1910
2015-07-08,1910
2015-07-09,1910
2015-07-10,1910
2015-07-11,1910
2015-07-12,1910
2015-07-13,1910
2015-07-14,1910
2015-07-15,1910
2015-07-16,1910
2015-07-17,1910
2015-07-18,1910
2015-07-19,1910
2015-07-20,1910
2015-07-21,1910
2015-07-22,1910
2015-07-23,1910
2015-07-24,1910
2015-07-25,1910
2015-07-26,1910
2015-07-27,1910
2015-07-28,1910
2015-07-29,1910
2015-07-30,1910
2015-07-31,1910
2015-08-01,1910
2015-08-02,1962
2015-08-03,1962
2015-08-04,1962
2015-08-05,1962
2015-08-06,1962
2015-08-07,1962
2015-08-08,1962
2015-08-09,1962
2015-08-10,1962
2015-08-11,1962
2015-08-12,1962
2015-08-13,1962
2015-08-14,1962
2015-08-15,1962
2015-08-16,1962
2015-08-17,1962
2015-08-18,1962
2015-08-19,1962
2015-08-20,1962
2015-08-21,1962
2015-08-22,1962
2015-08-23,1962
2015-08-24,1962
2015-08-25,1962
2015-08-26,1962
2015-08-27,1962
2015-08-28,1962
2015-08-29,1962
2015-08-30,2053
2015-08-31,2053
2015-09-01,2053
2015-09-02,2053
2015-09-03,2053
2015-09-04,2053
2015-09-05,2053
2015-09-06,2053
2015-09-07,2053
2015-09-08,2053
2015-09-09,2053
2015-09-10,2053
2015-09-11,2053
2015-09-12,2053
2015-09-13,2053
2015-09-14,2053
2015-09-15,2053
2015-09-16,2053
2015-09-17,2053
2015-09-18,2053
2015-09-19,2053
2015-09-20,2053
2015-09-21,2053
2015-09-22,2053
2015-09-23,2053
2015-09-24,2053
2015-09-25,2053
2015-09-27,2145
2015-09-28,2145
2015-09-29,2145
2015-09-30,2145
2015-10-05,2145
2015-10-06,2145
2015-10-07,2145
2015-10-08,2145
2015-10-09,2145
2015-10-10,2145
2015-10-11,2145
2015-10-12,2145
2015-10-13,2145
2015-10-14,2145
2015-10-15,2145
2015-10-16,2145
2015-10-17,2145
2015-10-18,2145
2015-10-19,2145
2015-10-20,2145
2015-10-22,2211
2015-10-23,2211
2015-10-24,2211
2015-10-25,2211
2015-10-26,2211
2015-10-27,2211
2015-10-29,2211
2015-10-30,2211
2015-10-31,2211
2015-11-01,2211
2015-11-02,2211
2015-11-03,2211
2015-11-04,2211
2015-11-05,2211
2015-11-06,2211
2015-11-07,2211
2015-11-08,2211
2015-11-09,2211
2015-11-10,2211
2015-11-11,2211
2015-11-12,2211
2015-11-13,2211
2015-11-14,2211
2015-11-15,2211
2015-11-16,2211
2015-11-17,2211
2015-11-18,2211
2015-11-19,2211
2015-11-20,2211
2015-11-21,2211
2015-11-22,2211
2015-11-23,2211
2015-11-24,2211
2015-11-25,2211
2015-11-26,2211
2015-11-27,2280
2015-11-28,2280
2015-11-29,2280
2015-11-30,2280
2015-12-01,2280
2015-12-02,2280
2015-12-03,2280
2015-12-04,2280
2015-12-05,2280
2015-12-06,2280
2015-12-07,2280
2015-12-08,2280
2015-12-09,2280
2015-12-10,2280
2015-12-11,2280
2015-12-12,2280
2015-12-13,2280
2015-12-14,2280
2015-12-15,2280
2015-12-16,2280
2015-12-17,2280
2015-12-18,2280
2015-12-19,2280
2015-12-20,2280
2015-12-21,2280
2015-12-22,2280
2015-12-23,2280
2015-12-24,2280
2015-12-25,2280
2015-12-26,2315
2015-12-27,2315
2015-12-28,2315
2015-12-29,2315
2015-12-30,2315
2015-12-31,2315
2016-01-01,2315
2016-01-02,2315
2016-01-03,2315
2016-01-04,2315
2016-01-05,2315
2016-01-06,2315
2016-01-07,2315
2016-01-08,2315
2016-01-09,2315
2016-01-10,2315
2016-01-11,2315
2016-01-12,2315
2016-01-13,2315
2016-01-14,2315
2016-01-15,2315
2016-01-16,2315
2016-01-17,2315
2016-01-18,2315
2016-01-19,2315
2016-01-20,2315
2016-01-21,2315
2016-01-22,2315
2016-01-23,2315
2016-01-24,2344
2016-01-25,2344
2016-01-26,2344
2016-01-27,2344
2016-01-28,2344
2016-01-29,2344
2016-01-30,2344
2016-01-31,2344
2016-02-01,2344
2016-02-02,2344
2016-02-03,2344
2016-02-04,2344
2016-02-05,2344
2016-02-06,2344
2016-02-07,2344
2016-02-08,2344
2016-02-09,2344
2016-02-10,2344
2016-02-11,2344
2016-02-12,2344
2016-02-13,2344
2016-02-14,2344
2016-02-15,2344
2016-02-16,2344
2016-02-17,2344
2016-02-18,2344
2016-02-19,2344
2016-02-20,2344
2016-02-21,2344
2016-02-22,2344
2016-02-23,2344
2016-02-24,2344
2016-02-25,2437
