date_obj,Black%20dagger price
2015-03-26,3425
2015-03-27,3425
2015-03-28,3260
2015-03-29,3260
2015-03-30,3100
2015-03-31,3100
2015-04-01,2949
2015-04-02,2949
2015-04-03,2808
2015-04-04,2808
2015-04-05,2673
2015-04-06,2673
2015-04-07,2545
2015-04-08,2545
2015-04-09,2545
2015-04-10,2420
2015-04-11,2420
2015-04-12,2303
2015-04-13,2303
2015-04-14,2190
2015-04-15,2190
2015-04-16,2083
2015-04-17,2083
2015-04-18,1980
2015-04-19,1980
2015-04-20,1884
2015-04-21,1884
2015-04-22,1793
2015-04-23,1793
2015-04-24,1705
2015-04-25,1705
2015-04-26,1621
2015-04-27,1621
2015-04-28,1541
2015-04-29,1541
2015-04-30,1470
2015-05-01,1399
2015-05-02,1331
2015-05-03,1331
2015-05-04,1267
2015-05-05,1267
2015-05-06,1205
2015-05-07,1147
2015-05-08,1147
2015-05-09,1091
2015-05-10,1038
2015-05-11,1038
2015-05-12,988
2015-05-13,988
2015-05-14,942
2015-05-15,942
2015-05-16,896
2015-05-17,854
2015-05-18,854
2015-05-19,813
2015-05-20,813
2015-05-21,813
2015-05-22,774
2015-05-23,774
2015-05-24,738
2015-05-25,704
2015-05-26,704
2015-05-27,669
2015-05-28,638
2015-05-29,607
2015-05-30,578
2015-05-31,578
2015-06-01,551
2015-06-02,551
2015-06-03,524
2015-06-04,498
2015-06-05,474
2015-06-06,454
2015-06-07,454
2015-06-08,433
2015-06-09,412
2015-06-10,393
2015-06-11,393
2015-06-12,375
2015-06-13,375
2015-06-14,357
2015-06-15,357
2015-06-16,340
2015-06-17,340
2015-06-18,324
2015-06-19,324
2015-06-20,308
2015-06-21,308
2015-06-22,294
2015-06-23,294
2015-06-24,280
2015-06-25,280
2015-06-26,268
2015-06-27,268
2015-06-28,255
2015-06-29,255
2015-06-30,243
2015-07-01,232
2015-07-02,232
2015-07-03,221
2015-07-04,221
2015-07-05,210
2015-07-06,210
2015-07-07,200
2015-07-08,191
2015-07-09,191
2015-07-10,182
2015-07-11,182
2015-07-12,173
2015-07-13,165
2015-07-14,165
2015-07-15,157
2015-07-16,157
2015-07-17,150
2015-07-18,150
2015-07-19,143
2015-07-20,136
2015-07-21,136
2015-07-22,130
2015-07-23,130
2015-07-24,124
2015-07-25,124
2015-07-26,118
2015-07-27,118
2015-07-28,113
2015-07-29,108
2015-07-30,108
2015-07-31,103
2015-08-01,103
2015-08-02,97
2015-08-03,97
2015-08-04,93
2015-08-05,88
2015-08-06,88
2015-08-07,88
2015-08-08,84
2015-08-09,84
2015-08-10,86
2015-08-11,86
2015-08-12,86
2015-08-13,82
2015-08-14,82
2015-08-15,78
2015-08-16,78
2015-08-17,74
2015-08-18,74
2015-08-19,70
2015-08-20,70
2015-08-21,67
2015-08-22,67
2015-08-23,63
2015-08-24,63
2015-08-25,63
2015-08-26,60
2015-08-27,60
2015-08-28,58
2015-08-29,58
2015-08-30,58
2015-08-31,56
2015-09-01,56
2015-09-02,56
2015-09-03,56
2015-09-04,56
2015-09-05,56
2015-09-06,59
2015-09-07,59
2015-09-08,59
2015-09-09,57
2015-09-10,57
2015-09-11,57
2015-09-12,54
2015-09-13,54
2015-09-14,54
2015-09-15,51
2015-09-16,51
2015-09-17,51
2015-09-18,48
2015-09-19,48
2015-09-20,48
2015-09-21,45
2015-09-22,45
2015-09-23,42
2015-09-24,42
2015-09-25,42
2015-09-27,40
2015-09-28,40
2015-09-29,39
2015-09-30,39
2015-10-05,39
2015-10-06,39
2015-10-07,39
2015-10-08,39
2015-10-09,39
2015-10-10,39
2015-10-11,39
2015-10-12,39
2015-10-13,39
2015-10-14,39
2015-10-15,39
2015-10-16,39
2015-10-17,39
2015-10-18,39
2015-10-19,40
2015-10-20,40
2015-10-22,40
2015-10-23,41
2015-10-24,41
2015-10-25,41
2015-10-26,41
2015-10-27,41
2015-10-28,41
2015-10-29,41
2015-10-30,42
2015-10-31,42
2015-11-01,42
2015-11-02,41
2015-11-03,41
2015-11-04,41
2015-11-05,41
2015-11-06,42
2015-11-07,42
2015-11-08,42
2015-11-09,43
2015-11-10,43
2015-11-11,43
2015-11-12,43
2015-11-13,44
2015-11-14,44
2015-11-15,44
2015-11-16,42
2015-11-17,42
2015-11-18,42
2015-11-19,41
2015-11-20,41
2015-11-21,41
2015-11-22,43
2015-11-23,43
