date_obj,Granite%20ring price
2017-10-25,51850
2017-10-26,54443
2017-10-27,57166
2017-10-28,57166
2017-10-29,58953
2017-10-30,58953
2017-10-31,58303
2017-11-01,58303
2017-11-02,60942
2017-11-03,60942
2017-11-04,61986
2017-11-05,61986
2017-11-06,61116
2017-11-07,61116
2017-11-08,58637
2017-11-09,58637
2017-11-10,57409
2017-11-11,57409
2017-11-12,58970
2017-11-13,58970
2017-11-14,58970
2017-11-15,58114
2017-11-16,58114
2017-11-17,55208
2017-11-18,55208
2017-11-19,55208
2017-11-20,52447
2017-11-21,52447
2017-11-22,53247
2017-11-23,53247
2017-11-24,55854
2017-11-25,55854
2017-11-26,58576
2017-11-27,58576
2017-11-28,58576
2017-11-29,61470
2017-11-30,61470
2017-12-01,63925
2017-12-02,63925
2017-12-03,63925
2017-12-04,63462
2017-12-05,63462
2017-12-06,60539
2017-12-07,60539
2017-12-08,60539
2017-12-09,57512
2017-12-10,57512
2017-12-11,57512
2017-12-12,54638
2017-12-13,54638
2017-12-14,54638
2017-12-15,51919
2017-12-16,51919
2017-12-17,51919
2017-12-18,49323
2017-12-19,49323
2017-12-20,49323
2017-12-21,46856
2017-12-22,46856
2017-12-23,46856
2017-12-24,44513
2017-12-25,44513
2017-12-26,44513
2017-12-27,42287
2017-12-28,42287
2017-12-29,42287
2017-12-30,40172
2017-12-31,40172
2018-01-01,38367
2018-01-02,38367
2018-01-03,36504
2018-01-04,36504
2018-01-05,34678
2018-01-06,34678
2018-01-07,32944
2018-01-08,32944
2018-01-09,32007
2018-01-10,32007
2018-01-11,32007
2018-01-12,31580
2018-01-13,31580
2018-01-14,31263
2018-01-15,31263
2018-01-16,30924
2018-01-17,30924
2018-01-18,30924
2018-01-19,31725
2018-01-20,31725
2018-01-21,31081
2018-01-22,31081
2018-01-23,31491
2018-01-25,31013
2018-01-26,31013
2018-01-27,31883
2018-01-28,32458
2018-01-29,32458
2018-01-30,33027
2018-01-31,33027
2018-02-01,33299
2018-02-02,33299
2018-02-03,34691
2018-02-04,34691
2018-02-05,36373
2018-02-06,36373
2018-02-07,38192
2018-02-08,38192
2018-02-09,39607
2018-02-10,39607
2018-02-11,40626
2018-02-12,40626
2018-02-13,40410
2018-02-14,40410
2018-02-15,41688
2018-02-16,41688
2018-02-17,43763
2018-02-18,43763
2018-02-19,45945
2018-02-20,45945
2018-02-21,48014
2018-02-22,48014
2018-02-23,49809
2018-02-24,49809
2018-02-25,49203
2018-02-26,49203
2018-02-27,46840
2018-02-28,46840
2018-03-01,44707
2018-03-02,43699
2018-03-03,43699
2018-03-04,45087
2018-03-05,45087
2018-03-06,46136
2018-03-07,46136
2018-03-08,48020
2018-03-09,48020
2018-03-10,49196
2018-03-11,49196
2018-03-12,48201
2018-03-13,48201
2018-03-14,46854
2018-03-15,46854
2018-03-16,45795
2018-03-17,44191
2018-03-18,44191
2018-03-19,43313
2018-03-20,41699
2018-03-21,41699
2018-03-23,39823
2018-03-24,39008
2018-03-25,39008
2018-03-26,37555
2018-03-27,37555
2018-03-28,35718
2018-03-29,35718
2018-03-30,33932
2018-03-31,33932
2018-04-01,32345
2018-04-02,32345
2018-04-03,33790
2018-04-04,33790
2018-04-05,35276
2018-04-06,35276
2018-04-07,36457
2018-04-08,36457
2018-04-09,38280
2018-04-10,38280
2018-04-11,39696
2018-04-12,39696
2018-04-13,41471
2018-04-14,41471
2018-04-15,43534
2018-04-16,43534
2018-04-17,43766
2018-04-18,43766
2018-04-19,43766
2018-04-20,45435
2018-04-21,45435
2018-04-22,45435
2018-04-23,45620
2018-04-24,45620
2018-04-25,46563
2018-04-26,46563
2018-04-27,46563
2018-04-28,47655
2018-04-29,47655
2018-04-30,49112
2018-05-01,49112
2018-05-03,50243
2018-05-04,50243
2018-05-05,51574
2018-05-06,51574
2018-05-07,51574
2018-05-08,52451
2018-05-09,52451
2018-05-10,54623
2018-05-11,54623
2018-05-12,57268
2018-05-13,57268
2018-05-14,59946
2018-05-15,59946
2018-05-16,62679
2018-05-17,62679
2018-05-18,65792
2018-05-19,65792
2018-05-20,68194
2018-05-21,68194
2018-05-22,68194
2018-05-23,70475
2018-05-24,70475
2018-05-25,70475
2018-05-26,67252
2018-05-27,67252
2018-05-28,66919
2018-05-29,66919
2018-05-30,64529
2018-05-31,64529
2018-06-01,63962
2018-06-02,63962
2018-06-03,62685
2018-06-04,62685
2018-06-05,59634
2018-06-06,59634
2018-06-07,57695
2018-06-08,57695
2018-06-09,55899
2018-06-10,55899
2018-06-11,53104
2018-06-12,53104
2018-06-13,50526
2018-06-14,50526
2018-06-15,48299
2018-06-16,48299
2018-06-17,46964
2018-06-18,46964
2018-06-19,44753
2018-06-20,44753
2018-06-21,43531
2018-06-22,43531
2018-06-23,43113
2018-06-24,43113
2018-06-25,42276
2018-06-26,42276
