date_obj,Saradomin%20robe%20top price
2015-03-26,43100
2015-03-27,43100
2015-03-28,42373
2015-03-29,41718
2015-03-30,41118
2015-03-31,41659
2015-04-01,42229
2015-04-02,42483
2015-04-03,42946
2015-04-04,43698
2015-04-05,45148
2015-04-06,46643
2015-04-07,48802
2015-04-08,51116
2015-04-09,53585
2015-04-10,55851
2015-04-11,56732
2015-04-12,54559
2015-04-13,55018
2015-04-14,56548
2015-04-15,57662
2015-04-16,58633
2015-04-17,60104
2015-04-18,60713
2015-04-19,61142
2015-04-20,61662
2015-04-21,62492
2015-04-22,62745
2015-04-23,62204
2015-04-24,62342
2015-04-25,62693
2015-04-26,61508
2015-04-27,60061
2015-04-28,59952
2015-04-29,59952
2015-04-30,59118
2015-05-01,56162
2015-05-02,53897
2015-05-03,51639
2015-05-04,49253
2015-05-05,46913
2015-05-06,44793
2015-05-07,42603
2015-05-08,40778
2015-05-09,38973
2015-05-10,37724
2015-05-11,37724
2015-05-12,37109
2015-05-13,36486
2015-05-14,35671
2015-05-15,35474
2015-05-16,35474
2015-05-17,35007
2015-05-18,34860
2015-05-19,33999
2015-05-20,33999
2015-05-21,33517
2015-05-22,32983
2015-05-23,32966
2015-05-24,33090
2015-05-25,34285
2015-05-26,35636
2015-05-27,36592
2015-05-28,36674
2015-05-29,37025
2015-05-30,37381
2015-05-31,38453
2015-06-01,38481
2015-06-02,38481
2015-06-03,39408
2015-06-04,38878
2015-06-05,38946
2015-06-06,39308
2015-06-07,39511
2015-06-08,40846
2015-06-09,42521
2015-06-10,43603
2015-06-11,43603
2015-06-12,43959
2015-06-13,44134
2015-06-14,44890
2015-06-15,44868
2015-06-16,44730
2015-06-17,45862
2015-06-18,46530
2015-06-19,46901
2015-06-20,46202
2015-06-21,47211
2015-06-22,47737
2015-06-23,47855
2015-06-24,47280
2015-06-25,47280
2015-06-26,47159
2015-06-27,47159
2015-06-28,46629
2015-06-29,46579
2015-06-30,47062
2015-07-01,46655
2015-07-02,46655
2015-07-03,45222
2015-07-04,44738
2015-07-05,44632
2015-07-06,44892
2015-07-07,44533
