date_obj,Papaya%20tree%20seed price
2015-03-05,7945
2015-03-06,8098
2015-03-07,8327
2015-03-08,8726
2015-03-09,9163
2015-03-10,9622
2015-03-11,9885
2015-03-12,9850
2015-03-13,9799
2015-03-14,9430
2015-03-15,9035
2015-03-16,8843
2015-03-17,9055
2015-03-18,9322
2015-03-19,9515
2015-03-20,9616
2015-03-21,9672
2015-03-22,9693
2015-03-23,9835
2015-03-24,9798
2015-03-25,9946
2015-03-26,9632
2015-03-27,9632
2015-03-28,9318
2015-03-29,9186
2015-03-30,8978
2015-03-31,8539
2015-04-01,8121
2015-04-02,7774
2015-04-03,7421
2015-04-04,7164
2015-04-05,6866
2015-04-06,6546
2015-04-07,6505
2015-04-08,6742
2015-04-09,6751
2015-04-10,6586
2015-04-11,6499
2015-04-12,6382
2015-04-13,6487
2015-04-14,6663
2015-04-15,6693
2015-04-16,6480
2015-04-17,6348
2015-04-18,6057
2015-04-19,5832
2015-04-20,5623
2015-04-21,5390
2015-04-22,5245
2015-04-23,5188
2015-04-24,5139
2015-04-25,5142
2015-04-26,5094
2015-04-27,5101
2015-04-28,5219
2015-04-29,5219
2015-04-30,5323
2015-05-01,5213
2015-05-02,5341
2015-05-03,5447
2015-05-04,5595
2015-05-05,5732
2015-05-06,5898
2015-05-07,6033
2015-05-08,6168
2015-05-09,6279
2015-05-10,6415
2015-05-11,6539
2015-05-12,6642
2015-05-13,6828
2015-05-14,7050
2015-05-15,7124
2015-05-16,7022
2015-05-17,6823
2015-05-18,6959
2015-05-19,6715
2015-05-20,6536
2015-05-21,6717
2015-05-22,6930
2015-05-23,7012
2015-05-24,7121
2015-05-25,7053
2015-05-26,6861
2015-05-27,6936
2015-05-28,6947
2015-05-29,6974
2015-05-30,6890
2015-05-31,6957
2015-06-01,6962
2015-06-02,6949
2015-06-03,6833
2015-06-04,6778
2015-06-05,6901
2015-06-06,7101
2015-06-07,7216
2015-06-08,7399
2015-06-09,7537
2015-06-10,7689
2015-06-11,7737
2015-06-12,7861
2015-06-13,8068
2015-06-14,8164
2015-06-15,7990
2015-06-16,7716
2015-06-17,7583
2015-06-18,7380
2015-06-19,7014
2015-06-20,6671
2015-06-21,6421
2015-06-22,6237
2015-06-23,6439
2015-06-24,6617
2015-06-25,6621
2015-06-26,6666
2015-06-27,6411
2015-06-28,6366
2015-06-29,6251
2015-06-30,6106
2015-07-01,6186
2015-07-02,6238
2015-07-03,6064
2015-07-04,5821
2015-07-05,5788
2015-07-06,5876
2015-07-07,5774
2015-07-08,5790
2015-07-09,5597
2015-07-10,5552
2015-07-11,5447
2015-07-12,5332
2015-07-13,5314
2015-07-14,5164
2015-07-15,5039
2015-07-16,5144
2015-07-17,5124
2015-07-18,5217
2015-07-19,5187
2015-07-20,5239
2015-07-21,5171
2015-07-22,5326
2015-07-23,5374
2015-07-24,5507
2015-07-25,5542
2015-07-26,5635
2015-07-27,5750
2015-07-28,5882
2015-07-29,5935
2015-07-30,6077
2015-07-31,6282
2015-08-01,6438
2015-08-02,6528
2015-08-03,6820
2015-08-04,6989
2015-08-05,7139
2015-08-06,7168
2015-08-07,7249
2015-08-08,7276
2015-08-09,7044
2015-08-10,7225
2015-08-11,7390
2015-08-12,7383
2015-08-13,7440
2015-08-14,7392
2015-08-15,7191
2015-08-16,7191
2015-08-17,7326
2015-08-18,7487
2015-08-19,7582
2015-08-20,7781
2015-08-21,7953
2015-08-22,7835
2015-08-23,7483
2015-08-24,7373
2015-08-25,7495
2015-08-26,7630
2015-08-27,7837
2015-08-28,7837
2015-08-29,7923
2015-08-30,7999
2015-08-31,7999
2015-09-02,8255
2015-09-07,8778
2015-09-08,9004
2015-09-10,9511
2015-09-14,9514
2015-09-16,9519
2015-09-22,10243
2015-09-23,10593
2015-09-24,11010
2015-09-25,11041
2015-09-27,10801
2015-09-28,10657
2015-09-29,10984
2015-09-30,11002
2015-10-05,10536
2015-10-06,10594
2015-10-07,10185
2015-10-08,10178
2015-10-09,9920
2015-10-10,9424
2015-10-11,9039
2015-10-12,8840
2015-10-13,8431
2015-10-14,8321
2015-10-15,8532
2015-10-16,8714
2015-10-17,9074
2015-10-18,9442
2015-10-19,9414
2015-10-20,9187
2015-10-22,9284
2015-10-23,9066
2015-10-24,8840
2015-10-25,9157
2015-10-26,9059
2015-10-27,8874
2015-10-29,9123
2015-10-30,9424
2015-10-31,9537
2015-11-01,9339
2015-11-02,9558
2015-11-03,9565
2015-11-04,9384
2015-11-05,9276
2015-11-06,9358
2015-11-07,9508
2015-11-08,9629
2015-11-09,9600
2015-11-10,9480
2015-11-11,9567
2015-11-12,9641
2015-11-13,9862
2015-11-14,10181
2015-11-15,10059
2015-11-16,10264
2015-11-17,10184
2015-11-18,10244
2015-11-19,10071
2015-11-20,9992
2015-11-21,9992
2015-11-22,10099
2015-11-23,10390
2015-11-24,10401
2015-11-25,10416
2015-11-26,10598
2015-11-27,10802
2015-11-28,11207
2015-11-29,11404
2015-11-30,11491
2015-12-01,11415
2015-12-02,11389
2015-12-03,11706
2015-12-04,11860
2015-12-05,11858
2015-12-06,11973
