date_obj,Fremennik%20kilt price
2019-04-11,1000000
2019-04-11,1042250
2019-04-12,1094363
2019-04-13,1149082
2019-04-14,1206537
2019-04-15,25000000
2019-04-16,25000000
2019-04-17,26115507
2019-04-18,26524647
2019-04-19,26396460
2019-04-20,26142780
2019-04-21,25973472
2019-04-22,25386908
2019-04-23,24117562
2019-04-24,22911683
2019-04-25,21766098
2019-04-26,20677793
2019-04-27,19648174
2019-04-28,18729041
2019-04-29,17871847
2019-04-30,17974008
2019-05-01,18318586
2019-05-02,18488889
2019-05-03,19170826
2019-05-04,19811090
2019-05-05,19593422
2019-05-06,19160028
2019-05-07,18372661
2019-05-08,17616505
2019-05-09,16764255
2019-05-10,15926042
2019-05-11,15129739
2019-05-12,14373252
2019-05-13,13654589
2019-05-14,13034892
2019-05-15,12840178
2019-05-16,12712906
2019-05-17,12222748
2019-05-18,11722146
2019-05-19,11476069
2019-05-20,11100219
2019-05-21,10597362
2019-05-22,10299009
2019-05-23,9920106
2019-05-24,9722589
2019-05-25,9685565
2019-05-26,9720096
2019-05-27,9956870
2019-05-28,10041910
2019-05-29,9750173
2019-05-30,9366902
2019-05-31,9041726
2019-06-01,8716035
2019-06-02,8805388
2019-06-03,9079252
2019-06-04,9511679
2019-06-05,9976279
2019-06-06,10263347
2019-06-07,10590717
2019-06-08,10550053
2019-06-09,10192617
2019-06-10,10192617
2019-06-11,9683353
2019-06-12,9230291
2019-06-13,9364125
2019-06-14,9618408
2019-06-15,9637217
2019-06-16,9435627
2019-06-17,9308335
2019-06-18,9233022
2019-06-19,9107968
2019-06-20,8964827
2019-06-21,8866616
2019-06-22,8795489
2019-06-23,8417035
2019-06-24,7998657
2019-06-25,7598724
2019-06-26,7218787
2019-06-27,7175048
2019-06-28,7175048
2019-06-29,7453146
2019-06-30,7227891
2019-07-01,7052609
2019-07-02,6770065
2019-07-03,6479526
2019-07-04,6184990
2019-07-05,5984558
2019-07-06,5887729
2019-07-07,5849490
2019-07-08,5752263
2019-07-09,5548599
2019-07-10,5430800
2019-07-11,5382020
2019-07-12,5538877
2019-07-13,5630346
2019-07-14,5897563
2019-07-15,6172815
2019-07-16,6481456
2019-07-17,6740559
2019-07-18,6762800
2019-07-19,6930054
2019-07-20,7111116
2019-07-21,7253024
2019-07-22,7261289
2019-07-23,7141678
2019-07-24,6985459
