date_obj,Cooked%20rabbit price
2015-03-26,14623
2015-03-27,14623
2015-03-28,13891
2015-03-29,13891
2015-03-30,13891
2015-03-31,13891
2015-04-01,13891
2015-04-02,13891
2015-04-03,13891
2015-04-04,13196
2015-04-05,13196
2015-04-06,13196
2015-04-07,13196
2015-04-08,13196
2015-04-09,13196
2015-04-10,13196
2015-04-11,13196
2015-04-12,12544
2015-04-13,12544
2015-04-14,12544
2015-04-15,12544
2015-04-16,12544
2015-04-17,12544
2015-04-18,12544
2015-04-19,12544
2015-04-20,11916
2015-04-21,11916
2015-04-22,11916
2015-04-23,11916
2015-04-24,11916
2015-04-25,11916
2015-04-26,11916
2015-04-27,11320
2015-04-28,11320
2015-04-29,11320
2015-04-30,11320
2015-05-01,11320
2015-05-02,11320
2015-05-03,11320
2015-05-04,10754
2015-05-05,10754
2015-05-06,10754
2015-05-07,10754
2015-05-08,10754
2015-05-09,10754
2015-05-10,10231
2015-05-11,10231
2015-05-12,10231
2015-05-13,10231
2015-05-14,10231
2015-05-15,10231
2015-05-16,10231
2015-05-17,9846
2015-05-18,9846
2015-05-19,9846
2015-05-20,9846
2015-05-21,9846
2015-05-22,9846
2015-05-23,9846
2015-05-24,9846
2015-05-25,9363
2015-05-26,9363
2015-05-27,9363
2015-05-28,9363
2015-05-29,9363
2015-05-30,8894
2015-05-31,8894
2015-06-01,8894
2015-06-02,8894
2015-06-03,8894
2015-06-04,8894
2015-06-05,8894
2015-06-06,8449
2015-06-07,8449
2015-06-08,8449
2015-06-09,8449
2015-06-10,8449
2015-06-11,8449
2015-06-12,8027
2015-06-13,8027
2015-06-14,8027
2015-06-15,8027
2015-06-16,8027
2015-06-17,7627
2015-06-18,7627
2015-06-19,7627
2015-06-20,7627
2015-06-21,7627
2015-06-22,7627
2015-06-23,7245
2015-06-24,7245
2015-06-25,7245
2015-06-26,7245
2015-06-27,7245
2015-06-28,6885
2015-06-29,6885
2015-06-30,6885
2015-07-01,6885
2015-07-02,6885
2015-07-03,6885
2015-07-04,6543
2015-07-05,6543
2015-07-06,6543
2015-07-07,6543
2015-07-08,6543
2015-07-09,6543
2015-07-10,6218
2015-07-11,6218
2015-07-12,6218
2015-07-13,6218
2015-07-14,6218
2015-07-15,6218
2015-07-16,5919
2015-07-17,5919
2015-07-18,5919
2015-07-19,5919
2015-07-20,5919
2015-07-21,5919
2015-07-22,5642
2015-07-23,5642
2015-07-24,5642
2015-07-25,5642
2015-07-26,5642
2015-07-27,5642
2015-07-28,5642
2015-07-29,5359
2015-07-30,5359
2015-07-31,5359
2015-08-01,5359
2015-08-02,5359
2015-08-03,5359
2015-08-04,5093
2015-08-05,5093
2015-08-06,5093
2015-08-07,5093
2015-08-08,5093
2015-08-09,4840
2015-08-10,4840
2015-08-11,4840
2015-08-12,4840
2015-08-13,4840
2015-08-14,4840
2015-08-15,4598
2015-08-16,4598
2015-08-17,4598
2015-08-18,4598
2015-08-19,4598
2015-08-20,4598
2015-08-21,4368
2015-08-22,4368
2015-08-23,4368
2015-08-24,4368
2015-08-25,4368
2015-08-26,4368
2015-08-27,4153
2015-08-28,4153
2015-08-29,4153
2015-08-30,4153
2015-08-31,4153
2015-09-01,4153
2015-09-02,4153
2015-09-03,3963
2015-09-04,3963
2015-09-05,3963
2015-09-06,3963
2015-09-07,3963
2015-09-08,3963
2015-09-09,3963
2015-09-10,3766
2015-09-11,3766
2015-09-12,3766
2015-09-13,3766
2015-09-14,3766
