date_obj,Saradomin%20armour%20set%20(sk) price
2015-03-26,891000
2015-03-27,891000
2015-03-28,891000
2015-03-29,891000
2015-03-30,891000
2015-03-31,891000
2015-04-01,891000
2015-04-02,891000
2015-04-03,891000
2015-04-04,859812
2015-04-05,859812
2015-04-06,859812
2015-04-07,859812
2015-04-08,859812
2015-04-09,859812
2015-04-10,859812
2015-04-11,859812
2015-04-12,859812
2015-04-13,859812
2015-04-14,859812
2015-04-15,859812
2015-04-16,859812
2015-04-17,859812
2015-04-18,859812
2015-04-19,859812
2015-04-20,859812
2015-04-21,859812
2015-04-22,859812
2015-04-23,859812
2015-04-24,859812
2015-04-25,859812
2015-04-26,859812
2015-04-27,859812
2015-04-28,859812
2015-04-29,859812
2015-04-30,859812
2015-05-01,859812
2015-05-02,859812
2015-05-03,859812
2015-05-04,859812
2015-05-05,859812
2015-05-06,859812
2015-05-07,859812
2015-05-08,859812
2015-05-09,859812
2015-05-10,859812
2015-05-11,859812
2015-05-12,859812
2015-05-13,859812
2015-05-14,859812
2015-05-15,859812
2015-05-16,859812
2015-05-17,859812
2015-05-18,859812
2015-05-19,817659
2015-05-20,817659
2015-05-21,817659
2015-05-22,817659
2015-05-23,817659
2015-05-24,817659
2015-05-25,817659
2015-05-26,817659
2015-05-27,817659
2015-05-28,817659
2015-05-29,817659
2015-05-30,817659
2015-05-31,817659
2015-06-01,817659
2015-06-02,817659
2015-06-03,817659
2015-06-04,817659
2015-06-05,817659
2015-06-06,817659
2015-06-07,778609
2015-06-08,778609
2015-06-09,778609
2015-06-10,778609
2015-06-11,778609
2015-06-12,778609
2015-06-13,778609
2015-06-14,778609
2015-06-15,778609
2015-06-16,778609
2015-06-17,778609
2015-06-18,778609
2015-06-19,778609
2015-06-20,778609
2015-06-21,778609
2015-06-22,778609
2015-06-23,778609
2015-06-24,778609
2015-06-25,778609
2015-06-26,778609
2015-06-27,778609
2015-06-28,778609
2015-06-29,740662
2015-06-30,740662
2015-07-01,740662
2015-07-02,740662
2015-07-03,740662
2015-07-04,740662
2015-07-05,740662
2015-07-06,740662
2015-07-07,740662
2015-07-08,740662
2015-07-09,740662
2015-07-10,740662
2015-07-11,740662
2015-07-12,740662
2015-07-13,740662
2015-07-14,740662
2015-07-15,740662
2015-07-16,740662
2015-07-17,740662
2015-07-18,740662
2015-07-19,704621
2015-07-20,704621
2015-07-21,704621
2015-07-22,704621
2015-07-23,704621
2015-07-24,704621
2015-07-25,704621
2015-07-26,704621
2015-07-27,704621
2015-07-28,704621
2015-07-29,704621
2015-07-30,704621
2015-07-31,704621
2015-08-01,704621
2015-08-02,704621
2015-08-03,704621
2015-08-04,704621
2015-08-05,704621
2015-08-06,704621
2015-08-07,704621
2015-08-08,670991
2015-08-09,670991
2015-08-10,670991
2015-08-11,670991
2015-08-12,670991
2015-08-13,670991
2015-08-14,670991
2015-08-15,670991
2015-08-16,670991
2015-08-17,670991
2015-08-18,670991
2015-08-19,670991
2015-08-20,670991
2015-08-21,670991
2015-08-22,670991
2015-08-23,670991
2015-08-24,638617
2015-08-25,638617
2015-08-26,638617
2015-08-27,638617
2015-08-28,638617
2015-08-29,638617
2015-08-30,638617
2015-08-31,638617
2015-09-01,638617
2015-09-02,638617
2015-09-03,638617
2015-09-04,638617
2015-09-05,638617
2015-09-06,638617
2015-09-07,638617
2015-09-08,638617
2015-09-09,638617
2015-09-10,607436
2015-09-11,607436
2015-09-12,607436
