date_obj,Red%20boots price
2015-03-04,13606
2015-03-05,13606
2015-03-06,12925
2015-03-07,12925
2015-03-08,12925
2015-03-09,12278
2015-03-10,12278
2015-03-11,12278
2015-03-12,12278
2015-03-13,11664
2015-03-14,11664
2015-03-15,11664
2015-03-16,11093
2015-03-17,11093
2015-03-18,11093
2015-03-19,11093
2015-03-20,10538
2015-03-21,10538
2015-03-22,10538
2015-03-23,10014
2015-03-24,10014
2015-03-25,10014
2015-03-26,9513
2015-03-27,9513
2015-03-28,9513
2015-03-29,9513
2015-03-30,9037
2015-03-31,9037
2015-04-01,9037
2015-04-02,8585
2015-04-03,8585
2015-04-04,8585
2015-04-05,8155
2015-04-06,8155
2015-04-07,8155
2015-04-08,7747
2015-04-09,7747
2015-04-10,7747
2015-04-11,7359
2015-04-12,7359
2015-04-13,7359
2015-04-14,6993
2015-04-15,6993
2015-04-16,6993
2015-04-17,6653
2015-04-18,6653
2015-04-19,6653
2015-04-20,6329
2015-04-21,6329
2015-04-22,6329
2015-04-23,6034
2015-04-24,6034
2015-04-25,6034
2015-04-26,6034
2015-04-27,5732
2015-04-28,5732
2015-04-29,5732
2015-04-30,5452
2015-05-01,5452
2015-05-02,5452
2015-05-03,5452
2015-05-04,5179
2015-05-05,5179
2015-05-06,5179
2015-05-07,4926
2015-05-08,4926
2015-05-09,4926
2015-05-10,4693
2015-05-11,4693
2015-05-12,4693
2015-05-13,4693
2015-05-14,4458
2015-05-15,4458
2015-05-16,4458
2015-05-17,4302
2015-05-18,4302
2015-05-19,4302
2015-05-20,4302
2015-05-21,4090
2015-05-22,4090
2015-05-23,4090
2015-05-24,4090
2015-05-25,3885
2015-05-26,3885
2015-05-27,3885
2015-05-28,3690
2015-05-29,3690
2015-05-30,3505
2015-05-31,3505
2015-06-01,3331
2015-06-02,3331
2015-06-03,3331
2015-06-04,3222
2015-06-05,3222
2015-06-06,3154
2015-06-07,3154
2015-06-08,3154
2015-06-09,3017
2015-06-10,3017
2015-06-11,3017
2015-06-12,2889
2015-06-13,2889
2015-06-14,2774
2015-06-15,2774
2015-06-16,2672
2015-06-17,2672
2015-06-18,2550
2015-06-19,2550
2015-06-20,2550
2015-06-21,2461
2015-06-22,2461
2015-06-23,2365
2015-06-24,2365
2015-06-25,2365
2015-06-26,2296
2015-06-27,2296
2015-06-28,2296
2015-06-29,2188
2015-06-30,2188
2015-07-01,2087
2015-07-02,2087
2015-07-03,2087
2015-07-04,1984
2015-07-05,1984
2015-07-06,1984
2015-07-07,1958
2015-07-08,1958
2015-07-09,1958
2015-07-10,1996
2015-07-11,1996
2015-07-12,1996
2015-07-13,1963
2015-07-14,1963
2015-07-15,1919
2015-07-16,1919
2015-07-17,1839
2015-07-18,1839
2015-07-19,1839
2015-07-20,1756
2015-07-21,1756
2015-07-22,1740
2015-07-23,1740
2015-07-24,1740
2015-07-25,1784
2015-07-26,1784
2015-07-27,1786
2015-07-28,1786
2015-07-29,1780
2015-07-30,1780
2015-07-31,1780
2015-08-01,1806
2015-08-02,1806
2015-08-03,1827
2015-08-04,1827
2015-08-05,1846
2015-08-06,1846
2015-08-07,1846
2015-08-08,1770
2015-08-09,1770
2015-08-10,1765
2015-08-11,1765
2015-08-12,1765
2015-08-13,1795
2015-08-14,1795
2015-08-15,1810
2015-08-16,1810
2015-08-17,1767
2015-08-18,1767
2015-08-19,1788
2015-08-20,1788
2015-08-21,1819
2015-08-22,1819
2015-08-23,1819
2015-08-24,1780
2015-08-25,1780
2015-08-26,1780
2015-08-27,1744
2015-08-28,1744
2015-08-29,1744
2015-08-30,1732
2015-08-31,1732
2015-09-02,1730
2015-09-07,1741
2015-09-08,1741
2015-09-10,1701
2015-09-14,1693
2015-09-16,1694
2015-09-22,1625
2015-09-23,1625
2015-09-24,1625
2015-09-25,1588
2015-09-27,1588
2015-09-28,1559
2015-09-29,1559
2015-09-30,1497
2015-10-05,1483
2015-10-06,1479
2015-10-07,1479
2015-10-08,1479
2015-10-09,1475
2015-10-10,1475
2015-10-11,1475
2015-10-12,1488
2015-10-13,1488
2015-10-14,1488
2015-10-15,1471
2015-10-16,1471
2015-10-17,1471
2015-10-18,1456
2015-10-19,1456
2015-10-20,1385
2015-10-22,1385
