date_obj,Black%20chainbody price
2015-03-26,6222
2015-03-27,6222
2015-03-28,6222
2015-03-29,6222
2015-03-30,6222
2015-03-31,5915
2015-04-01,5915
2015-04-02,5915
2015-04-03,5915
2015-04-04,5915
2015-04-05,5915
2015-04-06,5915
2015-04-07,5915
2015-04-08,5915
2015-04-09,5915
2015-04-10,5915
2015-04-11,5915
2015-04-12,5915
2015-04-13,5915
2015-04-14,5915
2015-04-15,5915
2015-04-16,5915
2015-04-17,5915
2015-04-18,5657
2015-04-19,5657
2015-04-20,5657
2015-04-21,5657
2015-04-22,5657
2015-04-23,5657
2015-04-24,5657
2015-04-25,5657
2015-04-26,5657
2015-04-27,5657
2015-04-28,5657
2015-04-29,5657
2015-04-30,5657
2015-05-01,5657
2015-05-02,5657
2015-05-03,5657
2015-05-04,5382
2015-05-05,5382
2015-05-06,5382
2015-05-07,5382
2015-05-08,5382
2015-05-09,5382
2015-05-10,5382
2015-05-11,5382
2015-05-12,5382
2015-05-13,5382
2015-05-14,5382
2015-05-15,5382
2015-05-16,5382
2015-05-17,5382
2015-05-18,5382
2015-05-19,5382
2015-05-20,5382
2015-05-21,5382
2015-05-22,5162
2015-05-23,5162
2015-05-24,5162
2015-05-25,5162
2015-05-26,5162
2015-05-27,5162
2015-05-28,5162
2015-05-29,5162
2015-05-30,5162
2015-05-31,5162
2015-06-01,5162
2015-06-02,4910
2015-06-03,4910
2015-06-04,4910
2015-06-05,4910
2015-06-06,4910
2015-06-07,4910
2015-06-08,4910
2015-06-09,4910
2015-06-10,4910
2015-06-11,4910
2015-06-12,4910
2015-06-13,4679
2015-06-14,4679
2015-06-15,4679
2015-06-16,4679
2015-06-17,4679
2015-06-18,4679
2015-06-19,4679
2015-06-20,4679
2015-06-21,4679
2015-06-22,4505
2015-06-23,4505
2015-06-24,4505
2015-06-25,4505
2015-06-26,4505
2015-06-27,4505
2015-06-28,4505
2015-06-29,4505
2015-06-30,4505
2015-07-01,4505
2015-07-02,4505
2015-07-03,4505
2015-07-04,4431
2015-07-05,4431
2015-07-06,4431
2015-07-07,4431
2015-07-08,4431
2015-07-09,4431
2015-07-10,4431
2015-07-11,4431
2015-07-12,4431
2015-07-13,4431
2015-07-14,4431
2015-07-15,4380
2015-07-16,4380
2015-07-17,4380
2015-07-18,4380
2015-07-19,4380
2015-07-20,4380
2015-07-21,4380
2015-07-22,4380
2015-07-23,4380
2015-07-24,4380
2015-07-25,4380
2015-07-26,4191
2015-07-27,4191
2015-07-28,4191
2015-07-29,4191
2015-07-30,4191
2015-07-31,4191
2015-08-01,4191
2015-08-02,4191
2015-08-03,4191
2015-08-04,4191
