date_obj,Toy%20mouse price
2015-03-26,922
2015-03-27,922
2015-03-28,922
2015-03-29,922
2015-03-30,922
2015-03-31,922
2015-04-01,922
2015-04-02,922
2015-04-03,901
2015-04-04,901
2015-04-05,901
2015-04-06,901
2015-04-07,901
2015-04-08,901
2015-04-09,901
2015-04-10,901
2015-04-11,896
2015-04-12,896
2015-04-13,896
2015-04-14,896
2015-04-15,896
2015-04-16,896
2015-04-17,896
2015-04-18,896
2015-04-19,896
2015-04-20,870
2015-04-21,870
2015-04-22,870
2015-04-23,870
2015-04-24,870
2015-04-25,870
2015-04-26,870
2015-04-27,870
2015-04-28,870
2015-04-29,870
2015-04-30,887
2015-05-01,887
2015-05-02,887
2015-05-03,887
2015-05-04,887
2015-05-05,887
2015-05-06,887
2015-05-07,887
2015-05-08,887
2015-05-09,887
2015-05-10,899
2015-05-11,899
2015-05-12,899
2015-05-13,899
2015-05-14,899
2015-05-15,899
2015-05-16,899
2015-05-17,899
2015-05-18,899
2015-05-19,881
2015-05-20,881
2015-05-21,881
2015-05-22,881
2015-05-23,881
2015-05-24,881
2015-05-25,881
2015-05-26,881
2015-05-27,881
2015-05-28,909
2015-05-29,909
2015-05-30,909
2015-05-31,909
2015-06-01,909
2015-06-02,909
2015-06-03,924
2015-06-04,924
2015-06-05,924
2015-06-06,924
2015-06-07,924
2015-06-08,934
2015-06-09,934
2015-06-10,934
2015-06-11,934
2015-06-12,934
2015-06-13,934
2015-06-14,934
2015-06-15,934
2015-06-16,934
2015-06-17,934
2015-06-18,934
2015-06-19,934
2015-06-20,934
2015-06-21,934
2015-06-22,922
2015-06-23,922
2015-06-24,922
2015-06-25,922
2015-06-26,922
2015-06-27,922
2015-06-28,922
2015-06-29,912
2015-06-30,912
2015-07-01,912
2015-07-02,912
2015-07-03,912
2015-07-04,912
2015-07-05,912
2015-07-06,908
2015-07-07,908
2015-07-08,908
2015-07-09,908
2015-07-10,908
2015-07-11,908
2015-07-12,908
2015-07-13,908
2015-07-14,907
2015-07-15,907
2015-07-16,907
2015-07-17,907
2015-07-18,907
2015-07-19,907
2015-07-20,907
2015-07-21,909
2015-07-22,909
2015-07-23,909
2015-07-24,909
2015-07-25,909
2015-07-26,909
2015-07-27,909
2015-07-28,910
2015-07-29,910
2015-07-30,910
2015-07-31,910
2015-08-01,910
2015-08-02,910
2015-08-03,910
2015-08-04,900
2015-08-05,900
2015-08-06,900
2015-08-07,900
2015-08-08,900
2015-08-09,900
2015-08-10,900
2015-08-11,907
2015-08-12,907
2015-08-13,907
2015-08-14,907
2015-08-15,907
2015-08-16,907
2015-08-17,907
2015-08-18,907
2015-08-19,913
2015-08-20,913
2015-08-21,913
2015-08-22,913
2015-08-23,913
2015-08-24,913
2015-08-25,913
2015-08-26,913
2015-08-27,896
2015-08-28,896
2015-08-29,896
2015-08-30,896
2015-08-31,896
2015-09-01,896
2015-09-02,896
2015-09-03,896
2015-09-04,918
2015-09-05,918
2015-09-06,918
2015-09-07,918
2015-09-08,918
2015-09-09,918
2015-09-10,918
2015-09-11,918
2015-09-12,911
2015-09-13,911
2015-09-14,911
2015-09-15,911
2015-09-16,911
2015-09-17,911
2015-09-18,911
2015-09-19,911
2015-09-20,894
2015-09-21,894
2015-09-22,894
2015-09-23,894
2015-09-24,894
2015-09-25,894
2015-09-27,894
2015-09-28,894
2015-09-29,887
2015-09-30,887
2015-10-05,887
2015-10-06,887
2015-10-07,909
2015-10-08,909
2015-10-09,909
2015-10-10,909
2015-10-11,909
2015-10-12,909
2015-10-13,909
2015-10-14,909
2015-10-15,910
2015-10-16,910
2015-10-17,910
2015-10-18,910
2015-10-19,910
2015-10-20,910
2015-10-22,910
2015-10-23,905
2015-10-24,905
2015-10-25,905
2015-10-26,905
2015-10-27,905
2015-10-29,905
2015-10-30,905
2015-10-31,905
2015-11-01,887
2015-11-02,887
2015-11-03,887
2015-11-04,887
2015-11-05,887
2015-11-06,887
2015-11-07,887
2015-11-08,887
2015-11-09,887
2015-11-10,907
2015-11-11,907
2015-11-12,907
2015-11-13,907
2015-11-14,907
2015-11-15,907
2015-11-16,907
2015-11-17,907
2015-11-18,907
2015-11-19,887
2015-11-20,887
2015-11-21,887
2015-11-22,887
2015-11-23,887
2015-11-24,887
2015-11-25,887
2015-11-26,887
2015-11-27,887
2015-11-28,888
2015-11-29,888
2015-11-30,888
2015-12-01,888
2015-12-02,888
2015-12-03,888
2015-12-04,888
2015-12-05,888
2015-12-06,893
2015-12-07,893
2015-12-08,893
2015-12-09,893
2015-12-10,893
2015-12-11,893
2015-12-13,931
2015-12-14,931
2015-12-15,931
2015-12-16,931
2015-12-17,931
2015-12-18,931
2015-12-19,931
2015-12-20,978
2015-12-21,978
2015-12-22,978
2015-12-23,978
