date_obj,Hunters'%20crossbow price
2015-03-05,17600
2015-03-06,16745
2015-03-07,16745
2015-03-08,16745
2015-03-09,15921
2015-03-10,15921
2015-03-11,15921
2015-03-12,15921
2015-03-13,15133
2015-03-14,15133
2015-03-15,15133
2015-03-16,15133
2015-03-17,14391
2015-03-18,14391
2015-03-19,14391
2015-03-20,14391
2015-03-21,13683
2015-03-22,13683
2015-03-23,13683
2015-03-24,13683
2015-03-25,13008
2015-03-26,13008
2015-03-27,13008
2015-03-28,13008
2015-03-29,12375
2015-03-30,12375
2015-03-31,12375
2015-04-01,12375
2015-04-02,11779
2015-04-03,11779
2015-04-04,11779
2015-04-05,11199
2015-04-06,11199
2015-04-07,11199
2015-04-08,10681
2015-04-09,10681
2015-04-10,10681
2015-04-11,10168
2015-04-12,10168
2015-04-13,10168
2015-04-14,9667
2015-04-15,9667
2015-04-16,9667
2015-04-17,9199
2015-04-18,9199
2015-04-19,9199
2015-04-20,8752
2015-04-21,8752
2015-04-22,8752
2015-04-23,8327
2015-04-24,8327
2015-04-25,8327
2015-04-26,7935
2015-04-27,7935
2015-04-28,7550
2015-04-29,7550
2015-04-30,7550
2015-05-01,7194
2015-05-02,7194
2015-05-03,7194
2015-05-04,7194
2015-05-05,6967
2015-05-06,6967
2015-05-07,6967
2015-05-08,6967
2015-05-09,6618
2015-05-10,6618
2015-05-11,6618
2015-05-12,6618
2015-05-13,6291
2015-05-14,6291
2015-05-15,6291
2015-05-16,6291
2015-05-17,5982
2015-05-18,5982
2015-05-19,5982
2015-05-20,5982
2015-05-21,5982
2015-05-22,5685
2015-05-23,5685
2015-05-24,5685
2015-05-25,5685
2015-05-26,5408
2015-05-27,5408
2015-05-28,5408
2015-05-29,5143
2015-05-30,5143
2015-05-31,4896
2015-06-01,4896
2015-06-02,4896
2015-06-03,4667
2015-06-04,4667
2015-06-05,4667
2015-06-06,4543
2015-06-07,4543
2015-06-08,4543
2015-06-09,4347
2015-06-10,4347
2015-06-11,4347
2015-06-12,4347
2015-06-13,4207
2015-06-14,4207
2015-06-15,4207
2015-06-16,4207
2015-06-17,4265
2015-06-18,4265
2015-06-19,4265
2015-06-20,4191
