date_obj,Black%20trimmed%20set%20(lg) price
2015-03-26,312457
2015-03-27,312457
2015-03-28,312457
2015-03-29,312457
2015-03-30,312457
2015-03-31,312457
2015-04-01,312457
2015-04-02,312457
2015-04-03,297613
2015-04-04,297613
2015-04-05,297613
2015-04-06,297613
2015-04-07,297613
2015-04-08,297613
2015-04-09,297613
2015-04-10,297613
2015-04-11,297613
2015-04-12,283494
2015-04-13,283494
2015-04-14,283494
2015-04-15,283494
2015-04-16,283494
2015-04-17,283494
2015-04-18,283494
2015-04-19,283494
2015-04-20,283494
2015-04-21,283494
2015-04-22,269901
2015-04-23,269901
2015-04-24,269901
2015-04-25,269901
2015-04-26,269901
2015-04-27,269901
2015-04-28,269901
2015-04-29,269901
2015-04-30,269901
2015-05-01,257023
2015-05-02,257023
2015-05-03,257023
2015-05-04,257023
2015-05-05,257023
2015-05-06,257023
2015-05-07,257023
2015-05-08,257023
2015-05-09,257023
2015-05-10,257023
2015-05-11,257023
2015-05-12,257023
2015-05-13,244658
2015-05-14,244658
2015-05-15,244658
2015-05-16,244658
2015-05-17,244658
2015-05-18,244658
2015-05-19,244658
2015-05-20,244658
2015-05-21,244658
2015-05-22,244658
2015-05-23,244658
2015-05-24,232823
2015-05-25,232823
2015-05-26,232823
2015-05-27,232823
2015-05-28,232823
2015-05-29,232823
2015-05-30,221564
2015-05-31,221564
2015-06-01,221564
2015-06-02,221564
2015-06-03,221564
2015-06-04,221564
2015-06-05,221564
2015-06-06,221564
2015-06-07,210930
2015-06-08,210930
2015-06-09,210930
2015-06-10,210930
2015-06-11,210930
2015-06-12,210930
2015-06-13,210930
2015-06-14,200833
2015-06-15,200833
2015-06-16,200833
2015-06-17,200833
2015-06-18,200833
2015-06-19,200833
2015-06-20,200833
2015-06-21,200833
2015-06-22,191296
2015-06-23,191296
2015-06-24,191296
2015-06-25,191296
2015-06-26,191296
2015-06-27,191296
2015-06-28,191296
2015-06-29,191296
2015-06-30,191296
2015-07-01,182382
2015-07-02,182382
2015-07-03,182382
2015-07-04,182382
2015-07-05,182382
2015-07-06,182382
2015-07-07,182382
2015-07-08,173725
2015-07-09,173725
2015-07-10,173725
2015-07-11,173725
2015-07-12,173725
2015-07-13,173725
2015-07-14,173725
2015-07-15,173725
2015-07-16,165625
2015-07-17,165625
2015-07-18,165625
2015-07-19,165625
2015-07-20,165625
2015-07-21,165625
2015-07-22,165625
2015-07-23,165625
2015-07-24,157723
2015-07-25,157723
2015-07-26,157723
2015-07-27,157723
2015-07-28,157723
2015-07-29,157723
2015-07-30,150024
2015-07-31,150024
2015-08-01,150024
2015-08-02,150024
2015-08-03,150024
2015-08-04,150024
2015-08-05,142963
2015-08-06,142963
2015-08-07,142963
2015-08-08,142963
2015-08-09,142963
2015-08-10,142963
2015-08-11,142963
2015-08-12,137059
2015-08-13,137059
2015-08-14,137059
2015-08-15,137059
2015-08-16,137059
2015-08-17,137059
2015-08-18,133902
2015-08-19,133902
2015-08-20,133902
2015-08-21,133902
2015-08-22,133902
2015-08-23,133902
2015-08-24,133902
2015-08-25,133703
2015-08-26,133703
2015-08-27,133703
2015-08-28,133703
2015-08-29,133703
2015-08-30,133703
2015-08-31,133703
2015-09-01,127884
2015-09-02,127884
2015-09-03,127884
2015-09-04,127884
2015-09-05,127884
2015-09-06,127884
2015-09-07,127884
2015-09-08,122883
2015-09-09,122883
2015-09-10,122883
2015-09-11,122883
2015-09-12,122883
2015-09-13,122883
2015-09-14,120465
2015-09-15,120465
2015-09-16,120465
2015-09-17,120465
2015-09-18,120465
2015-09-19,120465
2015-09-20,120465
2015-09-21,120465
2015-09-22,120360
2015-09-23,120360
2015-09-24,120360
2015-09-25,120360
2015-09-27,120360
2015-09-28,120360
2015-09-29,120997
2015-09-30,120997
2015-10-05,120997
2015-10-06,120997
2015-10-07,119033
2015-10-08,119033
2015-10-09,119033
2015-10-10,119033
2015-10-11,119033
2015-10-12,119033
2015-10-13,119033
2015-10-14,119193
2015-10-15,119193
2015-10-16,119193
2015-10-17,119193
2015-10-18,119193
2015-10-19,119193
2015-10-20,119193
2015-10-22,119463
2015-10-23,119463
2015-10-24,119463
2015-10-25,119463
2015-10-26,119463
2015-10-27,119463
2015-10-29,121601
2015-10-30,121601
2015-10-31,121601
2015-11-01,121601
2015-11-02,121601
2015-11-03,121601
2015-11-04,121601
2015-11-05,125233
2015-11-06,125233
2015-11-07,125233
2015-11-08,125233
2015-11-09,125233
2015-11-10,125233
2015-11-11,125233
2015-11-12,129611
2015-11-13,129611
2015-11-14,129611
2015-11-15,129611
2015-11-16,129611
2015-11-17,129611
2015-11-18,129611
2015-11-19,133887
2015-11-20,133887
2015-11-21,133887
2015-11-22,133887
2015-11-23,133887
2015-11-24,133887
2015-11-25,133887
2015-11-26,133887
2015-11-27,139737
2015-11-28,139737
2015-11-29,139737
2015-11-30,139737
2015-12-01,139737
2015-12-02,139737
2015-12-03,139737
2015-12-04,139737
2015-12-05,144697
2015-12-06,144697
2015-12-07,144697
2015-12-08,144697
2015-12-09,144697
2015-12-10,144697
2015-12-11,144697
2015-12-12,144697
2015-12-13,148702
2015-12-14,148702
2015-12-15,148702
2015-12-16,148702
2015-12-17,148702
2015-12-18,148702
2015-12-19,148702
2015-12-20,153299
2015-12-21,153299
2015-12-22,153299
2015-12-23,153299
2015-12-24,153299
2015-12-25,153299
2015-12-26,153299
2015-12-27,153299
2015-12-28,157558
2015-12-29,157558
2015-12-30,157558
2015-12-31,157558
2016-01-01,157558
2016-01-02,157558
2016-01-03,157558
2016-01-04,153790
2016-01-05,153790
2016-01-06,153790
2016-01-07,153790
2016-01-08,153790
2016-01-09,153790
2016-01-10,153790
2016-01-11,153790
2016-01-12,150908
2016-01-13,150908
2016-01-14,150908
2016-01-15,150908
2016-01-16,150908
2016-01-17,150908
2016-01-18,150908
2016-01-19,149000
2016-01-20,149000
2016-01-21,149000
2016-01-22,149000
2016-01-23,149000
2016-01-24,149000
2016-01-25,149000
2016-01-26,148086
2016-01-27,148086
2016-01-28,148086
2016-01-29,148086
2016-01-30,148086
2016-01-31,148086
2016-02-01,148086
2016-02-02,142272
2016-02-03,142272
2016-02-04,142272
2016-02-05,142272
2016-02-06,142272
2016-02-08,142272
2016-02-09,142272
2016-02-10,141703
2016-02-11,141703
2016-02-12,141703
2016-02-13,141703
2016-02-14,141703
2016-02-15,141703
2016-02-16,141703
2016-02-17,141703
2016-02-18,139121
2016-02-19,139121
2016-02-20,139121
2016-02-21,139121
2016-02-22,139121
2016-02-23,139121
2016-02-24,139121
2016-02-25,139121
2016-02-26,137186
2016-02-27,137186
2016-02-28,137186
2016-02-29,137186
2016-03-01,137186
2016-03-02,137186
2016-03-03,137728
2016-03-04,137728
2016-03-05,137728
2016-03-06,137728
2016-03-07,137728
2016-03-08,137728
2016-03-09,137728
2016-03-10,138100
2016-03-11,138100
2016-03-12,138100
