date_obj,Golden%20scarab price
2015-03-26,895
2015-03-27,895
2015-03-28,895
2015-03-29,895
2015-03-30,895
2015-03-31,934
2015-04-01,934
2015-04-02,934
2015-04-03,934
2015-04-04,934
2015-04-05,934
2015-04-06,934
2015-04-07,934
2015-04-08,934
2015-04-09,934
2015-04-10,934
2015-04-11,934
2015-04-12,934
2015-04-13,934
2015-04-14,934
2015-04-15,956
2015-04-16,956
2015-04-17,956
2015-04-18,956
2015-04-19,956
2015-04-20,956
2015-04-21,956
2015-04-22,956
2015-04-23,956
2015-04-24,956
2015-04-25,956
2015-04-26,956
2015-04-27,956
2015-04-28,956
2015-04-29,956
2015-04-30,956
2015-05-01,974
2015-05-02,974
2015-05-03,974
2015-05-04,974
2015-05-05,974
2015-05-06,974
2015-05-07,974
2015-05-08,974
2015-05-09,974
2015-05-10,974
2015-05-11,974
2015-05-12,974
2015-05-13,974
2015-05-14,996
2015-05-15,996
2015-05-16,996
2015-05-17,996
2015-05-18,996
2015-05-19,996
2015-05-20,996
2015-05-21,996
2015-05-22,996
2015-05-23,996
2015-05-24,996
2015-05-25,996
2015-05-26,996
2015-05-27,996
2015-05-28,980
2015-05-29,980
2015-05-30,980
2015-05-31,980
2015-06-01,980
2015-06-02,980
2015-06-03,980
2015-06-04,980
2015-06-05,980
2015-06-06,973
2015-06-07,973
2015-06-08,973
2015-06-09,973
2015-06-10,973
2015-06-11,973
2015-06-12,973
2015-06-13,973
2015-06-14,973
2015-06-15,973
2015-06-16,973
2015-06-17,973
2015-06-18,978
2015-06-19,978
2015-06-20,978
2015-06-21,978
2015-06-22,978
2015-06-23,978
2015-06-24,978
2015-06-25,978
2015-06-26,978
2015-06-27,978
2015-06-28,978
2015-06-29,979
2015-06-30,979
2015-07-01,979
2015-07-02,979
2015-07-03,979
2015-07-04,979
2015-07-05,979
2015-07-06,979
2015-07-07,979
2015-07-08,979
2015-07-09,979
2015-07-10,984
2015-07-11,984
2015-07-12,984
2015-07-13,984
2015-07-14,984
2015-07-15,984
2015-07-16,984
2015-07-17,984
2015-07-18,984
2015-07-19,984
2015-07-20,999
2015-07-21,999
2015-07-22,999
2015-07-23,999
2015-07-24,999
2015-07-25,999
2015-07-26,999
2015-07-27,999
2015-07-28,999
2015-07-29,999
2015-07-30,999
2015-07-31,999
2015-08-01,1005
2015-08-02,1005
2015-08-03,1005
2015-08-04,1005
2015-08-05,1005
2015-08-06,1005
2015-08-07,1005
2015-08-08,1005
2015-08-09,1005
2015-08-10,1005
2015-08-11,1007
2015-08-12,1007
2015-08-13,1007
2015-08-14,1007
2015-08-15,1007
2015-08-16,1007
2015-08-17,1007
2015-08-18,1007
2015-08-19,1007
2015-08-20,1007
2015-08-21,1007
2015-08-22,1000
2015-08-23,1000
2015-08-24,1000
2015-08-25,1000
2015-08-26,1000
2015-08-27,1000
2015-08-28,1000
2015-08-29,1000
2015-08-30,1000
2015-08-31,1000
2015-09-01,982
2015-09-02,982
2015-09-03,982
2015-09-04,982
2015-09-05,982
2015-09-06,982
2015-09-07,982
2015-09-08,982
2015-09-09,982
2015-09-10,982
2015-09-11,982
2015-09-12,993
2015-09-13,993
2015-09-14,993
2015-09-15,993
2015-09-16,993
2015-09-17,993
2015-09-18,993
2015-09-19,993
2015-09-20,993
2015-09-21,993
2015-09-22,994
2015-09-23,994
2015-09-24,994
2015-09-25,994
2015-09-27,994
2015-09-28,994
2015-09-29,994
2015-09-30,994
