date_obj,Grimy%20kwuarm price
2015-03-26,1973
2015-03-27,1972
2015-03-28,1974
2015-03-29,2013
2015-03-30,2032
2015-03-31,2102
2015-04-01,2159
2015-04-02,2243
2015-04-03,2340
2015-04-04,2383
2015-04-05,2424
2015-04-06,2479
2015-04-07,2543
2015-04-08,2580
2015-04-09,2671
2015-04-10,2795
2015-04-11,2812
2015-04-12,2817
2015-04-13,2779
2015-04-14,2708
2015-04-15,2621
2015-04-16,2562
2015-04-17,2516
2015-04-18,2464
2015-04-19,2521
2015-04-20,2558
2015-04-21,2522
2015-04-22,2498
2015-04-23,2476
2015-04-24,2420
2015-04-25,2476
2015-04-26,2493
2015-04-27,2438
2015-04-28,2480
2015-04-29,2470
2015-04-30,2496
2015-05-01,2584
2015-05-02,2570
2015-05-03,2557
2015-05-04,2589
2015-05-05,2576
2015-05-06,2564
2015-05-07,2527
2015-05-08,2505
2015-05-09,2452
2015-05-10,2444
2015-05-11,2438
2015-05-12,2452
2015-05-13,2377
2015-05-14,2323
2015-05-15,2312
2015-05-16,2256
2015-05-17,2223
2015-05-18,2210
2015-05-19,2167
2015-05-20,2142
2015-05-21,2140
2015-05-22,2047
2015-05-23,1985
2015-05-24,2013
2015-05-25,2043
2015-05-26,1993
2015-05-27,1970
2015-05-28,1938
2015-05-29,1914
2015-05-30,1962
2015-05-31,1994
2015-06-01,2016
2015-06-02,2013
2015-06-03,2019
2015-06-04,1979
2015-06-05,2044
2015-06-06,2116
2015-06-07,2168
2015-06-08,2171
2015-06-09,2206
2015-06-10,2229
2015-06-11,2295
2015-06-12,2382
2015-06-13,2383
2015-06-14,2383
2015-06-15,2362
2015-06-16,2414
2015-06-17,2402
2015-06-18,2375
2015-06-19,2404
2015-06-20,2317
2015-06-21,2335
2015-06-22,2306
2015-06-23,2333
2015-06-24,2355
2015-06-25,2407
2015-06-26,2384
2015-06-27,2326
2015-06-28,2231
2015-06-29,2226
2015-06-30,2261
2015-07-01,2291
2015-07-02,2308
2015-07-03,2282
2015-07-04,2288
2015-07-05,2337
2015-07-06,2332
2015-07-07,2267
2015-07-08,2255
2015-07-09,2235
2015-07-10,2223
2015-07-11,2229
2015-07-12,2204
2015-07-13,2151
2015-07-14,2108
2015-07-15,2165
2015-07-16,2196
2015-07-17,2265
2015-07-18,2258
2015-07-19,2297
2015-07-20,2271
2015-07-21,2349
2015-07-22,2433
2015-07-23,2447
2015-07-24,2507
2015-07-25,2633
2015-07-26,2697
2015-07-27,2627
2015-07-28,2682
2015-07-29,2774
2015-07-30,2841
2015-07-31,2893
2015-08-01,2910
2015-08-02,2891
2015-08-03,2909
2015-08-04,2958
2015-08-05,2988
2015-08-06,2953
2015-08-07,2888
2015-08-08,2917
2015-08-09,2936
2015-08-10,2976
2015-08-11,2923
2015-08-12,2948
2015-08-13,3002
2015-08-14,2910
2015-08-15,2900
2015-08-16,2894
2015-08-17,2811
2015-08-18,2820
2015-08-19,2793
2015-08-20,2802
2015-08-21,2755
2015-08-22,2686
2015-08-23,2645
2015-08-24,2661
2015-08-25,2688
2015-08-26,2683
2015-08-27,2702
2015-08-28,2721
2015-08-29,2660
2015-08-30,2592
2015-08-31,2579
2015-09-01,2615
2015-09-02,2575
2015-09-03,2626
2015-09-04,2654
2015-09-05,2628
2015-09-06,2611
2015-09-07,2582
2015-09-08,2687
2015-09-09,2663
2015-09-10,2652
2015-09-11,2674
2015-09-12,2631
2015-09-13,2587
2015-09-14,2589
2015-09-15,2522
2015-09-16,2507
2015-09-17,2469
2015-09-18,2446
2015-09-19,2402
2015-09-20,2399
2015-09-21,2396
2015-09-22,2338
2015-09-23,2326
2015-09-24,2390
2015-09-25,2352
2015-09-27,2382
2015-09-28,2364
2015-09-29,2411
2015-09-30,2495
2015-10-05,2655
2015-10-06,2761
2015-10-07,2887
2015-10-08,2973
2015-10-09,3053
2015-10-10,3146
2015-10-11,3044
2015-10-12,3120
2015-10-13,3230
2015-10-14,3177
2015-10-15,3142
2015-10-16,3207
2015-10-17,3148
2015-10-18,3159
2015-10-19,3257
2015-10-20,3392
2015-10-22,3629
2015-10-23,3659
2015-10-24,3755
2015-10-25,3725
2015-10-26,3771
2015-10-27,3857
2015-10-29,4019
2015-10-30,4044
2015-10-31,4059
2015-11-01,4049
2015-11-02,4128
2015-11-03,4156
2015-11-04,4208
2015-11-05,4105
2015-11-06,4105
2015-11-07,4137
2015-11-08,4242
2015-11-09,4326
2015-11-10,4319
2015-11-11,4232
2015-11-12,4252
2015-11-13,4254
2015-11-14,4307
2015-11-15,4222
2015-11-16,4219
2015-11-17,4268
2015-11-18,4372
2015-11-19,4379
2015-11-20,4433
2015-11-21,4452
2015-11-22,4409
2015-11-23,4546
2015-11-24,4592
2015-11-25,4678
2015-11-26,4649
2015-11-27,4661
2015-11-28,4661
2015-11-29,4696
2015-11-30,4718
2015-12-01,4745
2015-12-02,4778
2015-12-03,4672
2015-12-04,4656
2015-12-05,4677
2015-12-06,4600
2015-12-07,4608
2015-12-08,4631
2015-12-09,4594
2015-12-10,4561
2015-12-11,4500
2015-12-12,4422
2015-12-13,4418
2015-12-14,4408
2015-12-15,4342
2015-12-16,4282
2015-12-17,4219
2015-12-18,4287
2015-12-19,4254
2015-12-20,4138
2015-12-21,4076
2015-12-22,4057
2015-12-23,4066
2015-12-24,3964
2015-12-25,3919
2015-12-26,3801
2015-12-27,3730
2015-12-28,3644
2015-12-29,3461
2015-12-30,3321
2015-12-31,3215
2016-01-01,3093
2016-01-02,3015
2016-01-03,2904
2016-01-04,2872
2016-01-05,2986
2016-01-06,3034
2016-01-07,3061
2016-01-08,3064
2016-01-09,2990
2016-01-10,3010
2016-01-11,3031
2016-01-12,3131
2016-01-13,3199
2016-01-14,3278
2016-01-15,3384
2016-01-16,3392
2016-01-17,3445
2016-01-18,3546
2016-01-19,3617
2016-01-20,3669
2016-01-21,3753
2016-01-22,3815
2016-01-23,3777
2016-01-24,3742
2016-01-25,3703
2016-01-26,3726
2016-01-27,3799
2016-01-28,3879
2016-01-29,3850
2016-01-30,3773
2016-01-31,3762
2016-02-01,3811
2016-02-02,3826
2016-02-03,3870
2016-02-04,3907
2016-02-05,3892
2016-02-06,3922
2016-02-07,3918
2016-02-08,3896
2016-02-09,3871
2016-02-10,3930
2016-02-11,3996
2016-02-12,4017
2016-02-13,4035
2016-02-14,4013
2016-02-15,3995
2016-02-16,4034
2016-02-17,3973
2016-02-18,3850
2016-02-19,3899
2016-02-20,3862
2016-02-21,3783
2016-02-22,3666
2016-02-23,3586
2016-02-24,3589
2016-02-25,3613
2016-02-26,3567
2016-02-27,3569
2016-02-28,3562
2016-02-29,3425
2016-03-01,3424
2016-03-02,3487
2016-03-03,3452
2016-03-04,3414
2016-03-05,3389
2016-03-06,3363
2016-03-07,3401
2016-03-08,3400
2016-03-09,3392
2016-03-10,3307
2016-03-11,3366
2016-03-12,3270
2016-03-13,3179
2016-03-14,3139
2016-03-15,3098
2016-03-16,3025
2016-03-17,3054
2016-03-18,2975
2016-03-19,3033
2016-03-20,3052
2016-03-21,3083
2016-03-22,3141
2016-03-23,3171
2016-03-24,3203
2016-03-25,3231
2016-03-26,3165
2016-03-27,3131
2016-03-28,3050
2016-03-29,3091
2016-03-30,3007
2016-03-31,2969
2016-04-01,2997
2016-04-02,2950
2016-04-03,2825
2016-04-04,2859
2016-04-05,2857
2016-04-06,2901
2016-04-07,2971
2016-04-08,2963
2016-04-09,2884
2016-04-10,2806
2016-04-11,2778
2016-04-12,2796
2016-04-13,2866
2016-04-14,2853
2016-04-15,2877
2016-04-16,2858
2016-04-17,2791
2016-04-18,2770
2016-04-19,2731
2016-04-20,2765
2016-04-21,2807
2016-04-22,2771
2016-04-23,2750
2016-04-24,2687
2016-04-25,2622
2016-04-26,2609
2016-04-27,2679
2016-04-28,2688
2016-04-29,2717
2016-04-30,2714
2016-05-01,2693
2016-05-02,2710
2016-05-03,2793
2016-05-04,2822
2016-05-05,2854
2016-05-06,2826
2016-05-07,2809
2016-05-08,2785
2016-05-09,2720
2016-05-10,2673
2016-05-11,2631
2016-05-12,2660
2016-05-13,2704
2016-05-14,2652
2016-05-15,2589
2016-05-16,2546
2016-05-17,2578
2016-05-18,2608
2016-05-19,2654
2016-05-22,2630
2016-05-23,2621
2016-05-24,2743
2016-05-25,2816
2016-05-26,2836
2016-05-27,2923
2016-05-28,2867
2016-05-29,2798
2016-05-30,2726
2016-05-31,2750
2016-06-01,2776
2016-06-02,2767
2016-06-03,2725
2016-06-04,2766
2016-06-05,2774
2016-06-06,2688
2016-06-07,2636
2016-06-08,2641
2016-06-09,2651
2016-06-10,2626
2016-06-11,2649
2016-06-12,2643
2016-06-13,2654
2016-06-14,2665
2016-06-15,2656
2016-06-16,2691
2016-06-17,2713
2016-06-18,2714
2016-06-19,2726
2016-06-20,2701
2016-06-21,2710
2016-06-22,2754
2016-06-23,2779
2016-06-24,2748
2016-06-25,2772
2016-06-26,2766
2016-06-27,2772
2016-06-28,2830
2016-06-29,2837
2016-06-30,2834
2016-07-01,2812
2016-07-02,2846
2016-07-03,2811
2016-07-04,2796
2016-07-05,2792
2016-07-06,2797
2016-07-07,2780
2016-07-08,2790
2016-07-09,2752
2016-07-10,2702
2016-07-11,2719
2016-07-12,2781
