date_obj,Twisted%20cane price
2020-01-13,100000
2020-01-14,100000
2020-01-15,104993
2020-01-16,110243
2020-01-17,115666
2020-01-18,115666
2020-01-19,121291
2020-01-20,121291
2020-01-21,121291
2020-01-22,126470
2020-01-23,126470
2020-01-24,126470
2020-01-25,132511
2020-01-26,132511
2020-01-27,132511
2020-01-28,132511
2020-01-29,138854
2020-01-30,138854
2020-01-31,138854
2020-02-01,138854
2020-02-02,138854
2020-02-03,138854
2020-02-04,145398
2020-02-05,145398
2020-02-06,145398
2020-02-07,145398
2020-02-08,145398
2020-02-09,145398
2020-02-10,145398
2020-02-11,152170
2020-02-12,152170
2020-02-13,152170
2020-02-14,152170
2020-02-15,152170
2020-02-16,152170
2020-02-17,152170
2020-02-18,152170
2020-02-19,152170
2020-02-20,159481
2020-02-21,159481
2020-02-22,159481
2020-02-23,159481
2020-02-24,159481
2020-02-25,159481
2020-02-26,159481
2020-02-27,159481
2020-02-28,159481
2020-02-29,159481
2020-03-01,159481
2020-03-02,166958
2020-03-03,166958
2020-03-04,166958
2020-03-05,166958
2020-03-06,166958
2020-03-07,166958
2020-03-08,166958
2020-03-09,166958
2020-03-10,166958
2020-03-11,166958
2020-03-12,166958
2020-03-13,174898
2020-03-14,174898
2020-03-15,174898
2020-03-16,174898
2020-03-17,174898
2020-03-18,174898
2020-03-19,174898
2020-03-20,174898
2020-03-21,174898
2020-03-22,174898
2020-03-23,174898
2020-03-24,174898
2020-03-25,183194
2020-03-26,183194
2020-03-27,183194
2020-03-28,183194
2020-03-29,183194
2020-03-30,183194
2020-03-31,183194
2020-04-01,183194
2020-04-02,183194
2020-04-03,183194
2020-04-04,183194
2020-04-05,183194
2020-04-06,191988
2020-04-07,191988
2020-04-08,191988
2020-04-09,191988
2020-04-10,191988
2020-04-11,191988
2020-04-12,191988
2020-04-13,191988
2020-04-14,191988
2020-04-15,191988
2020-04-16,191988
2020-04-17,200969
2020-04-18,200969
2020-04-19,200969
2020-04-20,200969
2020-04-21,200969
2020-04-22,200969
2020-04-23,200969
2020-04-24,200969
2020-04-25,200969
2020-04-26,200969
2020-04-27,200969
2020-04-28,210406
2020-04-29,210406
2020-04-30,210406
2020-05-01,210406
2020-05-02,210406
2020-05-03,210406
2020-05-04,210406
2020-05-05,210406
2020-05-06,210406
2020-05-07,210406
2020-05-08,210406
2020-05-09,210406
2020-05-10,210406
2020-05-11,210406
2020-05-12,220432
2020-05-13,220432
