date_obj,Arceuus%20banner price
2016-07-06,5000000
2016-07-07,4750594
2016-07-08,4750594
2016-07-09,4513064
2016-07-10,4513064
2016-07-11,4287410
2016-07-12,4287410
2016-07-13,4074108
2016-07-14,4074108
2016-07-15,3876520
2016-07-16,3876520
2016-07-17,3684679
2016-07-18,3684679
2016-07-23,3173332
2016-07-24,3018324
2016-07-25,3018324
2016-07-26,2874578
2016-07-27,2874578
2016-07-28,2734992
2016-07-29,2734992
2016-07-30,2603553
2016-07-31,2603553
2016-08-01,2475227
2016-08-02,2355561
2016-08-03,2355561
2016-08-04,2239262
2016-08-05,2239262
2016-08-06,2128961
2016-08-07,2128961
2016-08-08,2025634
2016-08-09,2025634
2016-08-10,1927025
2016-08-11,1927025
2016-08-12,1927025
2016-08-13,1832202
2016-08-14,1832202
2016-08-15,1832202
2016-08-16,1742809
2016-08-17,1742809
2016-08-18,1742809
2016-08-19,1657794
2016-08-20,1657794
2016-08-21,1657794
2016-08-22,1576481
2016-08-23,1576481
2016-08-24,1500229
2016-08-25,1500229
2016-08-26,1500229
2016-08-28,1427099
2016-08-31,1356633
2016-09-01,1356633
2016-09-02,1292253
2016-09-03,1292253
2016-09-04,1228804
2016-09-05,1228804
2016-09-06,1228804
2016-09-07,1169574
2016-09-08,1169574
2016-09-09,1169574
2016-09-10,1112862
2016-09-11,1112862
2016-09-12,1112862
2016-09-13,1112862
2016-09-14,1059424
2016-09-15,1059424
2016-09-16,1059424
2016-09-17,1059424
2016-09-18,1007808
2016-09-19,1007808
2016-09-20,1007808
2016-09-21,1007808
2016-09-22,960379
2016-09-23,960379
2016-09-24,960379
2016-09-25,960379
2016-09-26,914127
2016-09-27,914127
2016-09-28,914127
2016-09-29,914127
2016-09-30,869875
2016-10-01,869875
2016-10-02,869875
2016-10-03,869875
2016-10-04,869875
2016-10-05,827566
2016-10-06,827566
2016-10-07,827566
2016-10-08,787557
2016-10-09,787557
2016-10-10,787557
2016-10-11,787557
2016-10-12,749773
2016-10-13,749773
2016-10-14,749773
2016-10-15,712661
2016-10-16,712661
2016-10-17,712661
2016-10-18,678508
2016-10-19,678508
2016-10-20,678508
2016-10-21,645779
2016-10-22,645779
2016-10-23,645779
2016-10-24,614634
2016-10-25,614634
2016-10-26,614634
2016-10-27,614634
2016-10-28,584176
2016-10-29,584176
2016-10-30,584176
2016-10-31,584176
2016-11-01,555779
2016-11-02,555779
2016-11-03,555779
2016-11-04,528766
2016-11-05,528766
2016-11-06,528766
2016-11-07,528766
2016-11-08,502781
2016-11-09,502781
2016-11-10,502781
2016-11-11,502781
2016-11-12,479149
2016-11-13,479149
2016-11-14,479149
2016-11-15,479149
2016-12-07,338340
2016-12-08,338340
2016-12-09,338340
2016-12-10,321877
2016-12-11,321877
2016-12-12,321877
2016-12-13,306640
2016-12-14,306640
2016-12-15,306640
2016-12-16,306640
2016-12-17,292176
2016-12-18,292176
2016-12-19,292176
2016-12-20,292176
2016-12-21,278133
2016-12-22,278133
2016-12-23,278133
2016-12-24,278133
2016-12-25,264626
2016-12-26,264626
2016-12-27,264626
2016-12-28,264626
2016-12-29,251680
2016-12-30,251680
2016-12-31,251680
2017-01-01,239661
2017-01-02,239661
2017-01-03,239661
2017-01-04,227980
2017-01-05,227980
2017-01-06,227980
2017-01-07,217320
2017-01-08,217320
2017-01-09,217320
2017-01-10,206655
2017-01-11,206655
2017-01-12,206655
2017-01-13,196788
2017-01-14,196788
2017-01-15,196788
2017-01-16,187194
2017-01-17,187194
2017-01-18,187194
2017-01-19,187194
2017-01-20,178214
2017-01-21,178214
2017-01-22,178214
2017-01-23,169610
2017-01-27,161410
2017-01-28,161410
2017-01-29,161410
2017-01-30,153566
2017-01-31,153566
2017-02-01,153566
2017-02-02,146037
2017-02-03,146037
2017-02-04,146037
2017-02-05,139040
2017-02-06,139040
2017-02-07,139040
2017-02-08,132415
2017-02-09,132415
2017-02-10,132415
2017-02-11,126123
2017-02-12,126123
2017-02-13,126123
2017-02-14,120093
2017-02-15,120093
2017-02-16,120093
2017-02-18,114286
2017-02-19,108893
2017-02-20,108893
2017-02-21,108893
2017-02-22,103707
2017-02-23,103707
2017-02-24,103707
2017-02-25,98780
2017-02-26,98780
2017-02-27,98780
2017-02-28,94092
2017-03-01,94092
2017-03-02,94092
2017-03-03,89565
2017-03-04,89565
2017-03-05,89565
2017-03-06,85201
2017-03-07,85201
2017-03-08,85201
2017-03-09,85201
2017-03-10,81180
2017-03-11,81180
2017-03-12,81180
2017-03-13,77223
2017-03-14,77223
2017-03-15,77223
2017-03-16,73508
2017-03-17,73508
2017-03-18,73508
2017-03-19,69941
2017-03-20,69941
2017-03-21,69941
2017-03-22,66590
2017-03-23,66590
2017-03-24,66590
2017-03-25,63379
2017-03-26,63379
2017-03-27,63379
2017-03-28,60349
2017-03-29,60349
2017-03-30,60349
2017-03-31,57466
2017-04-01,57466
2017-04-02,57466
2017-04-03,54700
2017-04-04,54700
2017-04-05,54700
2017-04-12,6102
2017-04-13,6102
2017-04-14,6102
2017-04-15,6102
2017-04-16,5812
