date_obj,Empty%20cup price
2015-03-26,46
2015-03-27,46
2015-03-28,46
2015-03-29,46
2015-03-30,44
2015-03-31,44
2015-04-01,44
2015-04-02,44
2015-04-03,44
2015-04-04,44
2015-04-05,44
2015-04-06,43
2015-04-07,43
2015-04-08,43
2015-04-09,43
2015-04-10,43
2015-04-11,43
2015-04-12,43
2015-04-13,44
2015-04-14,44
2015-04-15,44
2015-04-16,44
2015-04-17,44
2015-04-18,44
2015-04-19,44
2015-04-20,44
2015-04-21,45
2015-04-22,45
2015-04-23,45
2015-04-24,45
2015-04-25,45
2015-04-26,45
2015-04-27,45
2015-04-28,47
2015-04-29,47
2015-04-30,47
2015-05-01,47
2015-05-02,47
2015-05-03,47
2015-05-04,47
2015-05-05,47
2015-05-06,48
2015-05-07,48
2015-05-08,48
2015-05-09,48
2015-05-10,48
2015-05-11,48
2015-05-12,48
2015-05-13,46
2015-05-14,46
2015-05-15,46
2015-05-16,46
2015-05-17,46
2015-05-18,46
2015-05-19,46
2015-05-20,46
2015-05-21,43
2015-05-22,43
2015-05-23,43
2015-05-24,43
2015-05-25,43
2015-05-26,43
2015-05-27,43
2015-05-28,40
2015-05-29,40
2015-05-30,40
2015-05-31,40
2015-06-01,40
2015-06-02,40
2015-06-03,40
2015-06-04,40
2015-06-05,40
2015-06-06,40
2015-06-07,41
2015-06-08,41
2015-06-09,41
2015-06-10,41
2015-06-11,41
2015-06-12,41
2015-06-13,44
2015-06-14,44
2015-06-15,44
2015-06-16,44
2015-06-17,44
2015-06-18,46
2015-06-19,46
2015-06-20,46
2015-06-21,46
2015-06-22,46
2015-06-23,46
2015-06-24,48
2015-06-25,48
2015-06-26,48
2015-06-27,48
2015-06-28,48
2015-06-29,48
2015-06-30,49
2015-07-01,49
2015-07-02,49
2015-07-03,49
2015-07-04,49
2015-07-05,49
2015-07-06,46
2015-07-07,46
2015-07-08,46
2015-07-09,46
2015-07-10,46
2015-07-11,46
2015-07-12,46
2015-07-13,44
2015-07-14,44
2015-07-15,44
2015-07-16,44
2015-07-17,44
2015-07-18,44
2015-07-19,43
2015-07-20,43
2015-07-21,43
2015-07-22,43
2015-07-23,43
2015-07-24,44
2015-07-25,44
2015-07-26,44
2015-07-27,44
2015-07-28,44
2015-07-29,46
2015-07-30,46
2015-07-31,46
2015-08-01,46
2015-08-02,46
2015-08-03,46
2015-08-04,45
2015-08-05,45
2015-08-06,45
2015-08-07,45
2015-08-08,45
2015-08-09,48
2015-08-10,48
2015-08-11,48
2015-08-12,48
2015-08-13,48
2015-08-14,49
2015-08-15,49
2015-08-16,49
2015-08-17,49
2015-08-18,49
2015-08-19,52
2015-08-20,52
2015-08-21,52
2015-08-22,52
2015-08-23,55
2015-08-24,55
2015-08-25,55
2015-08-26,55
2015-08-27,55
2015-08-28,57
2015-08-29,57
2015-08-30,57
2015-08-31,57
2015-09-01,57
2015-09-02,60
2015-09-03,60
2015-09-04,60
2015-09-05,60
2015-09-06,60
2015-09-07,60
2015-09-08,63
2015-09-09,63
2015-09-10,63
2015-09-11,63
2015-09-12,63
2015-09-13,67
2015-09-14,67
2015-09-15,67
2015-09-16,67
2015-09-17,67
2015-09-18,71
2015-09-19,71
2015-09-20,71
2015-09-21,71
2015-09-22,71
2015-09-23,74
2015-09-24,74
2015-09-25,74
2015-09-27,74
2015-09-28,74
2015-09-29,75
2015-09-30,75
2015-10-05,77
2015-10-06,77
2015-10-07,77
2015-10-08,77
2015-10-09,78
2015-10-10,78
2015-10-11,78
2015-10-12,78
2015-10-13,78
2015-10-14,78
2015-10-15,78
2015-10-16,78
2015-10-17,78
2015-10-18,78
2015-10-19,78
2015-10-20,78
2015-10-22,78
2015-10-23,78
2015-10-24,78
2015-10-25,78
2015-10-26,81
2015-10-27,81
2015-10-29,81
2015-10-30,81
2015-10-31,81
2015-11-01,81
2015-11-02,78
2015-11-03,78
2015-11-04,78
2015-11-05,78
2015-11-06,78
2015-11-07,78
2015-11-08,82
2015-11-09,82
2015-11-10,82
2015-11-11,82
2015-11-12,82
2015-11-13,82
2015-11-14,82
2015-11-15,85
2015-11-16,85
2015-11-17,85
2015-11-18,85
2015-11-19,85
2015-11-20,85
2015-11-21,84
2015-11-22,84
2015-11-23,84
2015-11-24,84
2015-11-25,84
2015-11-26,84
2015-11-27,84
2015-11-28,84
2015-11-29,84
2015-11-30,84
2015-12-01,84
2015-12-02,84
2015-12-03,81
2015-12-04,81
2015-12-05,81
2015-12-06,81
2015-12-07,81
2015-12-08,79
2015-12-09,79
2015-12-10,79
2015-12-11,79
2015-12-12,79
2015-12-13,83
2015-12-14,83
2015-12-15,83
2015-12-16,83
2015-12-17,83
2015-12-18,88
2015-12-19,88
2015-12-20,88
2015-12-21,88
2015-12-22,92
2015-12-23,92
2015-12-24,92
2015-12-25,92
2015-12-26,92
2015-12-27,97
2015-12-28,97
2015-12-29,97
2015-12-30,102
2015-12-31,102
2016-01-01,102
2016-01-02,102
2016-01-03,106
2016-01-04,106
2016-01-05,106
2016-01-06,106
2016-01-07,112
2016-01-08,112
2016-01-09,112
2016-01-10,112
2016-01-11,118
2016-01-12,118
2016-01-13,118
2016-01-14,124
2016-01-15,124
2016-01-16,124
2016-01-17,124
2016-01-18,123
2016-01-19,123
2016-01-20,123
2016-01-21,123
2016-01-22,126
2016-01-23,126
2016-01-24,126
2016-01-25,125
2016-01-26,125
2016-01-27,125
2016-01-28,125
2016-01-29,125
2016-01-30,125
2016-01-31,125
2016-02-01,118
2016-02-02,118
2016-02-03,118
2016-02-04,118
2016-02-05,118
2016-02-06,112
2016-02-07,112
2016-02-08,112
2016-02-09,112
2016-02-10,106
2016-02-11,106
