date_obj,Adamant%20set%20(sk) price
2015-03-26,48158
2015-03-27,48158
2015-03-28,48158
2015-03-29,48158
2015-03-30,45870
2015-03-31,45870
2015-04-01,45870
2015-04-02,45870
2015-04-03,45870
2015-04-04,45870
2015-04-05,45870
2015-04-06,45870
2015-04-07,45870
2015-04-08,45870
2015-04-09,43994
2015-04-10,43994
2015-04-11,43994
2015-04-12,43994
2015-04-13,43994
2015-04-14,43994
2015-04-15,43994
2015-04-16,43994
2015-04-17,43994
2015-04-18,43994
2015-04-19,42591
2015-04-20,42591
2015-04-21,42591
2015-04-22,42591
2015-04-23,42591
2015-04-24,42591
2015-04-25,42591
2015-04-26,42591
2015-04-27,42591
2015-04-28,42591
2015-04-29,42591
2015-04-30,42591
2015-05-01,42591
2015-05-02,41655
2015-05-03,41655
2015-05-04,41655
2015-05-05,41655
2015-05-06,41655
2015-05-07,41655
2015-05-08,41655
2015-05-09,41655
2015-05-10,41655
2015-05-11,41655
2015-05-12,41655
2015-05-13,41655
2015-05-14,41655
2015-05-15,41655
2015-05-16,40187
2015-05-17,40187
2015-05-18,40187
2015-05-19,40187
2015-05-20,40187
2015-05-21,40187
2015-05-22,40187
2015-05-23,40187
2015-05-24,40187
2015-05-25,40187
2015-05-26,40187
2015-05-27,40187
2015-05-28,38590
2015-05-29,38590
2015-05-30,38590
2015-05-31,38590
2015-06-01,38590
2015-06-02,38590
2015-06-03,38590
2015-06-04,38590
2015-06-05,36680
2015-06-06,36680
2015-06-07,36680
2015-06-08,36680
2015-06-09,36680
2015-06-10,36680
2015-06-11,36680
2015-06-12,36680
2015-06-13,34864
2015-06-14,34864
2015-06-15,34864
2015-06-16,34864
2015-06-17,34864
2015-06-18,34864
2015-06-19,34864
2015-06-20,34941
2015-06-21,34941
2015-06-22,34941
2015-06-23,34941
2015-06-24,34941
2015-06-25,34941
2015-06-26,34941
2015-06-27,34941
2015-06-28,36039
2015-06-29,36039
2015-06-30,36039
2015-07-01,36039
2015-07-02,36039
2015-07-03,36039
2015-07-04,36039
2015-07-05,34743
2015-07-06,34743
2015-07-07,34743
2015-07-08,34743
2015-07-09,34743
2015-07-10,34743
2015-07-11,34743
2015-07-12,34426
2015-07-13,34426
2015-07-14,34426
2015-07-15,34426
2015-07-16,34426
2015-07-17,34426
2015-07-18,34426
2015-07-19,34426
2015-07-20,33774
2015-07-21,33774
2015-07-22,33774
2015-07-23,33774
2015-07-24,33774
2015-07-25,33252
2015-07-26,33252
2015-07-27,33252
2015-07-28,33252
2015-07-29,33252
2015-07-30,33252
2015-07-31,32665
2015-08-01,32665
2015-08-02,32665
2015-08-03,32665
2015-08-04,32665
2015-08-05,32665
2015-08-06,32665
2015-08-07,31177
2015-08-08,31177
2015-08-09,31177
2015-08-10,31177
2015-08-11,31177
2015-08-12,31177
2015-08-13,30100
2015-08-14,30100
2015-08-15,30100
2015-08-16,30100
2015-08-17,30100
2015-08-18,30100
2015-08-19,28698
2015-08-20,28698
2015-08-21,28698
2015-08-22,28698
2015-08-23,28698
2015-08-24,28698
2015-08-25,27312
2015-08-26,27312
2015-08-27,27312
2015-08-28,27312
2015-08-29,27312
2015-08-30,27312
2015-08-31,25997
2015-09-01,25997
2015-09-02,25997
2015-09-03,25997
2015-09-04,25997
2015-09-05,25997
2015-09-06,25997
2015-09-07,25997
2015-09-08,24909
2015-09-09,24909
2015-09-10,24909
2015-09-11,24909
2015-09-12,24909
2015-09-13,24909
2015-09-14,24909
2015-09-15,23844
2015-09-16,23844
2015-09-17,23844
2015-09-18,23844
2015-09-19,23844
2015-09-20,23844
2015-09-21,23844
2015-09-22,23546
2015-09-23,23546
2015-09-24,23546
2015-09-25,23546
2015-09-27,23546
2015-09-28,23546
2015-09-29,23546
2015-09-30,24042
2015-10-05,24042
2015-10-06,24042
2015-10-07,24839
2015-10-08,24839
2015-10-09,24839
2015-10-10,24839
2015-10-11,24839
2015-10-12,24839
2015-10-13,24839
2015-10-14,24839
2015-10-15,24972
2015-10-16,24972
2015-10-17,24972
2015-10-18,24972
2015-10-19,24972
2015-10-20,24972
2015-10-22,24972
2015-10-23,25226
2015-10-24,25226
2015-10-25,25226
2015-10-26,25226
2015-10-27,25226
2015-10-28,25226
2015-10-29,25226
2015-10-30,25226
2015-10-31,26143
2015-11-01,26143
2015-11-02,26143
2015-11-03,26143
2015-11-04,26143
2015-11-05,26143
2015-11-06,26143
2015-11-07,26285
2015-11-08,26285
2015-11-09,26285
2015-11-10,26285
2015-11-11,26285
2015-11-12,26285
2015-11-13,26285
2015-11-14,26285
2015-11-15,27179
2015-11-16,27179
2015-11-17,27179
2015-11-18,27179
2015-11-19,27179
2015-11-20,27179
2015-11-21,27179
2015-11-22,28237
2015-11-23,28237
2015-11-24,28237
2015-11-25,28237
2015-11-26,28237
2015-11-27,28237
2015-11-28,28237
2015-11-29,28486
2015-11-30,28486
2015-12-01,28486
2015-12-02,28486
2015-12-03,28486
2015-12-04,28486
2015-12-05,28486
2015-12-06,28179
2015-12-07,28179
2015-12-08,28179
2015-12-09,28179
2015-12-10,28179
2015-12-11,28179
2015-12-12,28179
2015-12-13,27103
2015-12-14,27103
2015-12-15,27103
2015-12-16,27103
2015-12-17,27103
2015-12-18,27103
2015-12-19,27103
2015-12-20,26062
2015-12-21,26062
2015-12-22,26062
2015-12-23,26062
2015-12-24,26062
2015-12-25,26062
2015-12-26,24830
2015-12-27,24830
2015-12-28,24830
2015-12-29,24830
2015-12-30,24830
2015-12-31,23617
2016-01-01,23617
2016-01-02,23617
2016-01-03,23617
2016-01-04,23617
2016-01-05,22560
2016-01-06,22560
2016-01-07,22560
2016-01-08,22560
2016-01-09,22560
2016-01-10,22560
2016-01-11,22560
2016-01-12,21432
2016-01-13,21432
2016-01-14,21432
2016-01-15,21432
2016-01-16,21432
2016-01-17,21631
2016-01-18,21631
2016-01-19,21631
2016-01-20,21631
2016-01-21,21631
2016-01-22,21631
2016-01-23,22171
2016-01-24,22171
2016-01-25,22171
2016-01-26,22171
2016-01-27,22171
2016-01-28,22171
2016-01-29,23093
2016-01-30,23093
2016-01-31,23093
2016-02-01,23093
2016-02-02,23093
2016-02-03,23093
2016-02-04,23093
2016-02-05,23696
2016-02-06,23696
2016-02-07,23696
2016-02-08,23696
2016-02-09,23696
2016-02-10,23696
2016-02-11,23696
2016-02-12,23877
2016-02-13,23877
2016-02-14,23877
2016-02-15,23877
2016-02-16,23877
2016-02-17,23877
2016-02-18,24879
2016-02-19,24879
2016-02-20,24879
2016-02-21,24879
2016-02-22,24879
2016-02-23,25962
2016-02-24,25962
2016-02-25,25962
2016-02-26,25962
2016-02-27,25962
2016-02-28,25962
2016-02-29,27095
2016-03-01,27095
2016-03-02,27095
2016-03-03,27095
2016-03-04,27095
2016-03-05,27095
2016-03-06,28174
2016-03-07,28174
2016-03-08,28174
2016-03-09,28174
2016-03-10,28174
2016-03-11,28174
2016-03-12,28174
2016-03-13,28432
2016-03-14,28432
2016-03-15,28432
2016-03-16,28432
2016-03-17,28432
2016-03-18,28432
2016-03-19,28432
