date_obj,Brine%20sabre price
2015-03-26,169067
2015-03-27,169067
2015-03-28,164247
2015-03-29,157800
2015-03-30,155354
2015-03-31,157813
2015-04-01,157813
2015-04-02,158798
2015-04-03,160021
2015-04-04,165007
2015-04-05,165007
2015-04-06,168237
2015-04-07,169399
2015-04-08,169399
2015-04-09,166501
2015-04-10,163470
2015-04-11,158876
2015-04-12,154670
2015-04-13,150661
2015-04-14,150661
2015-04-15,146191
2015-04-16,141637
2015-04-17,138381
2015-04-18,137073
2015-04-19,136509
2015-04-20,136509
2015-04-21,140044
2015-04-22,140044
2015-04-23,137223
2015-04-24,133572
2015-04-25,131536
2015-04-26,128867
2015-04-27,124721
2015-04-28,119518
2015-04-29,119518
2015-04-30,113631
2015-05-01,109375
2015-05-02,104466
2015-05-03,104466
2015-05-04,99914
2015-05-05,98464
2015-05-06,97193
2015-05-07,99543
2015-05-08,103638
2015-05-09,108153
2015-05-10,111362
2015-05-11,111362
2015-05-12,114596
2015-05-13,114596
2015-05-14,113846
2015-05-15,113846
2015-05-16,109692
2015-05-17,107385
2015-05-18,105600
2015-05-19,105600
2015-05-20,106022
2015-05-21,106022
2015-05-22,110616
2015-05-23,110616
2015-05-24,115724
2015-05-25,121354
2015-05-26,121354
2015-05-27,125750
2015-05-28,127691
2015-05-29,129687
2015-05-30,127605
2015-05-31,129332
2015-06-01,133048
2015-06-02,133048
2015-06-03,136047
2015-06-04,138622
2015-06-05,142338
2015-06-06,147312
2015-06-07,150779
2015-06-08,151910
2015-06-09,150237
2015-06-10,148386
2015-06-11,148386
2015-06-12,144501
2015-06-13,141775
2015-06-14,139955
2015-06-15,137022
2015-06-16,135294
2015-06-17,137469
2015-06-18,141743
2015-06-19,147546
2015-06-20,154288
2015-06-21,158756
2015-06-22,162026
2015-06-23,159199
2015-06-24,157510
2015-06-25,157510
2015-06-26,156339
2015-06-27,156339
2015-06-28,156811
2015-06-29,158304
2015-06-30,160084
2015-07-01,159343
2015-07-02,159343
2015-07-03,160143
2015-07-04,163653
2015-07-05,164954
2015-07-06,167511
2015-07-07,170463
2015-07-08,173971
2015-07-09,173971
2015-07-10,180902
2015-07-11,187817
2015-07-12,190154
2015-07-13,197238
2015-07-14,205618
2015-07-15,209069
2015-07-16,208071
2015-07-17,210958
2015-07-18,213150
2015-07-19,216156
2015-07-20,223890
2015-07-21,231272
2015-07-22,230506
2015-07-23,230506
2015-07-24,229052
2015-07-25,230948
2015-07-26,231431
2015-07-27,229036
2015-07-28,228871
2015-07-29,227717
2015-07-30,228887
2015-07-31,227156
2015-08-01,226146
2015-08-02,229857
2015-08-03,229828
2015-08-04,231397
2015-08-05,235578
2015-08-06,240824
