date_obj,Flamtaer%20bracelet price
2017-02-01,2500
2017-02-02,2382
2017-02-03,2382
2017-02-04,2382
2017-02-05,2382
2017-02-06,2382
2017-02-07,2382
2017-02-08,2262
2017-02-09,2262
2017-02-10,2262
2017-02-11,2262
2017-02-12,2262
2017-02-13,2262
2017-02-14,2262
2017-02-15,2151
2017-02-16,2151
2017-02-18,2151
2017-02-19,2151
2017-02-20,2151
2017-02-21,2151
2017-02-22,2151
2017-02-23,2151
2017-02-24,2076
2017-02-25,2076
2017-02-26,2076
2017-02-27,2076
2017-02-28,2076
2017-03-01,2076
2017-03-02,2076
2017-03-03,2076
2017-03-04,2076
2017-03-05,2076
2017-03-06,1972
2017-03-07,1972
2017-03-08,1972
2017-03-09,1972
2017-03-10,1972
2017-03-11,1972
2017-03-12,1972
2017-03-13,1972
2017-03-14,1972
2017-03-15,1972
2017-03-16,1874
2017-03-17,1874
2017-03-18,1874
2017-03-19,1874
2017-03-20,1874
2017-03-21,1874
2017-03-22,1874
2017-03-23,1874
2017-03-24,1874
2017-03-25,1874
2017-03-26,1781
2017-03-27,1781
2017-03-28,1781
2017-03-29,1781
2017-03-30,1781
2017-03-31,1781
2017-04-01,1692
2017-04-02,1692
2017-04-03,1692
2017-04-04,1692
2017-04-12,1607
2017-04-13,1607
2017-04-14,1528
2017-04-15,1528
2017-04-16,1528
2017-04-17,1528
2017-04-18,1528
2017-04-19,1454
2017-04-20,1454
2017-04-21,1454
2017-04-22,1454
2017-04-23,1454
2017-04-24,1454
2017-04-25,1392
2017-04-26,1392
2017-04-27,1392
2017-04-28,1392
2017-04-29,1392
2017-04-30,1392
2017-05-01,1392
2017-05-02,1322
2017-05-03,1322
2017-05-04,1322
2017-05-05,1322
2017-05-06,1322
2017-05-07,1322
2017-05-08,1322
2017-05-09,1255
2017-05-10,1255
2017-05-11,1255
2017-05-12,1255
2017-05-13,1255
2017-05-14,1255
2017-05-15,1194
2017-05-16,1194
2017-05-17,1194
2017-05-18,1194
2017-05-19,1194
2017-05-20,1194
2017-05-21,1194
2017-05-22,1134
2017-05-23,1134
2017-05-24,1134
2017-05-25,1134
2017-05-26,1134
2017-05-27,1134
2017-05-28,1134
2017-05-29,1078
2017-05-30,1078
2017-05-31,1078
2017-06-01,1078
2017-06-02,1078
2017-06-03,1078
2017-06-04,1078
2017-06-05,1024
2017-06-06,1024
2017-06-07,1024
2017-06-08,1024
2017-06-09,1024
2017-06-10,1024
2017-06-11,988
2017-06-12,988
2017-06-13,988
2017-06-14,988
2017-06-15,988
2017-06-16,988
2017-06-17,988
2017-06-18,944
2017-06-19,944
2017-06-20,944
2017-06-21,944
2017-06-22,944
2017-06-23,944
2017-06-24,944
2017-06-25,944
2017-06-26,900
2017-06-27,900
2017-06-28,900
2017-06-29,900
2017-06-30,900
2017-07-01,900
2017-07-02,900
2017-07-03,901
2017-07-04,901
2017-07-05,901
2017-07-06,901
2017-07-07,901
2017-07-08,901
2017-07-13,913
2017-07-14,913
2017-07-15,913
2017-07-16,913
2017-07-17,913
2017-07-18,933
2017-07-19,933
2017-07-20,933
2017-07-21,933
2017-07-22,933
2017-07-23,933
2017-07-24,933
2017-07-25,904
2017-07-26,904
2017-07-27,904
2017-07-28,904
2017-07-29,904
2017-07-30,904
2017-07-31,904
2017-08-01,906
2017-08-02,906
2017-08-03,906
2017-08-04,906
2017-08-05,906
2017-08-06,906
2017-08-09,874
2017-08-10,874
2017-08-11,874
2017-08-12,874
2017-08-13,874
2017-08-14,874
2017-08-15,909
2017-08-16,909
2017-08-17,909
2017-08-18,909
2017-08-19,909
2017-08-20,909
2017-08-21,909
2017-08-22,874
2017-08-23,874
2017-08-24,874
2017-08-25,874
2017-08-26,874
2017-08-27,874
2017-08-28,874
2017-08-29,874
2017-08-30,878
2017-08-31,878
2017-09-01,878
2017-09-02,878
2017-09-03,878
2017-09-04,878
2017-09-05,878
2017-09-06,840
2017-09-07,840
2017-09-08,840
2017-09-09,840
2017-09-10,840
2017-09-11,840
2017-09-12,840
2017-09-13,851
2017-09-14,851
2017-09-15,851
2017-09-16,851
2017-09-17,851
2017-09-18,851
2017-09-19,851
2017-09-20,855
2017-09-21,855
2017-09-22,855
2017-09-23,855
2017-09-24,855
2017-09-25,855
2017-09-26,855
2017-09-27,891
2017-09-28,891
2017-09-29,891
2017-09-30,891
2017-10-01,891
2017-10-02,891
2017-10-03,891
2017-10-04,908
2017-10-05,908
2017-10-06,908
2017-10-07,908
2017-10-08,908
2017-10-09,908
2017-10-10,908
2017-10-11,913
2017-10-12,913
2017-10-13,913
2017-10-14,913
2017-10-15,913
