date_obj,Adamant%20crossbow price
2016-02-13,3326
2016-02-14,3326
2016-02-15,3292
2016-02-16,3218
2016-02-17,3180
2016-02-18,3180
2016-02-19,3075
2016-02-20,3057
2016-02-21,3091
2016-02-22,3091
2016-02-23,3153
2016-02-24,3224
2016-02-25,3237
2016-02-26,3237
2016-02-27,3081
2016-02-28,3081
2016-02-29,2926
2016-03-01,2812
2016-03-02,2744
2016-03-03,2745
2016-03-04,2759
2016-03-05,2801
2016-03-06,2882
2016-03-07,2882
2016-03-08,2957
2016-03-09,2868
2016-03-10,2756
2016-03-11,2756
2016-03-12,2778
2016-03-13,2778
2016-03-14,2809
2016-03-15,2950
2016-03-16,3098
2016-03-17,3179
2016-03-18,3338
2016-03-19,3491
2016-03-20,3666
2016-03-21,3666
2016-03-22,3837
2016-03-23,3778
2016-03-24,3825
2016-03-25,3959
2016-03-26,4106
2016-03-27,4107
2016-03-28,3959
2016-03-29,3907
2016-03-30,3907
2016-03-31,3763
2016-04-01,3581
2016-04-02,3401
2016-04-03,3241
2016-04-04,3150
2016-04-05,3034
2016-04-06,2942
2016-04-07,2825
2016-04-08,2795
2016-04-09,2824
2016-04-10,2789
2016-04-11,2789
2016-04-12,2696
2016-04-13,2576
2016-04-14,2467
2016-04-15,2409
2016-04-16,2357
2016-04-17,2341
2016-04-18,2299
2016-04-19,2299
2016-04-20,2270
2016-04-21,2270
2016-04-22,2213
2016-04-23,2223
2016-04-24,2243
2016-04-25,2252
2016-04-26,2268
2016-04-27,2346
2016-04-28,2346
2016-04-29,2451
2016-04-30,2446
2016-05-01,2544
2016-05-02,2533
2016-05-03,2604
2016-05-04,2728
2016-05-05,2859
2016-05-06,2859
2016-05-07,2927
2016-05-08,2927
2016-05-09,2972
2016-05-10,3008
2016-05-11,3008
2016-05-12,3023
2016-05-13,3101
2016-05-14,3134
2016-05-15,3038
2016-05-16,3062
2016-05-17,2967
2016-05-18,2853
2016-05-19,2836
2016-05-21,2704
2016-05-22,2643
2016-05-23,2765
2016-05-24,2869
2016-05-25,3010
2016-05-26,3154
2016-05-27,3286
2016-05-28,3286
2016-05-29,3451
2016-05-30,3451
2016-05-31,3603
2016-06-01,3663
2016-06-02,3774
2016-06-03,3774
2016-06-04,3881
2016-06-05,3881
2016-06-06,3801
2016-06-07,3801
2016-06-08,3792
2016-06-09,3804
2016-06-10,3855
2016-06-11,3849
2016-06-12,3795
2016-06-13,3795
2016-06-14,3792
2016-06-15,3824
2016-06-16,3824
2016-06-17,3797
2016-06-18,3797
2016-06-19,3765
2016-06-20,3695
2016-06-21,3600
2016-06-22,3505
2016-06-23,3378
2016-06-24,3243
2016-06-25,3080
2016-06-26,3080
2016-06-27,2930
2016-06-28,2829
2016-06-29,2694
2016-06-30,2559
2016-07-01,2492
2016-07-02,2492
2016-07-03,2446
2016-07-04,2443
2016-07-05,2443
2016-07-06,2452
2016-07-07,2452
2016-07-08,2540
2016-07-09,2667
2016-07-10,2801
2016-07-11,2866
2016-07-12,3007
2016-07-13,3134
2016-07-14,3240
2016-07-15,3299
2016-07-16,3359
2016-07-17,3359
2016-07-18,3404
2016-07-23,3498
2016-07-24,3671
2016-07-25,3855
2016-07-26,3855
2016-07-27,4041
2016-07-28,4041
2016-07-29,4203
2016-07-30,4230
