date_obj,Granite%20longsword price
2017-09-07,21315
2017-09-08,22381
2017-09-09,23501
2017-09-10,24677
2017-09-11,25911
2017-09-12,27192
2017-09-13,28552
2017-09-14,29980
2017-09-15,31410
2017-09-16,32981
2017-09-17,34631
2017-09-18,36281
2017-09-19,38025
2017-09-20,39927
2017-09-21,41779
2017-09-22,43868
2017-09-23,45990
2017-09-24,48290
2017-09-25,50705
2017-09-26,53166
2017-09-27,55717
2017-09-28,58503
2017-09-29,61429
2017-09-30,64404
2017-10-01,67435
2017-10-02,70807
2017-10-03,74212
2017-10-04,77477
2017-10-05,81176
2017-10-06,85089
2017-10-07,89125
2017-10-08,93420
2017-10-09,97806
2017-10-10,102697
2017-10-11,102697
2017-10-12,107832
2017-10-13,113224
2017-10-14,118886
2017-10-15,118886
2017-10-16,124831
2017-10-17,124831
2017-10-18,131073
2017-10-19,136952
2017-10-20,143536
2017-10-21,150293
2017-10-22,157808
2017-10-23,165184
2017-10-24,172929
2017-10-25,181576
2017-10-26,189789
2017-10-27,199279
2017-10-28,199279
2017-10-29,209243
2017-10-30,219706
2017-10-31,230692
2017-11-01,230692
2017-11-02,241890
2017-11-03,241890
2017-11-04,253985
2017-11-05,253985
2017-11-06,261874
2017-11-07,261874
2017-11-08,265999
2017-11-09,273499
2017-11-10,273499
2017-11-11,282677
2017-11-12,295611
2017-11-13,295611
2017-11-14,302544
2017-11-15,302544
2017-11-16,308638
2017-11-17,308638
2017-11-18,297476
2017-11-19,296928
2017-11-20,286517
2017-11-21,272849
2017-11-22,272849
2017-11-23,262762
2017-11-24,262762
2017-11-25,251629
2017-11-26,239748
2017-11-27,239748
2017-11-28,230511
2017-11-29,230511
2017-11-30,222754
2017-12-01,220466
2017-12-02,220466
2017-12-03,227537
2017-12-04,227537
2017-12-05,231284
2017-12-06,242266
2017-12-07,253816
2017-12-08,253816
2017-12-09,265628
2017-12-10,272333
2017-12-11,283187
2017-12-12,283187
2017-12-13,296768
2017-12-14,296768
2017-12-15,303193
2017-12-16,303193
2017-12-17,315225
2017-12-18,326796
2017-12-19,326796
2017-12-20,317103
2017-12-21,310107
2017-12-22,310107
2017-12-23,302915
2017-12-24,302915
2017-12-25,300166
2017-12-26,292659
2017-12-27,284259
2017-12-28,284259
2017-12-29,287821
2017-12-30,301850
2017-12-31,301850
2018-01-01,307741
2018-01-02,295482
2018-01-03,289246
2018-01-04,289246
2018-01-05,279867
2018-01-06,286197
2018-01-07,296415
2018-01-08,293528
2018-01-09,283797
2018-01-10,283797
2018-01-11,275102
2018-01-12,277762
2018-01-13,270908
2018-01-14,264105
2018-01-15,259439
2018-01-16,259618
2018-01-17,250366
2018-01-18,241733
2018-01-19,241733
2018-01-20,233256
2018-01-21,230119
2018-01-22,235812
2018-01-23,239545
2018-01-25,258495
2018-01-26,263002
2018-01-27,265297
2018-01-28,265384
2018-01-29,268938
2018-01-30,269582
2018-01-31,260890
2018-02-01,257831
2018-02-02,248600
2018-02-03,242092
2018-02-04,248461
2018-02-05,247797
2018-02-06,238532
2018-02-07,244205
2018-02-08,244205
2018-02-09,243219
2018-02-10,241469
2018-02-11,243562
2018-02-12,246375
2018-02-13,247893
2018-02-14,249710
2018-02-15,249780
2018-02-16,248665
2018-02-17,248064
2018-02-18,250259
2018-02-19,249047
2018-02-20,253175
2018-02-21,256010
2018-02-22,264114
2018-02-23,262983
2018-02-24,254947
2018-02-25,249844
2018-02-26,247097
2018-02-27,245115
2018-02-28,246553
2018-03-01,242279
2018-03-02,239067
2018-03-03,240615
2018-03-04,240615
2018-03-05,241753
2018-03-06,242001
2018-03-07,241557
2018-03-08,239785
2018-03-09,240908
2018-03-10,240615
2018-03-11,241924
2018-03-12,242783
2018-03-13,235126
