date_obj,Dragon%20axe price
2015-03-26,259775
2015-03-27,259775
2015-03-28,250168
2015-03-29,237679
2015-03-30,233377
2015-03-31,234812
2015-04-01,235425
2015-04-02,232937
2015-04-03,234127
2015-04-04,229994
2015-04-05,225516
2015-04-06,227193
2015-04-07,224572
2015-04-08,233473
2015-04-09,232379
2015-04-10,232912
2015-04-11,237646
2015-04-12,231669
2015-04-13,228729
2015-04-14,226846
2015-04-15,232452
2015-04-16,229826
2015-04-17,225840
2015-04-18,224222
2015-04-19,222114
2015-04-20,222655
2015-04-21,217276
2015-04-22,211984
2015-04-23,219307
2015-04-24,230273
2015-04-25,238810
2015-04-26,240196
2015-04-27,246148
2015-04-28,235741
2015-04-29,238138
2015-04-30,240109
2015-05-01,252079
2015-05-02,264469
2015-05-03,277693
2015-05-04,291077
2015-05-05,305576
2015-05-06,320855
2015-05-07,336898
2015-05-08,353399
2015-05-09,367772
2015-05-10,381725
2015-05-11,381725
2015-05-12,391207
2015-05-13,400195
2015-05-14,405032
2015-05-15,425259
2015-05-16,427211
2015-05-17,405851
2015-05-18,385558
2015-05-19,366280
2015-05-20,347981
2015-05-21,345290
2015-05-22,356088
2015-05-23,351651
2015-05-24,349659
2015-05-25,343342
2015-05-26,329862
2015-05-27,333894
2015-05-28,348641
2015-05-29,365961
2015-05-30,353794
2015-05-31,336129
2015-06-01,320373
2015-06-02,326249
2015-06-03,340105
2015-06-04,336243
2015-06-05,329261
2015-06-06,322884
2015-06-07,320180
2015-06-08,324977
2015-06-09,324000
2015-06-10,321914
2015-06-11,320648
2015-06-12,310041
2015-06-13,295925
2015-06-14,281822
2015-06-15,282674
2015-06-16,282646
2015-06-17,277694
2015-06-18,273362
2015-06-19,263731
2015-06-20,276770
2015-06-21,290194
2015-06-22,293309
2015-06-23,285454
2015-06-24,278191
2015-06-25,264316
2015-06-26,261241
2015-06-27,271461
2015-06-28,275661
2015-06-29,263023
2015-06-30,251778
2015-07-01,264031
2015-07-02,271299
2015-07-03,263758
2015-07-04,251098
2015-07-05,242991
2015-07-06,244942
2015-07-07,251051
2015-07-08,253081
2015-07-09,253910
2015-07-10,249736
2015-07-11,254186
2015-07-12,253701
2015-07-13,253249
2015-07-14,255750
2015-07-15,256419
2015-07-16,256496
2015-07-17,256033
2015-07-18,254745
2015-07-19,250215
2015-07-20,258903
2015-07-21,269685
2015-07-22,280385
2015-07-23,279255
2015-07-24,285829
2015-07-25,287284
2015-07-26,289306
2015-07-27,279535
2015-07-28,271950
2015-07-29,284062
2015-07-30,292099
2015-07-31,285328
2015-08-01,298268
2015-08-02,309912
2015-08-03,318168
2015-08-04,333961
2015-08-05,348784
2015-08-06,361656
2015-08-07,350267
2015-08-08,336520
2015-08-09,323099
2015-08-10,311022
2015-08-11,310216
2015-08-12,316351
2015-08-13,315282
2015-08-14,315195
2015-08-15,315730
2015-08-16,315004
2015-08-17,304406
2015-08-18,316458
2015-08-19,317133
2015-08-20,317678
2015-08-21,315018
2015-08-22,311061
2015-08-23,308946
2015-08-24,300666
2015-08-25,300195
2015-08-26,311364
2015-08-27,306316
2015-08-28,291000
2015-08-29,279963
2015-08-30,270991
2015-08-31,259819
2015-09-01,254710
2015-09-02,259789
2015-09-03,248538
2015-09-04,236111
2015-09-05,224479
2015-09-06,218327
2015-09-07,218457
2015-09-08,227780
2015-09-09,223591
2015-09-10,213620
2015-09-11,207212
2015-09-12,199754
2015-09-13,191481
2015-09-14,188801
2015-09-15,181062
2015-09-16,172236
2015-09-17,163957
2015-09-18,156567
2015-09-19,155925
2015-09-20,153002
2015-09-21,152424
2015-09-22,159984
2015-09-23,167984
2015-09-24,175239
2015-09-25,172494
2015-09-27,166250
2015-09-28,160082
2015-09-29,156524
2015-09-30,158577
2015-10-05,177190
2015-10-06,179353
2015-10-07,180186
2015-10-08,177385
2015-10-09,179076
2015-10-10,177237
2015-10-11,172718
2015-10-12,164653
2015-10-13,164450
2015-10-14,163143
2015-10-15,161124
2015-10-16,154738
2015-10-17,153475
2015-10-18,159078
2015-10-19,159233
2015-10-20,159827
2015-10-22,164292
2015-10-23,159785
2015-10-24,151804
2015-10-25,152391
2015-10-26,158698
2015-10-27,163502
2015-10-29,174392
2015-10-30,183040
2015-10-31,192122
2015-11-01,193289
2015-11-02,198477
2015-11-03,204356
2015-11-04,200611
2015-11-05,191957
2015-11-06,182359
2015-11-07,175313
2015-11-08,175740
2015-11-09,173507
2015-11-10,166299
2015-11-11,159158
2015-11-12,151200
2015-11-13,146963
2015-11-14,146323
2015-11-15,147284
2015-11-16,147675
2015-11-17,149168
2015-11-18,151957
2015-11-19,155325
2015-11-20,151316
2015-11-21,145160
2015-11-22,147696
2015-11-23,151799
2015-11-24,149303
2015-11-25,151817
2015-11-26,155018
2015-11-27,152879
2015-11-28,148078
2015-11-29,148599
2015-11-30,149656
2015-12-01,148085
2015-12-02,148345
2015-12-03,146156
2015-12-04,143935
2015-12-05,140982
2015-12-06,138042
2015-12-07,134188
2015-12-08,132879
2015-12-09,137601
2015-12-10,142066
2015-12-11,146064
2015-12-12,150677
2015-12-13,151462
2015-12-14,153786
2015-12-15,150148
2015-12-16,145587
2015-12-17,143738
2015-12-18,147022
2015-12-19,148735
2015-12-20,146041
2015-12-21,142921
2015-12-22,141564
2015-12-23,144231
2015-12-24,143969
