date_obj,Ham%20hood price
2016-03-15,257
2016-03-16,256
2016-03-17,256
2016-03-18,258
2016-03-19,258
2016-03-20,257
2016-03-21,257
2016-03-22,261
2016-03-23,268
2016-03-24,268
2016-03-25,268
2016-03-26,275
2016-03-27,275
2016-03-28,278
2016-03-29,281
2016-03-30,281
2016-03-31,284
2016-04-01,284
2016-04-02,295
2016-04-03,294
2016-04-04,294
2016-04-05,298
2016-04-06,304
2016-04-07,304
2016-04-08,314
2016-04-09,324
2016-04-10,320
2016-04-11,320
2016-04-12,321
2016-04-13,321
2016-04-14,313
2016-04-15,305
2016-04-16,305
2016-04-17,300
2016-04-18,299
2016-04-19,299
2016-04-20,298
2016-04-21,298
2016-04-22,297
2016-04-23,297
2016-04-24,291
2016-04-25,289
2016-04-26,289
2016-04-27,283
2016-04-28,283
2016-04-29,280
2016-04-30,283
2016-05-01,283
2016-05-02,287
2016-05-03,287
2016-05-04,295
2016-05-05,293
2016-05-06,293
2016-05-07,295
2016-05-08,295
2016-05-09,293
2016-05-10,289
2016-05-11,289
2016-05-12,285
2016-05-13,288
2016-05-14,288
2016-05-15,291
2016-05-16,291
2016-05-17,293
2016-05-18,294
2016-05-19,294
2016-05-22,283
2016-05-23,276
2016-05-24,276
2016-05-25,269
2016-05-26,268
2016-05-27,265
2016-05-28,265
2016-05-29,263
2016-05-30,263
2016-05-31,260
2016-06-01,250
2016-06-02,250
2016-06-03,247
2016-06-04,244
2016-06-05,244
2016-06-06,243
2016-06-07,243
2016-06-08,241
2016-06-09,238
2016-06-10,236
2016-06-11,236
2016-06-12,237
2016-06-13,237
2016-06-14,236
2016-06-15,236
2016-06-16,241
2016-06-17,241
2016-06-18,241
2016-06-19,241
2016-06-20,241
2016-06-21,250
2016-06-22,257
2016-06-23,257
2016-06-24,253
2016-06-25,258
2016-06-26,258
2016-06-27,266
2016-06-28,265
2016-06-29,265
2016-06-30,267
2016-07-01,265
2016-07-02,265
2016-07-03,266
2016-07-04,266
2016-07-05,266
2016-07-06,263
2016-07-07,259
2016-07-08,260
2016-07-09,260
2016-07-10,258
2016-07-11,256
2016-07-12,253
2016-07-13,250
2016-07-14,243
2016-07-15,237
2016-07-16,231
2016-07-17,222
2016-07-18,219
2016-07-23,220
2016-07-24,220
2016-07-25,220
2016-07-26,220
2016-07-27,219
2016-07-28,219
2016-07-29,223
2016-07-30,224
2016-07-31,224
2016-08-01,225
2016-08-02,223
2016-08-03,223
2016-08-04,220
2016-08-05,220
2016-08-06,216
2016-08-07,211
2016-08-08,211
2016-08-09,211
2016-08-10,211
2016-08-11,211
2016-08-12,211
2016-08-13,215
2016-08-14,215
2016-08-15,219
2016-08-16,219
