date_obj,Ancient%20statuette price
2017-11-23,2000000
2017-11-24,1966421
2017-11-25,1975572
2017-11-26,1975572
2017-11-27,1978830
2017-11-28,1978830
2017-11-29,1983820
2017-11-30,1983820
2017-12-01,1983820
2017-12-02,1988897
2017-12-03,1988897
2017-12-04,1988897
2017-12-05,1988897
2017-12-06,1989359
2017-12-07,1989359
2017-12-08,1989359
2017-12-09,1989359
2017-12-10,1991318
2017-12-11,1991318
2017-12-12,1991318
2017-12-13,1991318
2017-12-14,1991318
2017-12-15,1984445
2017-12-16,1984445
2017-12-17,1984445
2017-12-18,1984445
2017-12-19,1984445
2017-12-20,1984445
2017-12-21,1980431
2017-12-22,1980431
2017-12-23,1980431
2017-12-24,1980431
2017-12-25,1980431
2017-12-26,1980431
2017-12-27,1980431
2017-12-28,1980431
2017-12-29,1975881
2017-12-30,1975881
2017-12-31,1975881
2018-01-01,1975881
2018-01-02,1975881
2018-01-03,1975881
2018-01-04,1975881
2018-01-05,1975659
2018-01-06,1975659
2018-01-07,1975659
2018-01-08,1975659
2018-01-09,1975659
2018-01-10,1975659
2018-01-11,1975659
2018-01-12,1975659
2018-01-13,1966709
2018-01-14,1966709
2018-01-15,1966709
2018-01-16,1966709
2018-01-17,1966709
2018-01-18,1966709
2018-01-19,1966709
2018-01-20,1973774
2018-01-21,1973774
2018-01-22,1973774
2018-01-23,1973774
2018-01-24,1977234
2018-01-25,1977234
2018-01-26,1977234
2018-01-27,1977234
2018-01-28,1981962
2018-01-29,1981962
2018-01-30,1981962
2018-01-31,1982014
2018-02-01,1982014
2018-02-02,1982014
2018-02-03,1982014
2018-02-04,1985130
2018-02-05,1985130
2018-02-06,1985130
2018-02-07,1991917
2018-02-08,1946871
2018-02-09,1945631
2018-02-10,1954628
2018-02-11,1968169
2018-02-12,1964815
2018-02-13,1963582
2018-02-14,1972705
2018-02-15,1934115
2018-02-16,1921266
2018-02-17,1957653
2018-02-18,1936736
2018-02-19,1952766
2018-02-20,1941586
2018-02-21,1956820
2018-02-22,1954817
2018-02-23,1945619
2018-02-24,1945619
2018-02-25,1948873
2018-02-26,1951181
2018-02-27,1956670
2018-02-28,1956670
2018-03-01,1960693
2018-03-02,1961200
2018-03-03,1960327
2018-03-04,1960327
2018-03-05,1966305
2018-03-06,1960382
2018-03-07,1960245
2018-03-08,1964815
2018-03-09,1963961
2018-03-10,1967055
2018-03-11,1966519
2018-03-12,1971217
2018-03-13,1964840
2018-03-14,1970699
2018-03-15,1971981
2018-03-16,1973747
2018-03-17,1972505
2018-03-18,1973039
2018-03-19,1973039
2018-03-20,1975228
2018-03-21,1978963
2018-03-22,1977192
2018-03-23,1967484
2018-03-24,1970715
2018-03-25,1976132
2018-03-26,1976169
2018-03-27,1980840
2018-03-28,1983436
2018-03-29,1983243
2018-03-30,1980227
2018-03-31,1984515
2018-04-01,1981111
2018-04-02,1964904
2018-04-03,1935833
2018-04-04,1944065
2018-04-05,1944065
2018-04-06,1948287
2018-04-07,1948287
2018-04-08,1963138
2018-04-09,1967646
2018-04-10,1950337
2018-04-11,1963049
2018-04-12,1968586
2018-04-13,1970337
2018-04-14,1960663
2018-04-15,1971820
2018-04-16,1971820
2018-04-17,1980147
2018-04-18,1983633
2018-04-19,1985246
2018-04-20,1968330
2018-04-21,1980340
2018-04-22,1975835
2018-04-23,1981713
2018-04-24,1983464
2018-04-25,1983888
2018-04-26,1983888
2018-04-27,1974402
2018-04-28,1982225
2018-04-29,1985452
2018-04-30,1986174
2018-05-01,1986502
2018-05-02,1982481
2018-05-03,1987258
2018-05-04,1987273
2018-05-05,1978410
2018-05-06,1978410
2018-05-07,1975433
2018-05-08,1978558
2018-05-09,1943549
2018-05-10,1939767
2018-05-11,1950332
2018-05-12,1951861
2018-05-13,1951861
2018-05-14,1954057
2018-05-15,1954737
2018-05-16,1958050
2018-05-17,1967523
2018-05-18,1961372
2018-05-19,1945877
2018-05-20,1962549
2018-05-21,1965988
2018-05-22,1965988
2018-05-23,1948861
2018-05-24,1947112
2018-05-25,1941105
2018-05-26,1935458
2018-05-27,1950819
2018-05-28,1951779
2018-05-29,1952394
2018-05-30,1956349
2018-05-31,1957051
2018-06-01,1962088
2018-06-02,1965733
2018-06-03,1984261
2018-06-04,1970006
2018-06-05,1969536
2018-06-06,1974709
2018-06-07,1976558
2018-06-08,1982062
2018-06-09,1978354
2018-06-10,1978944
2018-06-11,1979911
2018-06-12,1981902
2018-06-13,1981398
2018-06-14,1981966
2018-06-15,1981964
2018-06-16,1956918
2018-06-17,1965503
2018-06-18,1965580
2018-06-19,1966944
2018-06-20,1966944
2018-06-21,1969181
2018-06-22,1988979
2018-06-23,1987779
2018-06-24,1934001
2018-06-25,1958953
2018-06-26,1967668
2018-06-27,1969591
2018-06-28,1966684
2018-06-29,1945275
2018-06-30,1930645
2018-07-01,1981759
2018-07-02,1967411
2018-07-03,1965884
2018-07-04,1967490
2018-07-05,1968382
2018-07-06,1968485
2018-07-07,1969967
2018-07-08,1970356
2018-07-09,1972998
2018-07-10,1973178
2018-07-11,1975155
2018-07-12,1991354
2018-07-13,1982611
2018-07-14,1983776
2018-07-15,1983777
2018-07-16,1984648
2018-07-17,1984867
2018-07-18,1985523
2018-07-19,1993653
2018-07-20,1988963
2018-07-21,1949922
2018-07-22,1966876
2018-07-23,1979173
2018-07-24,1993467
2018-07-25,1969939
2018-07-26,1966995
2018-07-27,1948743
2018-07-28,1933634
2018-07-29,1968096
2018-07-30,1971954
2018-07-31,1972217
2018-08-01,1972065
2018-08-02,1972474
2018-08-03,1972723
2018-08-04,1973416
2018-08-05,1973715
2018-08-06,1975325
2018-08-07,1978325
2018-08-08,1980759
2018-08-09,1983348
2018-08-10,1984044
2018-08-11,1984195
2018-08-12,1984386
2018-08-14,1978291
2018-08-16,1935570
2018-08-17,1951336
