date_obj,Apprentice%20wand price
2015-03-26,325000
2015-03-27,325000
2015-03-28,325000
2015-03-29,325000
2015-03-30,325000
2015-03-31,325000
2015-04-01,325000
2015-04-02,325000
2015-04-03,325000
2015-04-04,325000
2015-04-05,325000
2015-04-06,325000
2015-04-07,325000
2015-04-08,325000
2015-04-09,325000
2015-04-10,325000
2015-04-11,325000
2015-04-12,325000
2015-04-13,325000
2015-04-14,325000
2015-04-15,325000
2015-04-16,325000
2015-04-17,325000
2015-04-18,325000
2015-04-19,325000
2015-04-20,325000
2015-04-21,325000
2015-04-22,325000
2015-04-23,325000
2015-04-24,325000
2015-04-25,325000
2015-04-26,325000
2015-04-27,325000
2015-04-28,325000
2015-04-29,325000
2015-04-30,325000
2015-05-01,325000
2015-05-02,325000
2015-05-03,325000
2015-05-04,325000
2015-05-05,325000
2015-05-06,325000
2015-05-07,325000
2015-05-08,325000
2015-05-09,325000
2015-05-10,325000
2015-05-11,325000
2015-05-12,325000
2015-05-13,325000
2015-05-14,325000
2015-05-15,325000
2015-05-16,325000
2015-05-17,325000
2015-05-18,325000
2015-05-19,325000
2015-05-20,325000
2015-05-21,325000
2015-05-22,325000
2015-05-23,325000
2015-05-24,334202
2015-05-25,334202
2015-05-26,334202
2015-05-27,334202
2015-05-28,334202
2015-05-29,334202
2015-05-30,334202
2015-05-31,334202
2015-06-01,334202
2015-06-02,334202
2015-06-03,334202
2015-06-04,334202
2015-06-05,334202
2015-06-06,334202
2015-06-07,334202
2015-06-08,334202
2015-06-09,334202
2015-06-10,334202
2015-06-11,334202
2015-06-12,334202
2015-06-13,334202
2015-06-14,334202
2015-06-15,334202
2015-06-16,334202
2015-06-17,334202
2015-06-18,334202
2015-06-19,334202
2015-06-20,334202
2015-06-21,334202
2015-06-22,334202
2015-06-23,334202
2015-06-24,334202
2015-06-25,334202
2015-06-26,334202
2015-06-27,334202
2015-06-28,334202
2015-06-29,334202
2015-06-30,334202
2015-07-01,334202
2015-07-02,334202
2015-07-03,334202
2015-07-04,334202
2015-07-05,334202
2015-07-06,334202
2015-07-07,334202
2015-07-08,334202
2015-07-09,334202
2015-07-10,334202
2015-07-11,334202
2015-07-12,334202
2015-07-13,334202
2015-07-14,334202
2015-07-15,334202
2015-07-16,348809
2015-07-17,348809
2015-07-18,348809
2015-07-19,348809
2015-07-20,348809
2015-07-21,348809
2015-07-22,348809
2015-07-23,348809
2015-07-24,348809
2015-07-25,348809
2015-07-26,348809
2015-07-27,348809
2015-07-28,348809
2015-07-29,348809
2015-07-30,348809
2015-07-31,348809
2015-08-01,348809
2015-08-02,348809
2015-08-03,348809
2015-08-04,348809
2015-08-05,348809
2015-08-06,348809
2015-08-07,348809
2015-08-08,348809
2015-08-09,348809
2015-08-10,348809
2015-08-11,348809
2015-08-12,348809
2015-08-13,348809
2015-08-14,348809
2015-08-15,348809
2015-08-16,348809
2015-08-17,348809
