date_obj,Icy%20basalt price
2018-09-05,578
2018-09-06,607
2018-09-07,638
2018-09-08,670
2018-09-09,704
2018-09-10,740
2018-09-11,777
2018-09-12,816
2018-09-13,857
2018-09-14,900
2018-09-15,945
2018-09-16,993
2018-09-17,1043
2018-09-18,1096
2018-09-19,1151
2018-09-20,1209
2018-09-21,1270
2018-09-22,1334
2018-09-23,1401
2018-09-24,1472
2018-09-25,1545
2018-09-26,1566
2018-09-27,1553
2018-09-28,1508
2018-09-29,1552
2018-09-30,1626
2018-10-02,1747
2018-10-03,1752
2018-10-04,1766
2018-10-05,1806
2018-10-06,1804
2018-10-07,1763
2018-10-08,1723
2018-10-09,1680
2018-10-10,1672
2018-10-11,1681
2018-10-12,1640
2018-10-13,1682
2018-10-14,1767
2018-10-15,1843
2018-10-16,1844
2018-10-17,1830
2018-10-18,1772
2018-10-19,1708
2018-10-20,1640
2018-10-21,1599
2018-10-22,1588
2018-10-23,1601
2018-10-24,1628
2018-10-25,1665
2018-10-26,1658
2018-10-27,1658
2018-10-28,1648
2018-10-29,1589
2018-10-30,1559
2018-10-31,1563
2018-11-01,1556
2018-11-03,1581
2018-11-04,1566
2018-11-05,1544
2018-11-06,1535
2018-11-07,1510
2018-11-08,1568
2018-11-09,1637
2018-11-10,1719
2018-11-11,1759
2018-11-12,1703
2018-11-13,1703
2018-11-14,1641
2018-11-15,1654
2018-11-16,1645
2018-11-17,1661
2018-11-18,1715
2018-11-19,1736
2018-11-20,1659
2018-11-21,1576
2018-11-22,1498
2018-11-23,1486
2018-11-24,1454
2018-11-25,1386
2018-11-26,1316
2018-11-27,1250
2018-11-28,1187
2018-11-29,1137
2018-12-01,1186
2018-12-02,1191
2018-12-03,1191
2018-12-04,1250
2018-12-05,1306
2018-12-07,1407
2018-12-09,1452
2018-12-10,1489
2018-12-11,1482
2018-12-12,1407
2018-12-13,1352
2018-12-14,1385
2018-12-15,1344
2018-12-16,1354
2018-12-17,1388
2018-12-18,1436
2018-12-19,1454
2018-12-20,1472
2018-12-21,1413
2018-12-22,1391
2018-12-23,1351
2018-12-24,1324
2018-12-25,1331
2018-12-26,1398
2018-12-27,1465
2018-12-28,1512
2018-12-29,1492
2018-12-30,1432
2018-12-31,1382
2019-01-01,1348
2019-01-02,1408
2019-01-03,1464
2019-01-04,1459
2019-01-05,1473
2019-01-06,1492
2019-01-08,1567
2019-01-10,1625
2019-01-11,1579
2019-01-12,1582
2019-01-13,1649
2019-01-14,1693
2019-01-15,1720
2019-01-16,1675
2019-01-17,1657
2019-01-18,1702
2019-01-19,1665
2019-01-20,1581
2019-01-21,1501
2019-01-22,1484
2019-01-23,1490
2019-01-24,1548
2019-01-25,1599
2019-01-26,1582
2019-01-27,1570
2019-01-28,1532
2019-01-29,1530
2019-01-30,1499
2019-01-31,1506
2019-02-01,1538
2019-02-02,1574
2019-02-03,1576
2019-02-04,1536
2019-02-05,1472
2019-02-06,1398
2019-02-07,1338
2019-02-08,1333
2019-02-09,1294
2019-02-10,1294
2019-02-11,1288
2019-02-12,1237
2019-02-13,1236
2019-02-14,1251
2019-02-15,1243
2019-02-16,1283
2019-02-17,1288
2019-02-18,1242
2019-02-19,1218
2019-02-20,1190
2019-02-21,1149
2019-02-22,1118
2019-02-23,1104
2019-02-24,1079
2019-02-25,1074
2019-02-26,1121
2019-02-27,1160
2019-02-28,1167
2019-03-01,1177
2019-03-02,1208
2019-03-03,1177
2019-03-04,1179
2019-03-05,1166
2019-03-06,1151
2019-03-07,1119
2019-03-08,1104
2019-03-09,1126
2019-03-10,1094
2019-03-11,1128
2019-03-12,1172
2019-03-13,1114
2019-03-14,1110
2019-03-15,1113
2019-03-16,1092
2019-03-17,1111
2019-03-18,1066
2019-03-19,1071
2019-03-20,1071
2019-03-21,1116
2019-03-22,1142
2019-03-23,1136
2019-03-24,1172
2019-03-25,1231
2019-03-26,1289
2019-03-27,1337
2019-03-28,1376
2019-03-29,1392
2019-03-30,1392
2019-03-31,1397
2019-04-01,1417
2019-04-02,1429
2019-04-03,1432
2019-04-04,1404
2019-04-05,1444
2019-04-06,1451
2019-04-07,1407
2019-04-08,1355
2019-04-09,1322
2019-04-10,1283
2019-04-11,1260
2019-04-12,1207
2019-04-13,1152
2019-04-14,1112
2019-04-15,1057
2019-04-16,1047
2019-04-17,1091
2019-04-18,1106
2019-04-19,1110
2019-04-20,1157
2019-04-21,1204
2019-04-22,1261
2019-04-23,1240
2019-04-24,1209
2019-04-25,1207
2019-04-26,1190
2019-04-27,1151
2019-04-28,1124
2019-04-29,1119
2019-04-30,1109
2019-05-01,1109
2019-05-02,1090
2019-05-03,1136
2019-05-04,1159
2019-05-05,1123
2019-05-06,1090
2019-05-07,1063
2019-05-08,1044
2019-05-09,1050
2019-05-10,1085
2019-05-11,1074
2019-05-12,1041
2019-05-13,1018
2019-05-14,1002
2019-05-15,998
2019-05-16,987
2019-05-17,958
2019-05-18,941
2019-05-19,978
2019-05-20,950
2019-05-21,956
2019-05-22,986
2019-05-23,1028
2019-05-24,1067
2019-05-25,1118
2019-05-26,1152
2019-05-27,1125
2019-05-28,1111
2019-05-29,1097
2019-05-30,1066
2019-05-31,1045
2019-06-01,1004
2019-06-02,969
2019-06-03,969
2019-06-04,988
2019-06-05,984
2019-06-06,988
2019-06-07,1005
2019-06-08,1045
2019-06-09,1082
2019-06-10,1137
2019-06-11,1168
2019-06-12,1153
2019-06-13,1197
2019-06-14,1222
2019-06-15,1254
2019-06-16,1313
2019-06-17,1338
2019-06-18,1351
2019-06-19,1401
2019-06-20,1370
2019-06-21,1343
2019-06-22,1288
2019-06-23,1258
2019-06-24,1240
2019-06-25,1262
2019-06-26,1270
2019-06-27,1268
2019-06-28,1278
2019-06-29,1265
2019-06-30,1264
2019-07-01,1294
2019-07-02,1267
2019-07-03,1220
2019-07-04,1160
2019-07-05,1102
2019-07-06,1046
2019-07-07,1010
2019-07-08,1014
2019-07-09,987
2019-07-10,985
2019-07-11,976
2019-07-12,976
2019-07-13,963
2019-07-14,967
2019-07-15,981
2019-07-16,963
2019-07-17,932
2019-07-18,946
2019-07-19,948
2019-07-20,935
2019-07-21,961
2019-07-22,974
2019-07-23,977
2019-07-24,967
2019-07-25,957
2019-07-26,978
2019-07-27,984
2019-07-28,954
2019-07-29,940
2019-07-30,943
2019-07-31,957
2019-08-01,955
2019-08-02,954
