date_obj,Mithril%20scimitar price
2015-03-26,1346
2015-03-27,1278
2015-03-28,1214
2015-03-29,1153
2015-03-30,1095
2015-03-31,1040
2015-04-01,988
2015-04-02,938
2015-04-03,891
2015-04-04,846
2015-04-05,803
2015-04-06,762
2015-04-07,723
2015-04-08,686
2015-04-09,651
2015-04-10,618
2015-04-11,587
2015-04-12,558
2015-04-13,530
2015-04-14,510
2015-04-15,494
2015-04-16,479
2015-04-17,474
2015-04-18,462
2015-04-19,443
2015-04-20,430
2015-04-21,423
2015-04-22,431
2015-04-23,446
2015-04-24,467
2015-04-25,479
2015-04-26,471
2015-04-27,458
2015-04-28,469
2015-04-29,478
2015-04-30,476
2015-05-01,462
2015-05-02,455
2015-05-03,440
2015-05-04,430
2015-05-05,429
2015-05-06,421
2015-05-07,422
2015-05-08,431
2015-05-09,441
2015-05-10,446
2015-05-11,454
2015-05-12,451
2015-05-13,444
2015-05-14,443
2015-05-15,439
2015-05-16,436
2015-05-17,449
2015-05-18,458
2015-05-19,470
2015-05-20,488
2015-05-21,489
2015-05-22,484
2015-05-23,462
2015-05-24,451
2015-05-25,437
2015-05-26,422
2015-05-27,414
2015-05-28,420
2015-05-29,423
2015-05-30,431
2015-05-31,449
2015-06-01,466
2015-06-02,481
2015-06-03,495
2015-06-04,512
2015-06-05,517
2015-06-06,494
2015-06-07,484
2015-06-08,483
2015-06-09,475
2015-06-10,486
2015-06-11,473
2015-06-12,488
2015-06-13,478
2015-06-14,474
2015-06-15,465
2015-06-16,448
2015-06-17,449
2015-06-18,441
2015-06-19,441
2015-06-20,437
2015-06-21,443
2015-06-22,456
2015-06-23,466
2015-06-24,467
2015-06-25,458
2015-06-26,460
2015-06-27,459
2015-06-28,459
2015-06-29,464
2015-06-30,471
2015-07-01,478
2015-07-02,479
2015-07-03,482
2015-07-04,490
2015-07-05,484
2015-07-06,488
2015-07-07,483
2015-07-08,481
2015-07-09,480
2015-07-10,471
2015-07-11,450
2015-07-12,447
2015-07-13,455
2015-07-14,453
2015-07-15,453
2015-07-16,454
2015-07-17,459
2015-07-18,460
2015-07-19,454
2015-07-20,453
2015-07-21,444
2015-07-22,444
2015-07-23,460
2015-07-24,472
2015-07-25,473
2015-07-26,459
2015-07-27,450
2015-07-28,433
2015-07-29,430
2015-07-30,438
2015-07-31,449
2015-08-01,455
2015-08-02,459
2015-08-03,448
2015-08-04,448
2015-08-05,450
2015-08-06,465
2015-08-07,475
2015-08-08,483
2015-08-09,492
2015-08-10,506
2015-08-11,521
2015-08-12,540
2015-08-13,555
2015-08-14,546
2015-08-15,546
2015-08-16,550
2015-08-17,541
2015-08-18,540
2015-08-19,537
2015-08-20,515
2015-08-21,505
2015-08-22,502
2015-08-23,486
2015-08-24,474
2015-08-25,475
2015-08-26,484
2015-08-27,494
2015-08-28,494
2015-08-29,488
2015-08-30,477
2015-08-31,482
2015-09-01,486
2015-09-02,477
2015-09-03,471
2015-09-04,459
2015-09-05,451
2015-09-06,453
2015-09-07,460
2015-09-08,472
2015-09-09,488
2015-09-10,513
2015-09-11,533
2015-09-12,552
2015-09-13,579
2015-09-14,598
2015-09-15,616
2015-09-16,635
2015-09-17,659
2015-09-18,664
2015-09-19,679
2015-09-20,673
2015-09-21,661
2015-09-22,657
2015-09-23,661
2015-09-24,639
2015-09-25,619
2015-09-27,597
2015-09-28,578
2015-09-29,552
2015-09-30,531
2015-10-05,525
2015-10-06,520
2015-10-07,527
2015-10-08,531
2015-10-09,536
2015-10-10,517
2015-10-11,531
2015-10-12,519
2015-10-13,507
2015-10-14,498
2015-10-15,502
2015-10-16,486
2015-10-17,492
2015-10-18,479
2015-10-19,483
2015-10-20,475
2015-10-22,501
2015-10-23,506
2015-10-24,508
2015-10-25,502
2015-10-26,488
2015-10-27,479
2015-10-29,453
2015-10-30,437
2015-10-31,450
2015-11-01,460
2015-11-02,466
2015-11-03,481
2015-11-04,501
2015-11-05,503
2015-11-06,502
2015-11-07,505
2015-11-08,490
2015-11-09,494
2015-11-10,486
2015-11-11,477
2015-11-12,477
2015-11-13,487
2015-11-14,505
2015-11-15,509
2015-11-16,502
2015-11-17,485
2015-11-18,489
2015-11-19,486
2015-11-20,488
2015-11-21,484
2015-11-22,500
2015-11-23,499
2015-11-24,514
2015-11-25,533
2015-11-26,543
2015-11-27,539
2015-11-28,548
2015-11-29,562
2015-11-30,575
2015-12-01,573
2015-12-02,562
2015-12-03,560
2015-12-04,565
2015-12-05,552
2015-12-06,544
2015-12-07,526
2015-12-08,537
2015-12-09,527
2015-12-10,509
2015-12-11,519
2015-12-12,527
2015-12-13,528
2015-12-14,534
2015-12-15,542
2015-12-16,530
2015-12-17,519
2015-12-18,528
2015-12-19,537
2015-12-20,547
2015-12-21,541
2015-12-22,531
2015-12-23,526
2015-12-24,535
2015-12-25,549
2015-12-26,552
2015-12-27,534
2015-12-28,520
2015-12-29,499
2015-12-30,495
2015-12-31,481
2016-01-01,480
2016-01-02,494
2016-01-03,509
2016-01-04,511
2016-01-05,512
2016-01-06,519
2016-01-07,520
2016-01-08,525
2016-01-09,525
2016-01-10,517
2016-01-11,514
2016-01-12,502
2016-01-13,500
2016-01-14,510
2016-01-15,484
2016-01-16,467
2016-01-17,448
2016-01-18,444
2016-01-19,458
2016-01-20,474
2016-01-21,498
2016-01-22,512
2016-01-23,521
2016-01-24,509
2016-01-25,509
2016-01-26,517
2016-01-27,526
