date_obj,Essence%20impling%20jar price
2015-03-05,35000
2015-03-06,35000
2015-03-07,35000
2015-03-08,35000
2015-03-09,35000
2015-03-10,35000
2015-03-11,35000
2015-03-12,35000
2015-03-13,35000
2015-03-14,35000
2015-03-15,35000
2015-03-16,35000
2015-03-17,35000
2015-03-18,35000
2015-03-19,35000
2015-03-20,35000
2015-03-21,35000
2015-03-22,35000
2015-03-23,35000
2015-03-24,35000
2015-03-25,35000
2015-03-26,35000
2015-03-27,35000
2015-03-28,35000
2015-03-29,35000
2015-03-30,35000
2015-03-31,35000
2015-04-01,35000
2015-04-02,33328
2015-04-03,33328
2015-04-04,33328
2015-04-05,33328
2015-04-06,33328
2015-04-07,33328
2015-04-08,33328
2015-04-09,33328
2015-04-10,33328
2015-04-11,33328
2015-04-12,33328
2015-04-13,33328
2015-04-14,33328
2015-04-15,33328
2015-04-16,33328
2015-04-17,33328
2015-04-18,33328
2015-04-19,33328
2015-04-20,33328
2015-04-21,33328
2015-04-22,33328
2015-04-23,33328
2015-04-24,33328
2015-04-25,33328
2015-04-26,33328
2015-04-27,33328
2015-04-28,33328
2015-04-29,33328
2015-04-30,33328
2015-05-01,31699
2015-05-02,31699
2015-05-03,31699
2015-05-04,31699
2015-05-05,31699
2015-05-06,31699
2015-05-07,31699
2015-05-08,31699
2015-05-09,31699
2015-05-10,31699
2015-05-11,31699
2015-05-12,31699
2015-05-13,31699
2015-05-14,31699
2015-05-15,31699
2015-05-16,31699
2015-05-17,31699
2015-05-18,31699
2015-05-19,31699
2015-05-20,31699
2015-05-21,31699
2015-05-22,31699
2015-05-23,31699
2015-05-24,31699
2015-05-25,31699
2015-05-26,31699
2015-05-27,31699
2015-05-28,30148
2015-05-29,30148
2015-05-30,30148
2015-05-31,30148
2015-06-01,30148
2015-06-02,30148
2015-06-03,30148
2015-06-04,30148
2015-06-05,30148
2015-06-06,30148
2015-06-07,30148
2015-06-08,30148
2015-06-09,30148
2015-06-10,30148
2015-06-11,30148
2015-06-12,30148
2015-06-13,30148
2015-06-14,30148
2015-06-15,30148
2015-06-16,30148
2015-06-17,30148
2015-06-18,30148
2015-06-19,30148
2015-06-20,30148
2015-06-21,30148
2015-06-22,28671
2015-06-23,28671
2015-06-24,28671
2015-06-25,28671
2015-06-26,28671
2015-06-27,28671
2015-06-28,28671
2015-06-29,28671
2015-06-30,28671
2015-07-01,28671
2015-07-02,28671
2015-07-03,28671
2015-07-04,28671
2015-07-05,28671
2015-07-06,28671
2015-07-07,28671
2015-07-08,28671
2015-07-09,28671
2015-07-10,28671
2015-07-11,28671
2015-07-12,28671
2015-07-13,28671
2015-07-14,28671
2015-07-15,27264
2015-07-16,27264
2015-07-17,27264
2015-07-18,27264
2015-07-19,27264
2015-07-20,27264
2015-07-21,27264
2015-07-22,27264
2015-07-23,27264
2015-07-24,27264
2015-07-25,27264
2015-07-26,27264
2015-07-27,27264
2015-07-28,27264
2015-07-29,27264
2015-07-30,27264
2015-07-31,27264
2015-08-01,27264
2015-08-02,27264
2015-08-03,27264
2015-08-04,27264
2015-08-05,25964
2015-08-06,25964
2015-08-07,25964
2015-08-08,25964
2015-08-09,25964
2015-08-10,25964
2015-08-11,25964
2015-08-12,25964
2015-08-13,25964
2015-08-14,25964
2015-08-15,25964
2015-08-16,25964
2015-08-17,25964
2015-08-18,25964
2015-08-19,25964
2015-08-20,25964
2015-08-21,25964
2015-08-22,25964
2015-08-23,25964
2015-08-24,25964
2015-08-25,25964
2015-08-26,25964
2015-08-27,24693
2015-08-28,24693
2015-08-29,24693
2015-08-30,24693
2015-08-31,24693
2015-09-01,24693
2015-09-02,24693
2015-09-07,24693
2015-09-08,24693
2015-09-10,24693
2015-09-14,24693
2015-09-16,24693
2015-09-22,23469
2015-09-23,23469
2015-09-24,23469
2015-09-25,23469
2015-09-27,23469
2015-09-28,23469
2015-09-29,23469
2015-09-30,23469
2015-10-05,23469
2015-10-06,23469
2015-10-07,23469
2015-10-08,23469
2015-10-09,23469
2015-10-10,23469
2015-10-11,23469
2015-10-12,23469
2015-10-13,22331
2015-10-14,22331
2015-10-15,22331
2015-10-16,22331
2015-10-17,22331
2015-10-18,22331
2015-10-19,22331
2015-10-20,22331
2015-10-22,22331
2015-10-23,22331
2015-10-24,22331
2015-10-25,22331
2015-10-26,22331
2015-10-27,22331
2015-10-29,22331
2015-10-30,22331
2015-10-31,22331
2015-11-01,22331
2015-11-02,22331
2015-11-03,22331
2015-11-04,22331
2015-11-05,22331
2015-11-06,22331
2015-11-07,21230
2015-11-08,21230
2015-11-09,21230
2015-11-10,21230
