date_obj,Regen%20bracelet price
2015-03-26,3053126
2015-03-27,3053126
2015-03-28,3053126
2015-03-29,3053126
2015-03-30,2917721
2015-03-31,2917721
2015-04-01,2917721
2015-04-02,2917721
2015-04-03,2917721
2015-04-04,2983081
2015-04-05,2983081
2015-04-06,2983081
2015-04-07,2983081
2015-04-08,2983081
2015-04-09,3057048
2015-04-10,3057048
2015-04-11,3057048
2015-04-12,3057048
2015-04-13,3022667
2015-04-14,3022667
2015-04-15,3022667
2015-04-16,3022667
2015-04-17,3022667
2015-04-18,3043631
2015-04-19,3043631
2015-04-20,3043631
2015-04-21,3043631
2015-04-22,3043631
2015-04-23,3007548
2015-04-24,3007548
2015-04-25,3007548
2015-04-26,3007548
2015-04-27,3014808
2015-04-28,3014808
2015-04-29,3014808
2015-04-30,3014808
2015-05-01,3034234
2015-05-02,3034234
2015-05-03,3034234
2015-05-04,3034234
2015-05-05,3034234
2015-05-06,3036453
2015-05-07,3036453
2015-05-08,3036453
2015-05-09,3036453
2015-05-10,2959444
2015-05-11,2959444
2015-05-12,2959444
2015-05-13,2959444
2015-05-14,2959444
2015-05-15,2969983
2015-05-16,2969983
2015-05-17,2969983
2015-05-18,2969983
2015-05-19,3043772
2015-05-20,3043772
2015-05-21,3043772
2015-05-22,3043772
2015-05-23,3043772
2015-05-24,2997597
2015-05-25,2997597
2015-05-26,2997597
2015-05-27,2997597
2015-05-28,3035235
2015-05-29,3035235
2015-05-30,3035235
2015-05-31,3043817
2015-06-01,3043817
2015-06-02,3043817
2015-06-03,3097422
2015-06-04,3097422
2015-06-05,3097422
2015-06-06,3087144
2015-06-07,3087144
2015-06-08,3087144
2015-06-09,3118458
2015-06-10,3118458
2015-06-11,3118458
2015-06-12,3118458
2015-06-13,3140959
2015-06-14,3140959
2015-06-15,3140959
2015-06-16,3074959
2015-06-17,3074959
2015-06-18,3074959
2015-06-19,3069448
2015-06-20,3069448
2015-06-21,3069448
2015-06-22,3032072
2015-06-23,3032072
2015-06-24,2967695
2015-06-25,2967695
2015-06-26,3043866
2015-06-27,3043866
2015-06-28,3043208
2015-06-29,3043208
2015-06-30,3043208
2015-07-01,3029565
2015-07-02,3029565
2015-07-03,3081494
2015-07-04,3081494
2015-07-05,3095282
2015-07-06,3095282
2015-07-07,3031716
2015-07-08,3031716
2015-07-09,3031716
2015-07-10,3016421
2015-07-11,3016421
2015-07-12,3016421
2015-07-13,3014542
2015-07-14,3014542
2015-07-15,3037503
2015-07-16,3037503
2015-07-17,3006715
2015-07-18,3006715
