date_obj,Shade%20robe price
2015-03-26,22673
2015-03-27,22673
2015-03-28,22673
2015-03-29,22673
2015-03-30,21581
2015-03-31,21581
2015-04-01,21581
2015-04-02,21581
2015-04-03,20513
2015-04-04,20513
2015-04-05,20513
2015-04-06,19534
2015-04-07,19534
2015-04-08,19534
2015-04-09,19534
2015-04-10,18596
2015-04-11,18596
2015-04-12,18596
2015-04-13,18596
2015-04-14,17701
2015-04-15,17701
2015-04-16,17701
2015-04-17,16866
2015-04-18,16866
2015-04-19,16866
2015-04-20,16866
2015-04-21,16051
2015-04-22,16051
2015-04-23,16051
2015-04-24,15277
2015-04-25,15277
2015-04-26,15277
2015-04-27,14530
2015-04-28,14530
2015-04-29,14530
2015-04-30,14530
2015-05-01,13833
2015-05-02,13833
2015-05-03,13833
2015-05-04,13833
2015-05-05,13169
2015-05-06,13169
2015-05-07,13169
2015-05-08,12540
2015-05-09,12540
2015-05-10,12540
2015-05-11,11940
2015-05-12,11940
2015-05-13,11940
2015-05-14,11358
2015-05-15,11358
2015-05-16,11358
2015-05-17,10799
2015-05-18,10799
2015-05-19,10799
2015-05-20,10799
2015-05-21,10799
2015-05-22,10280
2015-05-23,10280
2015-05-24,10280
2015-05-25,9784
2015-05-26,9784
2015-05-27,9784
2015-05-28,9294
2015-05-29,9294
2015-05-30,8829
2015-05-31,8829
2015-06-01,8411
2015-06-02,8411
2015-06-03,8411
2015-06-04,8008
2015-06-05,8008
2015-06-06,7634
2015-06-07,7634
2015-06-08,7270
2015-06-09,7270
2015-06-10,6906
2015-06-11,6906
2015-06-12,6906
2015-06-13,6560
2015-06-14,6560
2015-06-15,6240
2015-06-16,6240
2015-06-17,5937
2015-06-18,5937
2015-06-19,5644
2015-06-20,5366
2015-06-21,5366
2015-06-22,5101
2015-06-23,5101
2015-06-24,4857
2015-06-25,4857
2015-06-26,4642
2015-06-27,4642
2015-06-28,4421
2015-06-29,4421
2015-06-30,4218
2015-07-01,4218
2015-07-02,4016
2015-07-03,3833
2015-07-04,3833
2015-07-05,3645
2015-07-06,3645
2015-07-07,3470
2015-07-08,3470
2015-07-09,3305
2015-07-10,3143
2015-07-11,3143
2015-07-12,2993
2015-07-13,2993
2015-07-14,2843
2015-07-15,2843
2015-07-16,2707
2015-07-17,2580
2015-07-18,2580
2015-07-19,2462
2015-07-20,2462
2015-07-21,2346
2015-07-22,2242
2015-07-23,2242
2015-07-24,2141
2015-07-25,2141
2015-07-26,2041
2015-07-27,2041
2015-07-28,1938
2015-07-29,1938
2015-07-30,1869
2015-07-31,1869
2015-08-01,1849
2015-08-02,1849
2015-08-03,1771
2015-08-04,1771
2015-08-05,1755
2015-08-06,1755
2015-08-07,1729
2015-08-08,1729
2015-08-09,1670
2015-08-10,1670
2015-08-11,1590
2015-08-12,1590
2015-08-13,1590
2015-08-14,1552
2015-08-15,1552
2015-08-16,1552
2015-08-17,1525
2015-08-18,1525
2015-08-19,1477
2015-08-20,1477
2015-08-21,1490
2015-08-22,1490
2015-08-23,1490
2015-08-24,1489
2015-08-25,1489
2015-08-26,1489
2015-08-27,1488
2015-08-28,1488
2015-08-29,1433
2015-08-30,1433
2015-08-31,1433
2015-09-01,1403
2015-09-02,1403
2015-09-03,1403
2015-09-04,1387
2015-09-05,1387
2015-09-06,1387
2015-09-07,1364
2015-09-08,1364
2015-09-09,1323
2015-09-10,1323
2015-09-11,1323
2015-09-12,1313
2015-09-13,1313
2015-09-14,1313
2015-09-15,1293
2015-09-16,1293
2015-09-17,1293
2015-09-18,1305
2015-09-19,1305
2015-09-20,1290
2015-09-21,1290
2015-09-22,1290
2015-09-23,1225
2015-09-24,1225
2015-09-25,1225
2015-09-27,1169
2015-09-28,1158
2015-09-29,1158
2015-09-30,1149
2015-10-05,1140
2015-10-06,1140
2015-10-07,1140
2015-10-08,1115
2015-10-09,1115
2015-10-10,1115
2015-10-11,1093
2015-10-12,1093
2015-10-13,1093
2015-10-14,1071
2015-10-15,1071
2015-10-16,1048
2015-10-17,1048
2015-10-18,1048
2015-10-19,1023
2015-10-20,1023
2015-10-22,987
2015-10-23,987
2015-10-24,980
2015-10-25,980
2015-10-26,967
2015-10-27,967
2015-10-29,991
2015-10-30,991
2015-10-31,1012
2015-11-01,1012
2015-11-02,1015
2015-11-03,1015
2015-11-04,1015
2015-11-05,1007
2015-11-06,1007
2015-11-07,1019
2015-11-08,1019
2015-11-09,1019
2015-11-10,1029
2015-11-11,1029
2015-11-12,1071
2015-11-13,1071
2015-11-14,1116
2015-11-15,1116
2015-11-16,1129
2015-11-17,1129
2015-11-18,1129
2015-11-19,1119
2015-11-20,1119
2015-11-21,1119
2015-11-22,1109
2015-11-23,1109
2015-11-24,1109
2015-11-25,1100
2015-11-26,1100
2015-11-27,1100
2015-11-28,1081
2015-11-29,1081
2015-11-30,1037
2015-12-01,1037
2015-12-02,1039
2015-12-03,1039
2015-12-04,1017
2015-12-05,1017
2015-12-06,1037
2015-12-07,1037
2015-12-08,1037
2015-12-09,1033
2015-12-10,1033
2015-12-11,1033
2015-12-12,1033
2015-12-13,1027
2015-12-14,1027
2015-12-15,1040
2015-12-16,1040
2015-12-17,1040
2015-12-18,1017
2015-12-19,1017
2015-12-20,1005
2015-12-21,1005
2015-12-22,988
2015-12-23,988
2015-12-24,975
2015-12-25,975
2015-12-26,966
2015-12-27,966
2015-12-28,945
2015-12-29,945
2015-12-30,938
2015-12-31,938
2016-01-01,938
2016-01-02,937
2016-01-03,937
2016-01-04,953
2016-01-05,953
2016-01-06,946
2016-01-07,946
2016-01-08,946
2016-01-09,924
2016-01-10,924
2016-01-11,943
2016-01-12,943
2016-01-13,944
2016-01-14,944
2016-01-15,944
2016-01-16,944
2016-01-17,967
2016-01-18,967
2016-01-19,982
2016-01-20,982
2016-01-21,1009
2016-01-22,1009
2016-01-23,1051
2016-01-24,1051
2016-01-25,1025
2016-01-26,1025
2016-01-27,978
2016-01-28,978
2016-01-29,939
2016-01-30,939
2016-01-31,913
2016-02-01,913
2016-02-02,890
2016-02-03,890
2016-02-04,882
2016-02-05,882
2016-02-06,908
2016-02-07,908
2016-02-08,908
2016-02-09,903
2016-02-10,903
2016-02-11,899
2016-02-12,899
2016-02-13,883
2016-02-14,883
2016-02-15,889
2016-02-16,889
2016-02-17,926
2016-02-18,926
2016-02-19,926
2016-02-20,954
2016-02-21,957
2016-02-22,957
2016-02-23,964
2016-02-24,964
2016-02-25,983
2016-02-26,983
2016-02-27,981
2016-02-28,981
2016-02-29,963
2016-03-01,963
2016-03-02,958
2016-03-03,958
2016-03-04,948
2016-03-05,948
2016-03-06,935
2016-03-07,935
2016-03-08,935
2016-03-10,934
2016-03-11,921
2016-03-12,921
2016-03-13,914
2016-03-14,914
2016-03-15,922
2016-03-16,922
2016-03-17,944
2016-03-18,944
2016-03-19,967
2016-03-20,967
2016-03-21,969
2016-03-22,969
2016-03-23,982
2016-03-24,982
2016-03-25,1026
2016-03-26,1026
2016-03-27,1025
2016-03-28,1025
2016-03-29,998
2016-03-30,998
2016-03-31,998
2016-04-01,1031
2016-04-02,1031
2016-04-03,1037
2016-04-04,1037
2016-04-05,1034
