date_obj,Ancient%20mace price
2015-03-26,52058
2015-03-27,52058
2015-03-28,49510
2015-03-29,49510
2015-03-30,49510
2015-03-31,49510
2015-04-01,49510
2015-04-02,47158
2015-04-03,47158
2015-04-04,47158
2015-04-05,47158
2015-04-06,47158
2015-04-07,44873
2015-04-08,44873
2015-04-09,44873
2015-04-10,44873
2015-04-11,44873
2015-04-12,44873
2015-04-13,42708
2015-04-14,42708
2015-04-15,42708
2015-04-16,42708
2015-04-17,42708
2015-04-18,40636
2015-04-19,40636
2015-04-20,40636
2015-04-21,40636
2015-04-22,40636
2015-04-23,40636
2015-04-24,38639
2015-04-25,38639
2015-04-26,38639
2015-04-27,38639
2015-04-28,38639
2015-04-29,38639
2015-04-30,36781
2015-05-01,36781
2015-05-02,36781
2015-05-03,36781
2015-05-04,36781
2015-05-05,36781
2015-05-06,35004
2015-05-07,35004
2015-05-08,35004
2015-05-09,35004
2015-05-10,35004
2015-05-11,35004
2015-05-12,33329
2015-05-13,33329
2015-05-14,33329
2015-05-15,33329
2015-05-16,33329
2015-05-17,31687
2015-05-18,31687
2015-05-19,31687
2015-05-20,31687
2015-05-21,31687
2015-05-22,31687
2015-05-23,30134
2015-05-24,30134
2015-05-25,30134
2015-05-26,30134
2015-05-27,30134
2015-05-28,28721
2015-05-29,28721
2015-05-30,28721
2015-05-31,27369
2015-06-01,27369
2015-06-02,27369
2015-06-03,26025
2015-06-04,26025
2015-06-05,26025
2015-06-06,24764
2015-06-07,24764
2015-06-08,24764
2015-06-09,24764
2015-06-10,23593
2015-06-11,23593
2015-06-12,23593
2015-06-13,23593
2015-06-14,23593
2015-06-15,22443
2015-06-16,22443
2015-06-17,22443
2015-06-18,22443
2015-06-19,21373
2015-06-20,21373
2015-06-21,21373
2015-06-22,21373
2015-06-23,20366
2015-06-24,20366
2015-06-25,20366
2015-06-26,20366
2015-06-27,19394
2015-06-28,19394
2015-06-29,19394
2015-06-30,18464
2015-07-01,18464
2015-07-02,18464
2015-07-03,18464
2015-07-04,17579
2015-07-05,17579
2015-07-06,17579
2015-07-07,17579
2015-07-08,16737
2015-07-09,16737
2015-07-10,16737
2015-07-11,16737
2015-07-12,15981
2015-07-13,15981
2015-07-14,15981
2015-07-15,15981
2015-07-16,15981
2015-07-17,15224
2015-07-18,15224
2015-07-19,15224
2015-07-20,15224
2015-07-21,15224
2015-07-22,14502
2015-07-23,14502
2015-07-24,14502
2015-07-25,14502
2015-07-26,14502
2015-07-27,13804
2015-07-28,13804
2015-07-29,13804
2015-07-30,13804
2015-07-31,13804
2015-08-01,13143
2015-08-02,13143
2015-08-03,13143
2015-08-04,13143
2015-08-05,13143
2015-08-06,12540
2015-08-07,12540
2015-08-08,12540
2015-08-09,12540
2015-08-10,11948
2015-08-11,11948
2015-08-12,11948
2015-08-13,11948
2015-08-14,11400
2015-08-15,11400
2015-08-16,11400
2015-08-17,11400
2015-08-18,11400
2015-08-19,10853
2015-08-20,10853
2015-08-21,10853
2015-08-22,10853
2015-08-23,10853
2015-08-24,10328
2015-08-25,10328
2015-08-26,10328
2015-08-27,10328
2015-08-28,10328
2015-08-29,9849
2015-08-30,9849
2015-08-31,9849
2015-09-01,9849
2015-09-02,9849
2015-09-03,9849
2015-09-04,9376
2015-09-05,9376
2015-09-06,9376
2015-09-07,9376
2015-09-08,9376
2015-09-09,8937
2015-09-10,8937
2015-09-11,8937
2015-09-12,8937
2015-09-13,8762
2015-09-14,8762
2015-09-15,8762
2015-09-16,8762
2015-09-17,8762
2015-09-18,8474
2015-09-19,8474
2015-09-20,8474
2015-09-21,8474
2015-09-22,8474
2015-09-23,8192
2015-09-24,8192
2015-09-25,8192
2015-09-27,8192
2015-09-28,7798
2015-09-29,7798
2015-09-30,7798
2015-10-05,7586
2015-10-06,7586
2015-10-07,7586
2015-10-08,7703
2015-10-09,7703
2015-10-10,7703
2015-10-11,7703
2015-10-12,7703
