date_obj,Adamantite%20bar price
2015-03-26,2227
2015-03-27,2224
2015-03-28,2219
2015-03-29,2197
2015-03-30,2167
2015-03-31,2126
2015-04-01,2141
2015-04-02,2181
2015-04-03,2176
2015-04-04,2192
2015-04-05,2190
2015-04-06,2194
2015-04-07,2208
2015-04-08,2203
2015-04-09,2211
2015-04-10,2240
2015-04-11,2254
2015-04-12,2258
2015-04-13,2255
2015-04-14,2231
2015-04-15,2241
2015-04-16,2248
2015-04-17,2272
2015-04-18,2300
2015-04-19,2315
2015-04-20,2302
2015-04-21,2272
2015-04-22,2248
2015-04-23,2258
2015-04-24,2259
2015-04-25,2275
2015-04-26,2280
2015-04-27,2286
2015-04-28,2280
2015-04-29,2276
2015-04-30,2244
2015-05-01,2190
2015-05-02,2157
2015-05-03,2206
2015-05-04,2218
2015-05-05,2232
2015-05-06,2237
2015-05-07,2246
2015-05-08,2250
2015-05-09,2267
2015-05-10,2248
2015-05-11,2241
2015-05-12,2234
2015-05-13,2249
2015-05-14,2232
2015-05-15,2227
2015-05-16,2235
2015-05-17,2261
2015-05-18,2254
2015-05-19,2232
2015-05-20,2237
2015-05-21,2258
2015-05-22,2265
2015-05-23,2200
2015-05-24,2182
2015-05-25,2175
2015-05-26,2192
2015-05-27,2192
2015-05-28,2206
2015-05-29,2207
2015-05-30,2178
2015-05-31,2155
2015-06-01,2167
2015-06-02,2187
2015-06-03,2196
2015-06-04,2212
2015-06-05,2227
2015-06-06,2235
2015-06-07,2243
2015-06-08,2237
2015-06-09,2224
2015-06-10,2211
2015-06-11,2211
2015-06-12,2199
2015-06-13,2197
2015-06-14,2223
2015-06-15,2220
2015-06-16,2234
2015-06-17,2231
2015-06-18,2240
2015-06-19,2218
2015-06-20,2213
2015-06-21,2204
2015-06-22,2207
2015-06-23,2213
2015-06-24,2191
2015-06-25,2193
2015-06-26,2194
2015-06-27,2207
2015-06-28,2227
2015-06-29,2230
2015-06-30,2247
2015-07-01,2276
2015-07-02,2273
2015-07-03,2277
2015-07-04,2286
2015-07-05,2265
2015-07-06,2276
2015-07-07,2273
2015-07-08,2266
2015-07-09,2285
2015-07-10,2280
2015-07-11,2273
2015-07-12,2271
2015-07-13,2244
2015-07-14,2229
2015-07-15,2226
2015-07-16,2221
2015-07-17,2238
2015-07-18,2223
2015-07-19,2216
2015-07-20,2183
2015-07-21,2191
2015-07-22,2190
2015-07-23,2170
2015-07-24,2165
2015-07-25,2177
2015-07-26,2190
2015-07-27,2189
2015-07-28,2183
2015-07-29,2191
2015-07-30,2181
2015-07-31,2178
2015-08-01,2167
2015-08-02,2179
2015-08-03,2181
2015-08-04,2194
2015-08-05,2219
2015-08-06,2221
2015-08-07,2216
2015-08-08,2231
2015-08-09,2238
2015-08-10,2236
2015-08-11,2233
2015-08-12,2233
2015-08-13,2220
2015-08-14,2207
2015-08-15,2213
2015-08-16,2213
2015-08-17,2202
2015-08-18,2176
2015-08-19,2180
2015-08-20,2208
2015-08-21,2259
2015-08-22,2237
2015-08-23,2240
2015-08-24,2234
2015-08-25,2255
2015-08-26,2241
2015-08-27,2245
2015-08-28,2242
2015-08-29,2238
2015-08-30,2192
2015-08-31,2198
2015-09-01,2213
2015-09-02,2236
2015-09-03,2233
2015-09-04,2241
2015-09-05,2229
2015-09-06,2243
2015-09-07,2253
2015-09-08,2257
2015-09-09,2314
2015-09-10,2285
2015-09-11,2252
2015-09-12,2247
2015-09-13,2223
2015-09-14,2227
2015-09-15,2232
2015-09-16,2251
2015-09-17,2295
2015-09-18,2306
2015-09-19,2249
2015-09-20,2248
2015-09-21,2255
2015-09-22,2239
2015-09-23,2257
2015-09-24,2272
2015-09-25,2271
2015-09-27,2236
2015-09-28,2222
2015-09-29,2202
2015-09-30,2218
2015-10-05,2255
2015-10-06,2244
2015-10-07,2254
2015-10-08,2269
2015-10-09,2306
2015-10-10,2328
2015-10-11,2338
2015-10-12,2316
2015-10-13,2270
2015-10-14,2261
2015-10-15,2282
2015-10-16,2301
2015-10-17,2320
2015-10-18,2301
2015-10-19,2314
2015-10-20,2298
2015-10-22,2356
2015-10-23,2336
2015-10-24,2315
2015-10-25,2317
2015-10-26,2310
2015-10-27,2339
2015-10-28,2329
2015-10-29,2299
2015-10-30,2291
2015-10-31,2289
2015-11-01,2287
2015-11-02,2282
2015-11-03,2300
2015-11-04,2310
2015-11-05,2318
2015-11-06,2328
2015-11-07,2343
2015-11-08,2350
2015-11-09,2360
2015-11-10,2341
2015-11-11,2326
2015-11-12,2305
2015-11-13,2271
2015-11-14,2270
2015-11-15,2298
2015-11-16,2319
2015-11-17,2335
2015-11-18,2340
2015-11-19,2344
2015-11-20,2333
2015-11-21,2318
2015-11-22,2329
2015-11-23,2328
2015-11-24,2348
2015-11-25,2351
2015-11-26,2391
2015-11-27,2380
2015-11-28,2420
2015-11-29,2432
2015-11-30,2462
2015-12-01,2421
2015-12-02,2398
2015-12-03,2395
2015-12-04,2401
2015-12-05,2390
2015-12-06,2447
2015-12-07,2519
2015-12-08,2538
2015-12-09,2609
2015-12-10,2585
2015-12-11,2509
2015-12-12,2473
2015-12-13,2411
2015-12-14,2391
2015-12-15,2393
2015-12-16,2356
2015-12-17,2370
2015-12-18,2370
2015-12-19,2347
2015-12-20,2346
2015-12-21,2324
2015-12-22,2326
2015-12-23,2360
2015-12-24,2361
2015-12-25,2356
2015-12-26,2322
2015-12-27,2281
2015-12-28,2231
2015-12-29,2256
2015-12-30,2241
2015-12-31,2244
2016-01-01,2256
2016-01-02,2244
2016-01-03,2254
2016-01-04,2241
2016-01-05,2258
2016-01-06,2271
2016-01-07,2295
2016-01-08,2273
2016-01-09,2261
2016-01-10,2273
2016-01-11,2274
2016-01-12,2277
2016-01-13,2287
2016-01-14,2303
2016-01-15,2315
2016-01-16,2338
2016-01-17,2336
2016-01-18,2298
2016-01-19,2334
2016-01-20,2342
2016-01-21,2346
2016-01-22,2329
2016-01-23,2291
2016-01-24,2271
2016-01-25,2268
2016-01-26,2284
2016-01-27,2286
2016-01-28,2258
2016-01-29,2255
2016-01-30,2287
2016-01-31,2288
2016-02-01,2312
2016-02-02,2387
2016-02-03,2414
2016-02-04,2426
2016-02-05,2414
2016-02-06,2417
2016-02-07,2427
2016-02-08,2434
2016-02-09,2443
2016-02-10,2473
2016-02-11,2499
2016-02-12,2473
2016-02-13,2411
2016-02-14,2385
2016-02-15,2411
2016-02-16,2446
2016-02-17,2492
2016-02-18,2486
2016-02-19,2472
