date_obj,Enchanted%20hat price
2015-03-26,11362
2015-03-27,11362
2015-03-28,11073
2015-03-29,10823
2015-03-30,10527
2015-03-31,10635
2015-04-01,10687
2015-04-02,10519
2015-04-03,10411
2015-04-04,10471
2015-04-05,10636
2015-04-06,10649
2015-04-07,10878
2015-04-08,10878
2015-04-09,11289
2015-04-10,11181
2015-04-11,10869
2015-04-12,10589
2015-04-13,10229
2015-04-14,10229
2015-04-15,10178
2015-04-16,10164
2015-04-17,10093
2015-04-18,9852
2015-04-19,9921
2015-04-20,9921
2015-04-21,9656
2015-04-22,9312
2015-04-23,9102
2015-04-24,9214
2015-04-25,9174
2015-04-26,9095
2015-04-27,8878
2015-04-28,8928
2015-04-29,8928
2015-04-30,9197
2015-05-01,9240
2015-05-02,9231
2015-05-03,8931
2015-05-04,8935
2015-05-05,8967
2015-05-06,9232
2015-05-07,9578
2015-05-08,9783
2015-05-09,9778
2015-05-10,9637
2015-05-11,9637
2015-05-12,9741
2015-05-13,9945
2015-05-14,10039
2015-05-15,9993
2015-05-16,9834
2015-05-17,9498
2015-05-18,9419
2015-05-19,9277
2015-05-20,9277
2015-05-21,9126
2015-05-22,9077
2015-05-23,8863
2015-05-24,8924
2015-05-25,8990
2015-05-26,8924
2015-05-27,8924
2015-05-28,8793
2015-05-29,8923
2015-05-30,8737
2015-05-31,8610
2015-06-01,8454
2015-06-02,8454
2015-06-03,8474
2015-06-04,8569
2015-06-05,8685
2015-06-06,8918
2015-06-07,9115
2015-06-08,9360
2015-06-09,9438
2015-06-10,9671
2015-06-11,9671
2015-06-12,9970
2015-06-13,10162
2015-06-14,10268
2015-06-15,9932
2015-06-16,9907
2015-06-17,9991
2015-06-18,10085
2015-06-19,9993
2015-06-20,10161
2015-06-21,9857
2015-06-22,9668
2015-06-23,9608
2015-06-24,9585
2015-06-25,9585
2015-06-26,9344
2015-06-27,9344
2015-06-28,9137
2015-06-29,9000
2015-06-30,9037
2015-07-01,9100
2015-07-02,9100
2015-07-03,9105
2015-07-04,9365
2015-07-05,9415
2015-07-06,9143
2015-07-07,9172
2015-07-08,9139
2015-07-09,9139
2015-07-10,9115
2015-07-11,9083
2015-07-12,9083
2015-07-13,8850
2015-07-14,8708
2015-07-15,8737
2015-07-16,8596
2015-07-17,8588
2015-07-18,8588
2015-07-19,8891
2015-07-20,9089
2015-07-21,9306
2015-07-22,9209
2015-07-23,9209
2015-07-24,9025
2015-07-25,9043
2015-07-26,8826
2015-07-27,9069
2015-07-28,9242
2015-07-29,9664
2015-07-30,9664
2015-07-31,9964
2015-08-01,9722
2015-08-02,9759
2015-08-03,9521
2015-08-04,9425
2015-08-05,9184
2015-08-06,8982
2015-08-07,8801
2015-08-08,8704
2015-08-09,8727
2015-08-10,8673
2015-08-11,8427
2015-08-12,8427
2015-08-13,8332
2015-08-14,8582
2015-08-15,8582
2015-08-16,8931
2015-08-17,8510
2015-08-18,8334
2015-08-19,8512
2015-08-20,8512
2015-08-21,8617
2015-08-22,8678
2015-08-23,8678
2015-08-24,8680
2015-08-25,8680
2015-08-26,8812
2015-08-27,9136
2015-08-28,9136
2015-08-29,9288
2015-08-30,9288
2015-08-31,9440
2015-09-01,9462
2015-09-02,9462
2015-09-03,9561
2015-09-04,9665
2015-09-05,9665
2015-09-06,9803
2015-09-07,9931
2015-09-08,9862
2015-09-09,9827
2015-09-10,9618
2015-09-11,9586
2015-09-12,9489
2015-09-13,9365
2015-09-14,9259
2015-09-15,9159
2015-09-16,9159
2015-09-17,8941
2015-09-18,8941
2015-09-19,8763
2015-09-20,8981
2015-09-21,9050
2015-09-22,9240
2015-09-23,9063
2015-09-24,9063
2015-09-25,9179
2015-09-27,9738
2015-09-28,9596
2015-09-29,9803
2015-09-30,9948
2015-10-05,9243
2015-10-06,9132
2015-10-07,9132
2015-10-08,9029
2015-10-09,8961
2015-10-10,8961
2015-10-11,8865
2015-10-12,8945
2015-10-13,8945
2015-10-14,9100
2015-10-15,9205
2015-10-16,9395
2015-10-17,9395
2015-10-18,9437
2015-10-19,9563
2015-10-20,9763
2015-10-22,9783
2015-10-23,9794
2015-10-24,10049
2015-10-25,9876
2015-10-26,9664
2015-10-27,9664
2015-10-29,9699
2015-10-30,9670
2015-10-31,9773
2015-11-01,9773
2015-11-02,9678
2015-11-03,10015
2015-11-04,10019
2015-11-05,9697
2015-11-06,9697
2015-11-07,9905
2015-11-08,9905
2015-11-09,10300
2015-11-10,10300
2015-11-11,10381
2015-11-12,10381
2015-11-13,10258
2015-11-14,10073
2015-11-15,9985
2015-11-16,10149
2015-11-17,10235
2015-11-18,10235
2015-11-19,10254
2015-11-20,10059
2015-11-21,10059
2015-11-22,9991
2015-11-23,9991
2015-11-24,9842
2015-11-25,9875
2015-11-26,9875
2015-11-27,9967
2015-11-28,9683
2015-11-29,9517
2015-11-30,9375
2015-12-01,9301
2015-12-02,9252
2015-12-03,9200
2015-12-04,9200
2015-12-05,9129
2015-12-06,9110
2015-12-07,9306
2015-12-08,9467
2015-12-09,9227
2015-12-10,9227
2015-12-11,9192
2015-12-12,9127
2015-12-13,9219
2015-12-14,9219
2015-12-15,9380
2015-12-16,9660
2015-12-17,9660
2015-12-18,9993
2015-12-19,10298
2015-12-20,10495
2015-12-21,10632
2015-12-22,10732
2015-12-23,11102
2015-12-24,11102
2015-12-25,11433
2015-12-26,11574
2015-12-27,11890
2015-12-28,12364
2015-12-29,12868
2015-12-30,13358
2015-12-31,13957
2016-01-01,14198
2016-01-02,14271
2016-01-03,14021
2016-01-04,14038
2016-01-05,13966
2016-01-06,13881
2016-01-07,13480
2016-01-08,13164
2016-01-09,13124
2016-01-10,12914
2016-01-11,12721
2016-01-12,12572
2016-01-13,12408
2016-01-14,12332
2016-01-15,11958
2016-01-16,11984
2016-01-17,11662
2016-01-18,11285
2016-01-19,10978
2016-01-20,10493
2016-01-21,10238
2016-01-22,9955
2016-01-23,9574
2016-01-24,9495
2016-01-25,9319
2016-01-26,9534
2016-01-27,9748
2016-01-28,9748
2016-01-29,9963
2016-01-30,9963
2016-01-31,9849
2016-02-01,9916
2016-02-02,10098
2016-02-03,10138
2016-02-04,10121
2016-02-05,10129
2016-02-06,10264
2016-02-07,10428
2016-02-08,10378
2016-02-09,10296
2016-02-10,10291
2016-02-11,10291
2016-02-12,10527
2016-02-13,10752
2016-02-14,10752
2016-02-15,11274
2016-02-16,11769
2016-02-17,12341
2016-02-18,12341
2016-02-19,12950
2016-02-20,13598
2016-02-21,14261
2016-02-22,14261
2016-02-23,14310
2016-02-24,14848
2016-02-25,15427
2016-02-26,15427
2016-02-27,15379
2016-02-28,15344
2016-02-29,15192
2016-03-01,14793
2016-03-02,14522
2016-03-03,14745
2016-03-04,14562
2016-03-05,14515
2016-03-06,14966
2016-03-07,14966
2016-03-08,15042
2016-03-09,15236
2016-03-10,15178
2016-03-11,15004
2016-03-12,14667
2016-03-13,14143
2016-03-14,13589
2016-03-15,13256
2016-03-16,13210
2016-03-17,13066
2016-03-18,12824
2016-03-19,12577
2016-03-20,12426
2016-03-21,12556
2016-03-22,12929
2016-03-23,12711
2016-03-24,12685
2016-03-25,12815
2016-03-26,12893
2016-03-27,12912
2016-03-28,13114
2016-03-29,13353
2016-03-30,13353
2016-03-31,13907
2016-04-01,14601
2016-04-02,15314
2016-04-03,15769
2016-04-04,16124
2016-04-05,16450
2016-04-06,16589
2016-04-07,16662
2016-04-08,16510
