date_obj,Ensouled%20dragon%20head price
2016-01-08,7526
2016-01-09,7903
2016-01-10,8299
2016-01-11,8621
2016-01-12,8666
2016-01-13,9014
2016-01-14,9455
2016-01-15,9928
2016-01-16,10374
2016-01-17,10838
2016-01-18,11358
2016-01-19,11926
2016-01-20,12509
2016-01-21,12264
2016-01-22,11729
2016-01-23,11196
2016-01-24,10662
2016-01-25,10142
2016-01-26,9651
2016-01-27,9903
2016-01-28,10138
2016-01-29,10072
2016-01-30,9677
2016-01-31,9636
2016-02-01,9893
2016-02-02,10387
2016-02-03,10907
2016-02-04,11453
2016-02-05,12026
2016-02-06,12239
2016-02-07,12514
2016-02-08,12158
2016-02-09,12085
2016-02-10,11625
2016-02-11,11131
2016-02-12,11002
2016-02-13,10839
2016-02-14,10297
2016-02-15,9878
2016-02-16,10246
2016-02-17,10489
2016-02-18,10725
2016-02-19,10577
2016-02-20,10310
2016-02-21,10407
2016-02-22,10451
2016-02-23,10426
2016-02-24,10188
2016-02-25,10344
2016-02-26,10686
2016-02-27,11006
2016-02-28,11548
2016-02-29,12120
2016-03-01,12711
2016-03-02,13058
2016-03-03,13050
2016-03-04,12653
2016-03-05,12707
2016-03-06,13231
2016-03-07,13893
2016-03-08,14416
2016-03-09,14768
2016-03-10,15305
2016-03-11,15099
2016-03-12,14436
2016-03-13,14141
2016-03-14,13709
2016-03-15,13588
2016-03-16,13479
2016-03-17,13325
2016-03-18,12783
2016-03-19,12326
2016-03-20,12625
2016-03-21,12698
2016-03-22,12177
2016-03-23,11641
2016-03-24,11844
2016-03-25,12118
2016-03-26,11816
2016-03-27,11567
2016-03-28,11838
2016-03-29,11636
2016-03-30,11433
2016-03-31,11718
2016-04-01,12154
2016-04-02,12051
2016-04-03,11549
2016-04-04,11275
2016-04-05,11294
2016-04-06,11205
2016-04-07,11135
2016-04-08,11233
2016-04-09,11195
2016-04-10,11008
2016-04-11,11206
2016-04-12,11410
2016-04-13,11209
2016-04-14,11283
2016-04-15,11735
2016-04-16,11885
2016-04-17,11630
2016-04-18,11336
2016-04-19,11222
2016-04-20,11368
2016-04-21,11507
2016-04-22,11868
2016-04-23,11681
2016-04-24,11241
2016-04-25,11481
2016-04-26,11794
2016-04-27,11964
2016-04-28,11573
2016-04-29,11637
2016-04-30,11559
2016-05-01,11501
2016-05-02,11500
2016-05-03,11474
2016-05-04,11557
2016-05-05,11238
2016-05-06,11035
2016-05-07,11164
2016-05-08,11433
2016-05-09,11328
2016-05-10,11188
2016-05-11,10973
2016-05-12,10786
2016-05-13,10738
2016-05-14,10285
2016-05-15,10203
2016-05-16,10400
2016-05-17,10548
2016-05-18,10485
2016-05-19,10247
2016-05-22,10520
2016-05-23,10325
2016-05-24,10441
2016-05-25,10561
2016-05-26,10970
2016-05-27,10666
2016-05-28,10329
2016-05-29,10401
2016-05-30,10344
2016-05-31,10224
2016-06-01,10286
2016-06-02,10356
2016-06-03,10348
2016-06-04,10385
2016-06-05,10338
2016-06-06,10114
2016-06-07,10113
2016-06-08,10112
2016-06-09,10196
2016-06-10,10229
2016-06-11,10178
2016-06-12,10182
2016-06-13,10170
2016-06-14,10304
2016-06-15,10706
2016-06-16,10974
2016-06-17,11201
2016-06-18,11086
2016-06-19,11142
2016-06-20,11416
2016-06-21,11438
2016-06-22,11366
2016-06-23,11463
2016-06-24,11180
2016-06-25,11151
2016-06-26,11262
2016-06-27,11563
2016-06-28,12122
2016-06-29,12701
2016-06-30,13134
2016-07-01,12705
2016-07-02,12106
2016-07-03,11890
2016-07-04,11504
2016-07-05,12059
2016-07-06,12241
2016-07-07,12221
2016-07-08,11996
2016-07-09,11897
2016-07-10,12153
2016-07-11,11997
2016-07-12,12103
2016-07-13,12664
2016-07-14,12701
2016-07-15,13194
2016-07-16,13854
2016-07-17,13785
2016-07-18,13329
2016-07-23,13167
2016-07-24,12748
2016-07-25,12897
2016-07-26,12972
2016-07-27,12830
2016-07-28,12851
2016-07-29,12744
2016-07-30,12766
2016-07-31,12704
2016-08-01,12701
2016-08-02,12570
2016-08-03,12550
2016-08-04,12619
2016-08-05,12230
2016-08-06,11864
2016-08-07,11751
2016-08-08,11541
2016-08-09,11674
2016-08-10,11905
2016-08-11,11903
2016-08-12,11742
2016-08-13,11728
2016-08-14,11641
2016-08-15,11776
2016-08-16,11728
2016-08-17,11526
2016-08-18,11550
2016-08-19,11227
2016-08-20,11257
2016-08-21,11016
2016-08-22,10810
2016-08-23,11142
2016-08-24,11516
2016-08-25,11533
2016-08-26,11258
2016-08-28,11174
2016-08-31,11179
2016-09-01,11160
2016-09-02,11171
2016-09-03,11082
2016-09-04,10915
2016-09-05,10777
2016-09-06,10771
2016-09-07,10648
2016-09-08,10349
2016-09-09,10460
2016-09-10,10277
2016-09-11,10159
2016-09-12,10173
2016-09-13,10146
2016-09-14,10094
2016-09-15,10102
2016-09-16,10094
2016-09-17,10165
2016-09-18,10224
2016-09-19,10112
2016-09-20,10151
2016-09-21,10364
2016-09-22,10496
2016-09-23,10574
2016-09-24,10514
2016-09-25,10849
2016-09-26,10770
2016-09-27,10606
2016-09-28,10384
2016-09-29,10353
2016-09-30,10131
2016-10-01,10225
2016-10-02,10162
2016-10-03,10144
2016-10-04,10241
2016-10-05,10451
2016-10-06,10358
2016-10-07,10353
2016-10-08,10260
2016-10-09,10381
2016-10-10,10438
2016-10-11,10509
2016-10-12,10549
2016-10-13,10959
2016-10-14,11141
2016-10-15,11380
2016-10-16,11337
2016-10-17,10954
2016-10-18,10931
2016-10-19,10966
2016-10-20,11139
2016-10-21,11576
2016-10-22,11523
2016-10-23,11267
2016-10-24,11131
2016-10-25,11069
2016-10-26,11144
2016-10-27,11282
2016-10-28,11348
2016-10-29,11612
2016-10-30,12151
2016-10-31,12419
2016-11-01,12489
2016-11-02,12605
2016-11-03,12629
2016-11-04,12406
2016-11-05,11893
2016-11-06,11981
2016-11-07,11726
2016-11-08,11645
2016-11-09,11805
2016-11-10,11775
2016-11-11,12112
2016-11-12,11843
2016-11-13,11664
2016-11-14,11703
2016-11-15,11972
2016-12-07,11876
2016-12-08,11689
2016-12-09,11734
2016-12-10,11655
2016-12-11,11670
2016-12-12,11693
2016-12-13,11838
2016-12-14,12425
2016-12-15,12908
2016-12-16,12372
2016-12-17,12320
2016-12-18,12159
2016-12-19,12198
2016-12-20,12206
2016-12-21,12139
2016-12-22,12308
2016-12-23,12430
2016-12-24,12623
2016-12-25,12400
2016-12-26,12324
2016-12-27,12269
2016-12-28,12037
2016-12-29,11928
2016-12-30,11673
2016-12-31,11639
2017-01-01,11360
2017-01-02,11179
2017-01-03,11313
2017-01-04,11449
2017-01-05,11127
2017-01-06,11134
2017-01-07,11005
2017-01-08,10770
2017-01-09,10800
2017-01-10,10956
2017-01-11,11018
2017-01-12,11107
2017-01-13,11023
2017-01-14,11090
2017-01-15,11268
2017-01-16,11535
2017-01-17,11679
2017-01-18,12067
2017-01-19,12048
2017-01-20,12144
2017-01-21,12340
2017-01-22,12513
2017-01-23,12483
2017-01-27,12975
2017-01-28,12566
2017-01-29,12695
2017-01-30,13287
2017-01-31,13281
2017-02-01,13308
2017-02-02,13224
2017-02-03,13167
2017-02-04,13101
2017-02-05,13468
2017-02-06,13121
2017-02-07,12918
2017-02-08,12588
2017-02-09,12805
2017-02-10,12602
2017-02-11,12498
2017-02-12,12307
2017-02-13,12728
2017-02-14,12903
2017-02-15,12664
2017-02-16,12643
2017-02-18,12973
2017-02-19,12615
2017-02-20,12388
2017-02-21,12205
2017-02-22,12037
2017-02-23,11917
2017-02-24,12045
2017-02-25,12059
2017-02-26,12208
2017-02-27,11980
2017-02-28,11899
2017-03-01,11619
2017-03-02,11832
2017-03-03,11818
2017-03-04,12041
2017-03-05,12568
2017-03-06,12772
2017-03-07,12225
2017-03-08,11928
2017-03-09,11758
2017-03-10,11475
2017-03-11,11301
2017-03-12,11115
2017-03-13,10860
2017-03-14,11156
2017-03-15,11349
2017-03-16,11521
2017-03-17,11539
2017-03-18,11363
2017-03-19,11286
2017-03-20,11220
2017-03-21,10962
2017-03-22,10930
2017-03-23,10679
2017-03-24,10539
2017-03-25,10489
2017-03-26,10473
2017-03-27,10672
2017-03-28,10589
2017-03-29,10578
2017-03-30,10528
2017-03-31,10350
2017-04-01,10415
2017-04-02,10462
2017-04-03,10497
2017-04-04,10556
2017-04-12,10522
2017-04-13,10586
2017-04-14,10516
2017-04-15,10361
2017-04-16,10504
