date_obj,Black%20trimmed%20set%20(sk) price
2015-03-26,177000
2015-03-27,177000
2015-03-28,177000
2015-03-29,177000
2015-03-30,177000
2015-03-31,177000
2015-04-01,177000
2015-04-02,177000
2015-04-03,177000
2015-04-04,177000
2015-04-05,177000
2015-04-06,177000
2015-04-07,177000
2015-04-08,177000
2015-04-09,177000
2015-04-10,177000
2015-04-11,177000
2015-04-12,177000
2015-04-13,177000
2015-04-14,177000
2015-04-15,177000
2015-04-16,177000
2015-04-17,177000
2015-04-18,177000
2015-04-19,177000
2015-04-20,177000
2015-04-21,177000
2015-04-22,177000
2015-04-23,177000
2015-04-24,177000
2015-04-25,177000
2015-04-26,177000
2015-04-27,177000
2015-04-28,177000
2015-04-29,177000
2015-04-30,177000
2015-05-01,177000
2015-05-02,177000
2015-05-03,177000
2015-05-04,177000
2015-05-05,177000
2015-05-06,177000
2015-05-07,177000
2015-05-08,177000
2015-05-09,177000
2015-05-10,177000
2015-05-11,177000
2015-05-12,177000
2015-05-13,177000
2015-05-14,177000
2015-05-15,177000
2015-05-16,177000
2015-05-17,177000
2015-05-18,177000
2015-05-19,177000
2015-05-20,177000
2015-05-21,177000
2015-05-22,177000
2015-05-23,177000
2015-05-24,177000
2015-05-25,177000
2015-05-26,177000
2015-05-27,177000
2015-05-28,171743
2015-05-29,171743
2015-05-30,171743
2015-05-31,171743
2015-06-01,171743
2015-06-02,171743
2015-06-03,171743
2015-06-04,171743
2015-06-05,171743
2015-06-06,171743
2015-06-07,171743
2015-06-08,171743
2015-06-09,171743
2015-06-10,171743
2015-06-11,171743
2015-06-12,171743
2015-06-13,171743
2015-06-14,171743
2015-06-15,171743
2015-06-16,171743
2015-06-17,171743
2015-06-18,171743
2015-06-19,171743
2015-06-20,171743
2015-06-21,171743
2015-06-22,171743
2015-06-23,171743
2015-06-24,171743
2015-06-25,171743
2015-06-26,171743
2015-06-27,171743
2015-06-28,171743
2015-06-29,171743
2015-06-30,171743
2015-07-01,171743
2015-07-02,171743
2015-07-03,171743
2015-07-04,171743
2015-07-05,171743
2015-07-06,171743
2015-07-07,171743
2015-07-08,171743
2015-07-09,171743
2015-07-10,171743
2015-07-11,171743
2015-07-12,171743
2015-07-13,171743
2015-07-14,171743
2015-07-15,171743
2015-07-16,171743
2015-07-17,171743
2015-07-18,171743
2015-07-19,171743
2015-07-20,171743
2015-07-21,171743
2015-07-22,171743
2015-07-23,171743
2015-07-24,171743
2015-07-25,171743
2015-07-26,171743
2015-07-27,171743
2015-07-28,171743
2015-07-29,171743
2015-07-30,171743
2015-07-31,171743
2015-08-01,171743
2015-08-02,171743
2015-08-03,171743
2015-08-04,171743
2015-08-05,171743
2015-08-06,171743
2015-08-07,171743
2015-08-08,171743
2015-08-09,171743
2015-08-10,171743
2015-08-11,171743
2015-08-12,171743
2015-08-13,171743
2015-08-14,171743
2015-08-15,171743
2015-08-16,171743
2015-08-17,171743
2015-08-18,171743
2015-08-19,171743
2015-08-20,171743
2015-08-21,171743
2015-08-22,171743
2015-08-23,171743
2015-08-24,171743
2015-08-25,171743
2015-08-26,171743
2015-08-27,171743
2015-08-28,171743
2015-08-29,171743
2015-08-30,171743
2015-08-31,171743
2015-09-01,171743
2015-09-02,171743
2015-09-03,171743
2015-09-04,171743
2015-09-05,165585
2015-09-06,165585
2015-09-07,165585
2015-09-08,165585
2015-09-09,165585
2015-09-10,165585
2015-09-11,165585
2015-09-12,165585
2015-09-13,165585
2015-09-14,165585
2015-09-15,165585
2015-09-16,165585
2015-09-17,165585
2015-09-18,165585
2015-09-19,165585
2015-09-20,165585
2015-09-21,165585
2015-09-22,165585
2015-09-23,165585
2015-09-24,165585
2015-09-25,165585
2015-09-27,165585
2015-09-28,165585
2015-09-29,165585
2015-09-30,165585
2015-10-05,165585
2015-10-06,165585
2015-10-07,165585
2015-10-08,165585
2015-10-09,165585
2015-10-10,165585
2015-10-11,165585
2015-10-12,165585
2015-10-13,165585
2015-10-14,165585
2015-10-15,165585
2015-10-16,165585
2015-10-17,165585
2015-10-18,165585
2015-10-19,165585
2015-10-20,165585
2015-10-22,165585
2015-10-23,165585
2015-10-24,165585
2015-10-25,165585
2015-10-26,165585
2015-10-27,165585
2015-10-29,165585
2015-10-30,165585
2015-10-31,165585
2015-11-01,165585
2015-11-02,165585
2015-11-03,165585
2015-11-04,165585
2015-11-05,165585
2015-11-06,165585
2015-11-07,165585
2015-11-08,165585
2015-11-09,165585
2015-11-10,165585
2015-11-11,165585
2015-11-12,165585
2015-11-13,165585
2015-11-14,165585
2015-11-15,165585
2015-11-16,165585
2015-11-17,165585
2015-11-18,165585
2015-11-19,165585
2015-11-20,165585
2015-11-21,165585
2015-11-22,165585
2015-11-23,165585
2015-11-24,165585
2015-11-25,165585
2015-11-26,165585
2015-11-27,161155
2015-11-28,161155
2015-11-29,161155
2015-11-30,161155
2015-12-01,161155
2015-12-02,161155
2015-12-03,161155
2015-12-04,161155
2015-12-05,161155
2015-12-06,161155
2015-12-07,161155
2015-12-08,161155
2015-12-09,161155
2015-12-10,161155
2015-12-11,161155
2015-12-12,161155
2015-12-13,161155
2015-12-14,161155
2015-12-15,161155
2015-12-16,161155
2015-12-17,161155
2015-12-18,161155
2015-12-19,161155
2015-12-20,161155
2015-12-21,161155
2015-12-22,161155
2015-12-23,161155
2015-12-24,161155
2015-12-25,161155
2015-12-26,161155
2015-12-27,161155
2015-12-28,161155
2015-12-29,161155
2015-12-30,161155
2015-12-31,161155
2016-01-01,161155
2016-01-02,161155
2016-01-03,161155
2016-01-04,161155
2016-01-05,161155
2016-01-06,161155
2016-01-07,161155
2016-01-08,161155
2016-01-09,161155
2016-01-10,161155
2016-01-11,161155
2016-01-12,161155
2016-01-13,161155
2016-01-14,161155
