date_obj,Grey%20robe%20bottoms price
2015-03-04,2000
2015-03-05,2000
2015-03-06,2000
2015-03-07,2000
2015-03-08,2000
2015-03-09,2000
2015-03-10,2000
2015-03-11,2000
2015-03-12,2000
2015-03-13,2000
2015-03-14,2000
2015-03-15,2000
2015-03-16,2000
2015-03-17,2000
2015-03-18,2000
2015-03-19,2000
2015-03-20,2000
2015-03-21,2000
2015-03-22,2000
2015-03-23,2000
2015-03-24,2000
2015-03-25,2000
2015-03-26,1993
2015-03-27,1993
2015-03-28,1993
2015-03-29,1993
2015-03-30,1993
2015-03-31,1993
2015-04-01,1993
2015-04-02,1993
2015-04-03,1993
2015-04-04,1993
2015-04-05,1993
2015-04-06,1993
2015-04-07,1993
2015-04-08,1993
2015-04-09,1993
2015-04-10,1993
2015-04-11,1993
2015-04-12,1993
2015-04-13,1993
2015-04-14,1993
2015-04-15,1993
2015-04-16,1993
2015-04-17,1993
2015-04-18,1993
2015-04-19,1993
2015-04-20,1993
2015-04-21,1993
2015-04-22,1993
2015-04-23,1961
2015-04-24,1961
2015-04-25,1961
2015-04-26,1961
2015-04-27,1961
2015-04-28,1961
2015-04-29,1961
2015-04-30,1961
2015-05-01,1961
2015-05-02,1961
2015-05-03,1961
2015-05-04,1961
2015-05-05,1961
2015-05-06,1961
2015-05-07,1961
2015-05-08,1961
2015-05-09,1961
2015-05-10,1961
2015-05-11,1961
2015-05-12,1961
2015-05-13,1961
2015-05-14,1961
2015-05-15,1961
2015-05-16,1961
2015-05-17,1961
2015-05-18,1961
2015-05-19,1961
2015-05-20,1961
2015-05-21,1961
2015-05-22,1961
2015-05-23,1961
2015-05-24,1961
2015-05-25,1961
2015-05-26,1961
2015-05-27,1938
2015-05-28,1938
2015-05-29,1938
2015-05-30,1938
2015-05-31,1938
2015-06-01,1938
2015-06-02,1938
2015-06-03,1938
2015-06-04,1938
2015-06-05,1938
2015-06-06,1938
2015-06-07,1938
2015-06-08,1938
2015-06-09,1938
2015-06-10,1938
2015-06-11,1938
2015-06-12,1938
2015-06-13,1938
2015-06-14,1938
2015-06-15,1938
2015-06-16,1938
2015-06-17,1938
2015-06-18,1907
2015-06-19,1907
2015-06-20,1907
2015-06-21,1907
2015-06-22,1907
2015-06-23,1907
2015-06-24,1907
2015-06-25,1907
2015-06-26,1907
2015-06-27,1907
2015-06-28,1907
2015-06-29,1907
2015-06-30,1907
2015-07-01,1907
2015-07-02,1907
2015-07-03,1907
2015-07-04,1907
2015-07-05,1907
2015-07-06,1907
2015-07-07,1907
2015-07-08,1907
2015-07-09,1907
2015-07-10,1907
2015-07-11,1907
2015-07-12,1907
2015-07-13,1854
2015-07-14,1854
2015-07-15,1854
2015-07-16,1854
2015-07-17,1854
2015-07-18,1854
2015-07-19,1854
2015-07-20,1854
2015-07-21,1854
2015-07-22,1854
2015-07-23,1854
2015-07-24,1854
2015-07-25,1854
2015-07-26,1854
2015-07-27,1854
2015-07-28,1854
2015-07-29,1854
2015-07-30,1854
2015-07-31,1854
2015-08-01,1854
2015-08-02,1854
2015-08-03,1829
2015-08-04,1829
2015-08-05,1829
2015-08-06,1829
2015-08-07,1829
2015-08-08,1829
2015-08-09,1829
2015-08-10,1829
2015-08-11,1829
2015-08-12,1829
2015-08-13,1829
2015-08-14,1829
2015-08-15,1829
2015-08-16,1829
2015-08-17,1829
2015-08-18,1829
2015-08-19,1829
2015-08-20,1829
2015-08-21,1829
2015-08-22,1829
2015-08-23,1829
2015-08-24,1775
2015-08-25,1775
2015-08-26,1775
2015-08-27,1775
2015-08-28,1775
2015-08-29,1775
2015-08-30,1775
2015-08-31,1775
2015-09-02,1775
2015-09-07,1775
2015-09-08,1775
2015-09-10,1775
2015-09-14,1775
2015-09-16,1775
2015-09-22,1742
2015-09-23,1742
2015-09-24,1742
2015-09-25,1742
2015-09-27,1742
2015-09-28,1742
2015-09-29,1742
2015-09-30,1742
2015-10-05,1742
2015-10-06,1742
2015-10-07,1742
2015-10-08,1742
2015-10-09,1742
2015-10-10,1742
2015-10-11,1742
2015-10-12,1742
2015-10-13,1742
2015-10-14,1742
2015-10-15,1711
2015-10-16,1711
2015-10-17,1711
2015-10-18,1711
2015-10-19,1711
2015-10-20,1711
2015-10-22,1711
2015-10-23,1711
2015-10-24,1711
2015-10-25,1711
2015-10-26,1711
2015-10-27,1711
2015-10-29,1711
2015-10-30,1711
2015-10-31,1711
2015-11-01,1711
2015-11-02,1711
2015-11-03,1711
2015-11-04,1711
2015-11-05,1711
2015-11-06,1711
2015-11-07,1711
2015-11-08,1711
2015-11-09,1711
2015-11-10,1669
2015-11-11,1669
2015-11-12,1669
2015-11-13,1669
2015-11-14,1669
2015-11-15,1669
2015-11-16,1669
2015-11-17,1669
2015-11-18,1669
2015-11-19,1669
2015-11-20,1669
2015-11-21,1669
2015-11-22,1669
2015-11-23,1669
2015-11-24,1669
2015-11-25,1669
2015-11-26,1669
2015-11-27,1669
2015-11-28,1669
2015-11-29,1669
2015-11-30,1669
2015-12-01,1669
2015-12-02,1669
2015-12-03,1669
2015-12-04,1669
2015-12-05,1669
2015-12-06,1669
2015-12-07,1669
2015-12-08,1628
2015-12-09,1628
2015-12-10,1628
2015-12-11,1628
2015-12-12,1628
2015-12-13,1628
2015-12-14,1628
2015-12-15,1628
2015-12-16,1628
2015-12-17,1628
2015-12-18,1628
2015-12-19,1628
2015-12-20,1628
2015-12-21,1628
2015-12-22,1628
2015-12-23,1628
2015-12-24,1628
2015-12-25,1628
2015-12-26,1628
2015-12-27,1628
2015-12-28,1628
2015-12-29,1628
2015-12-30,1628
2015-12-31,1628
2016-01-01,1628
2016-01-02,1628
2016-01-03,1629
2016-01-04,1629
2016-01-05,1629
2016-01-06,1629
2016-01-07,1629
2016-01-08,1629
2016-01-09,1629
2016-01-10,1629
2016-01-11,1629
2016-01-12,1629
2016-01-13,1629
2016-01-14,1629
2016-01-15,1629
2016-01-16,1629
2016-01-17,1629
2016-01-18,1629
2016-01-19,1629
2016-01-20,1629
2016-01-21,1629
2016-01-22,1629
2016-01-23,1629
2016-01-24,1629
2016-01-25,1629
2016-01-26,1629
2016-01-27,1629
2016-01-28,1605
2016-01-29,1605
2016-01-30,1605
2016-01-31,1605
2016-02-01,1605
2016-02-02,1605
2016-02-03,1605
2016-02-04,1605
2016-02-05,1605
2016-02-06,1605
2016-02-07,1605
2016-02-08,1605
2016-02-09,1605
2016-02-10,1605
2016-02-11,1605
2016-02-12,1605
2016-02-13,1605
2016-02-14,1605
2016-02-15,1605
2016-02-16,1605
2016-02-17,1605
2016-02-18,1605
2016-02-19,1605
2016-02-20,1586
2016-02-21,1586
2016-02-22,1586
2016-02-23,1586
2016-02-24,1586
2016-02-25,1586
2016-02-26,1586
2016-02-27,1586
2016-02-28,1586
2016-02-29,1586
2016-03-01,1586
2016-03-02,1586
2016-03-03,1586
2016-03-04,1586
2016-03-05,1586
2016-03-06,1586
2016-03-07,1586
2016-03-08,1586
2016-03-09,1586
2016-03-10,1586
2016-03-11,1586
2016-03-12,1586
2016-03-13,1570
2016-03-14,1570
2016-03-15,1570
2016-03-16,1570
2016-03-17,1570
2016-03-18,1570
2016-03-19,1570
2016-03-20,1570
2016-03-21,1570
2016-03-22,1570
2016-03-23,1570
2016-03-24,1570
2016-03-25,1570
2016-03-26,1570
2016-03-27,1570
2016-03-28,1570
2016-03-29,1570
2016-03-30,1570
2016-03-31,1570
2016-04-01,1570
2016-04-02,1570
2016-04-03,1519
2016-04-04,1519
2016-04-05,1519
2016-04-06,1519
2016-04-07,1519
2016-04-08,1519
2016-04-09,1519
2016-04-10,1519
2016-04-11,1519
2016-04-12,1519
2016-04-13,1519
2016-04-14,1519
2016-04-15,1519
2016-04-16,1519
2016-04-17,1519
2016-04-18,1519
2016-04-19,1519
2016-04-20,1519
2016-04-21,1519
2016-04-22,1519
2016-04-23,1443
2016-04-24,1443
2016-04-25,1443
