date_obj,Adamant%20platelegs%20(t) price
2015-03-26,14222
2015-03-27,14222
2015-03-28,14222
2015-03-29,14222
2015-03-30,14222
2015-03-31,13694
2015-04-01,13694
2015-04-02,13694
2015-04-03,13694
2015-04-04,13694
2015-04-05,13694
2015-04-06,13251
2015-04-07,13251
2015-04-08,13251
2015-04-09,13251
2015-04-10,13251
2015-04-11,13251
2015-04-12,12771
2015-04-13,12771
2015-04-14,12771
2015-04-15,12771
2015-04-16,12771
2015-04-17,12771
2015-04-18,12771
2015-04-19,12371
2015-04-20,12371
2015-04-21,12371
2015-04-22,12371
2015-04-23,12371
2015-04-24,12371
2015-04-25,12371
2015-04-26,12371
2015-04-27,11914
2015-04-28,11914
2015-04-29,11914
2015-04-30,11914
2015-05-01,11914
2015-05-02,11914
2015-05-03,11914
2015-05-04,11502
2015-05-05,11502
2015-05-06,11502
2015-05-07,11502
2015-05-08,11502
2015-05-09,11502
2015-05-10,10961
2015-05-11,10961
2015-05-12,10961
2015-05-13,10961
2015-05-14,10961
2015-05-15,10961
2015-05-16,10961
2015-05-17,10449
2015-05-18,10449
2015-05-19,10449
2015-05-20,10449
2015-05-21,10449
2015-05-22,10449
2015-05-23,10449
2015-05-24,10001
2015-05-25,10001
2015-05-26,10001
2015-05-27,10001
2015-05-28,9629
2015-05-29,9629
2015-05-30,9629
2015-05-31,9629
2015-06-01,9188
2015-06-02,9188
2015-06-03,9188
2015-06-04,9188
2015-06-05,9188
2015-06-06,8755
2015-06-07,8755
2015-06-08,8755
2015-06-09,8755
2015-06-10,8425
2015-06-11,8425
2015-06-12,8425
2015-06-13,8425
2015-06-14,8425
2015-06-15,8345
2015-06-16,8345
2015-06-17,8345
2015-06-18,8345
2015-06-19,8345
2015-06-20,8212
2015-06-21,8212
2015-06-22,8212
2015-06-23,8212
2015-06-24,8212
2015-06-25,8212
2015-06-26,7963
2015-06-27,7963
2015-06-28,7963
2015-06-29,7963
2015-06-30,7963
2015-07-01,7655
2015-07-02,7655
2015-07-03,7655
2015-07-04,7655
2015-07-05,7655
2015-07-06,7407
2015-07-07,7407
2015-07-08,7407
2015-07-09,7407
2015-07-10,7407
2015-07-11,7625
2015-07-12,7625
2015-07-13,7625
2015-07-14,7625
2015-07-15,7625
2015-07-16,7502
2015-07-17,7502
2015-07-18,7502
2015-07-19,7502
2015-07-20,7502
2015-07-21,7320
2015-07-22,7320
2015-07-23,7320
2015-07-24,7320
2015-07-25,7292
2015-07-26,7292
2015-07-27,7292
2015-07-28,7292
2015-07-29,7180
2015-07-30,7180
2015-07-31,7180
2015-08-01,7180
2015-08-02,7180
2015-08-03,6895
2015-08-04,6895
2015-08-05,6895
2015-08-06,6895
2015-08-07,6895
2015-08-08,6582
2015-08-09,6582
2015-08-10,6582
2015-08-11,6582
2015-08-12,6582
2015-08-13,6331
2015-08-14,6331
2015-08-15,6331
2015-08-16,6331
2015-08-17,6227
2015-08-18,6227
2015-08-19,6227
2015-08-20,6227
2015-08-21,6227
2015-08-22,6223
2015-08-23,6223
2015-08-24,6223
2015-08-25,6223
2015-08-26,6223
2015-08-27,6223
2015-08-28,6000
2015-08-29,6000
2015-08-30,6000
2015-08-31,6000
2015-09-01,6000
2015-09-02,6000
2015-09-03,5836
2015-09-04,5836
2015-09-05,5836
2015-09-06,5836
2015-09-07,5836
2015-09-08,5977
2015-09-09,5977
2015-09-10,5977
2015-09-11,5977
2015-09-12,5977
2015-09-13,5889
2015-09-14,5889
2015-09-15,5889
2015-09-16,5889
2015-09-17,5889
2015-09-18,5806
2015-09-19,5806
2015-09-20,5806
2015-09-21,5806
2015-09-22,5806
2015-09-23,5806
2015-09-24,5747
2015-09-25,5747
2015-09-27,5747
2015-09-28,5747
2015-09-29,5747
2015-09-30,5697
2015-10-05,5697
2015-10-06,5697
2015-10-07,5784
2015-10-08,5784
2015-10-09,5784
2015-10-10,5784
2015-10-11,5784
2015-10-12,5986
2015-10-13,5986
2015-10-14,5986
2015-10-15,5986
2015-10-16,5986
2015-10-17,5986
2015-10-18,5888
2015-10-19,5888
2015-10-20,5888
2015-10-22,5888
2015-10-23,5770
2015-10-24,5770
2015-10-25,5770
2015-10-26,5770
2015-10-27,5770
2015-10-28,5558
2015-10-29,5558
2015-10-30,5558
2015-10-31,5558
2015-11-01,5558
2015-11-02,5558
2015-11-03,5558
2015-11-04,5370
2015-11-05,5370
2015-11-06,5370
2015-11-07,5370
2015-11-08,5370
2015-11-09,5370
2015-11-10,5314
2015-11-11,5314
2015-11-12,5314
2015-11-13,5314
2015-11-14,5314
2015-11-15,5314
2015-11-16,5427
2015-11-17,5427
2015-11-18,5427
2015-11-19,5427
2015-11-20,5427
2015-11-21,5427
2015-11-22,5513
2015-11-23,5513
2015-11-24,5513
2015-11-25,5513
2015-11-26,5513
2015-11-27,5513
2015-11-28,5559
2015-11-29,5559
2015-11-30,5559
2015-12-01,5559
2015-12-02,5559
2015-12-03,5662
2015-12-04,5662
2015-12-05,5662
2015-12-06,5662
2015-12-07,5662
2015-12-08,5662
2015-12-09,5812
2015-12-10,5812
2015-12-11,5812
2015-12-12,5812
2015-12-13,5812
2015-12-14,5812
2015-12-15,6076
2015-12-16,6076
2015-12-17,6076
2015-12-18,6076
2015-12-19,6076
2015-12-20,6076
2015-12-21,6349
2015-12-22,6349
2015-12-23,6349
2015-12-24,6349
2015-12-25,6349
2015-12-26,6638
2015-12-27,6638
2015-12-28,6638
2015-12-29,6638
2015-12-30,6658
2015-12-31,6658
2016-01-01,6658
2016-01-02,6658
2016-01-03,6658
2016-01-04,6658
2016-01-05,6773
2016-01-06,6773
2016-01-07,6773
2016-01-08,6773
2016-01-09,6773
2016-01-10,6773
2016-01-11,6823
2016-01-12,6823
2016-01-13,6823
2016-01-14,6823
2016-01-15,6871
2016-01-16,6871
2016-01-17,6871
2016-01-18,6871
2016-01-19,6871
2016-01-20,6804
2016-01-21,6804
2016-01-22,6804
2016-01-23,6804
2016-01-24,6804
2016-01-25,6823
2016-01-26,6823
2016-01-27,6823
2016-01-28,6823
2016-01-29,6917
2016-01-30,6917
2016-01-31,6917
2016-02-01,6917
2016-02-02,6917
2016-02-03,6861
2016-02-04,6861
2016-02-05,6861
2016-02-06,6861
2016-02-07,6861
2016-02-08,6892
2016-02-09,6892
2016-02-10,6892
2016-02-11,6892
2016-02-12,6892
2016-02-13,6906
2016-02-14,6906
2016-02-15,6906
2016-02-16,6906
2016-02-17,6906
2016-02-18,6860
2016-02-19,6860
2016-02-20,6860
2016-02-21,6938
2016-02-22,6938
2016-02-23,6938
2016-02-24,6938
2016-02-25,6938
2016-02-26,6938
2016-02-27,6927
2016-02-28,6927
2016-02-29,6927
2016-03-01,6927
2016-03-02,6927
2016-03-03,6999
2016-03-04,6999
2016-03-05,6999
2016-03-06,6999
2016-03-07,6999
2016-03-08,7045
2016-03-09,7045
2016-03-10,7045
2016-03-11,7045
2016-03-12,6803
2016-03-13,6803
2016-03-14,6803
2016-03-15,6803
2016-03-16,6565
2016-03-17,6565
2016-03-18,6565
2016-03-19,6565
2016-03-20,6404
2016-03-21,6404
2016-03-22,6404
2016-03-23,6404
2016-03-24,6404
2016-03-25,6190
2016-03-26,6190
2016-03-27,6190
2016-03-28,6012
2016-03-29,6012
2016-03-30,6012
2016-03-31,6012
2016-04-01,6012
2016-04-02,6179
2016-04-03,6179
2016-04-04,6179
2016-04-05,6179
2016-04-06,6352
2016-04-07,6352
2016-04-08,6352
2016-04-09,6352
2016-04-10,6528
2016-04-11,6528
2016-04-12,6528
2016-04-13,6528
2016-04-14,6528
2016-04-15,6618
2016-04-16,6618
