date_obj,Dark%20cavalier price
2015-03-26,32562
2015-03-27,32562
2015-03-28,32562
2015-03-29,32562
2015-03-30,31065
2015-03-31,31065
2015-04-01,31065
2015-04-02,31065
2015-04-03,31065
2015-04-04,29641
2015-04-05,29641
2015-04-06,29641
2015-04-07,29641
2015-04-08,29641
2015-04-09,28245
2015-04-10,28245
2015-04-11,28245
2015-04-12,28245
2015-04-13,26969
2015-04-14,26969
2015-04-15,26969
2015-04-16,26969
2015-04-17,26969
2015-04-18,25692
2015-04-19,25692
2015-04-20,25692
2015-04-21,25692
2015-04-22,25692
2015-04-23,24538
2015-04-24,24538
2015-04-25,24538
2015-04-26,24538
2015-04-27,24538
2015-04-28,23424
2015-04-29,23424
2015-04-30,23424
2015-05-01,23424
2015-05-02,23424
2015-05-03,23424
2015-05-04,22339
2015-05-05,22339
2015-05-06,22339
2015-05-07,22339
2015-05-08,22339
2015-05-09,21312
2015-05-10,21312
2015-05-11,21312
2015-05-12,21312
2015-05-13,21312
2015-05-14,20307
2015-05-15,20307
2015-05-16,20307
2015-05-17,20307
2015-05-18,20307
2015-05-19,19380
2015-05-20,19380
2015-05-21,19380
2015-05-22,19380
2015-05-23,19380
2015-05-24,19380
2015-05-25,18490
2015-05-26,18490
2015-05-27,18490
2015-05-28,18490
2015-05-29,17626
2015-05-30,17626
2015-05-31,17626
2015-06-01,16804
2015-06-02,16804
2015-06-03,16804
2015-06-04,16804
2015-06-05,16023
2015-06-06,16023
2015-06-07,16023
2015-06-08,15331
2015-06-09,15331
2015-06-10,15331
2015-06-11,15331
2015-06-12,14661
2015-06-13,14661
2015-06-14,14661
2015-06-15,14661
2015-06-16,14159
2015-06-17,14159
2015-06-18,14159
2015-06-19,14159
2015-06-20,13612
2015-06-21,13612
2015-06-22,13612
2015-06-23,13612
2015-06-24,12968
2015-06-25,12968
2015-06-26,12968
2015-06-27,12968
2015-06-28,12968
2015-06-29,12554
2015-06-30,12554
2015-07-01,12554
2015-07-02,12554
2015-07-03,12276
2015-07-04,12276
2015-07-05,12276
2015-07-06,12276
2015-07-07,12276
2015-07-08,11903
2015-07-09,11903
2015-07-10,11903
2015-07-11,11903
2015-07-12,11903
2015-07-13,11611
2015-07-14,11611
2015-07-15,11611
2015-07-16,11611
2015-07-17,11319
2015-07-18,11319
2015-07-19,11319
2015-07-20,11319
2015-07-21,11319
2015-07-22,10884
2015-07-23,10884
2015-07-24,10884
2015-07-25,10884
2015-07-26,10884
2015-07-27,10590
2015-07-28,10590
2015-07-29,10590
2015-07-30,10590
2015-07-31,10590
2015-08-01,10316
2015-08-02,10316
2015-08-03,10316
2015-08-04,10316
2015-08-05,9945
2015-08-06,9945
2015-08-07,9945
2015-08-08,9945
2015-08-09,9824
2015-08-10,9824
2015-08-11,9824
2015-08-12,9824
2015-08-13,9861
2015-08-14,9861
2015-08-15,9861
2015-08-16,9861
2015-08-17,9959
2015-08-18,9959
2015-08-19,9959
2015-08-20,9959
2015-08-21,9959
2015-08-22,10154
2015-08-23,10154
2015-08-24,10154
2015-08-25,10154
2015-08-26,10154
