date_obj,Crystal%20tool%20seed price
2019-07-24,1000000
2019-07-25,1032351
2019-07-26,1079254
2019-07-27,1129872
2019-07-28,1184241
2019-07-29,1242034
2019-07-30,1302699
2019-07-31,1366202
2019-08-01,1433238
2019-08-02,1503657
2019-08-03,1578840
2019-08-04,1655993
2019-08-05,1737258
2019-08-06,1821595
2019-08-07,1911056
2019-08-08,2004140
2019-08-09,2100475
2019-08-10,2205499
2019-08-11,2312651
2019-08-12,2423973
2019-08-13,2538641
2019-08-14,2660115
2019-08-15,2784585
2019-08-16,2919653
2019-08-17,2919653
2019-08-18,3058119
2019-08-19,3201408
2019-08-20,3201408
2019-08-21,3351914
2019-08-22,3511015
2019-08-23,3511015
2019-08-24,3679589
2019-08-24,3679589
2019-08-25,3679589
2019-08-25,3679589
2019-08-26,3855968
2019-08-26,3855968
2019-08-27,3855968
2019-08-27,3855968
2019-08-28,4038756
2019-08-29,4038756
2019-08-30,4235113
2019-08-31,4235113
2019-09-01,4441436
2019-09-02,4441436
2019-09-03,4655643
2019-09-04,4655643
2019-09-05,4880862
2019-09-06,4880862
2019-09-07,5109510
2019-09-08,5109510
2019-09-09,5357355
2019-09-10,5357355
2019-09-11,5613506
2019-09-12,5613506
2019-09-13,5613506
2019-09-14,5884547
2019-09-15,5884547
2019-09-16,6152923
2019-09-17,6152923
2019-09-18,6449457
2019-09-19,6449457
2019-09-20,6449457
2019-09-21,6759656
2019-09-22,6759656
2019-09-23,7087651
2019-09-24,7087651
2019-09-25,7087651
2019-09-26,7442034
2019-09-27,7442034
2019-09-28,7442034
2019-09-29,7697634
2019-09-30,7697634
2019-10-01,7697634
2019-10-02,7416565
2019-10-03,7416565
2019-10-04,7416565
2019-10-05,7070010
2019-10-06,7070010
2019-10-07,6717546
2019-10-08,6717546
2019-10-09,6390981
2019-10-10,6390981
2019-10-11,6071431
2019-10-12,6071431
2019-10-13,5767859
2019-10-14,5767859
2019-10-15,5479466
2019-10-16,5479466
2019-10-17,5205492
2019-10-18,4957192
2019-10-19,4957192
2019-10-20,4709668
2019-10-21,4709668
2019-10-22,4474891
2019-10-23,4474891
2019-10-24,4251146
2019-10-25,4251146
2019-10-26,4039523
2019-10-27,4039523
2019-10-28,3837546
2019-10-29,3837546
2019-10-30,3645668
2019-10-31,3472151
2019-11-01,3472151
2019-11-02,3298543
2019-11-03,3140723
2019-11-04,2983686
2019-11-05,2983686
2019-11-06,2834501
2019-11-07,2697811
2019-11-08,2567637
2019-11-09,2442267
2019-11-10,2320153
2019-11-11,2204476
2019-11-12,2204476
2019-11-13,2094252
2019-11-14,2094252
2019-11-15,1989539
2019-11-16,1890062
2019-11-17,1890062
2019-11-18,1795558
2019-11-19,1795558
2019-11-20,1705780
2019-11-21,1705780
2019-11-22,1620491
2019-11-23,1543858
2019-11-24,1469142
2019-11-25,1397180
2019-11-26,1327476
2019-11-27,1327476
2019-11-28,1261102
2019-11-29,1261102
2019-11-30,1198046
2019-12-01,1198046
2019-12-02,1138251
2019-12-03,1081338
2019-12-04,1028679
2019-12-05,1028679
2019-12-06,977245
2019-12-07,929484
2019-12-08,886066
2019-12-09,844848
2019-12-10,802605
2019-12-11,763967
2019-12-12,763967
2019-12-13,725768
2019-12-14,692282
2019-12-15,657667
2019-12-16,624783
2019-12-17,593543
2019-12-18,593543
2019-12-19,563865
2019-12-20,535671
2019-12-21,511283
2019-12-22,485718
2019-12-23,485718
2019-12-24,461432
2019-12-25,439788
2019-12-26,439788
2019-12-27,417798
2019-12-28,396908
2019-12-29,396908
2019-12-30,377062
2019-12-31,377062
2020-01-01,363399
2020-01-02,367900
2020-01-03,367900
2020-01-04,376018
2020-01-05,384635
2020-01-06,384635
2020-01-07,383376
2020-01-08,383376
2020-01-09,400520
2020-01-10,416788
2020-01-11,430725
2020-01-12,425866
2020-01-13,425866
2020-01-14,409404
2020-01-15,393191
2020-01-16,377342
2020-01-17,379063
2020-01-18,379063
2020-01-19,387047
2020-01-20,387047
2020-01-21,387083
2020-01-22,373732
2020-01-23,361306
2020-01-24,348049
2020-01-25,348049
2020-01-26,355675
2020-01-27,373459
2020-01-28,391813
2020-01-29,411341
2020-01-30,431909
2020-01-31,453505
2020-02-01,475391
2020-02-02,499161
2020-02-03,524120
2020-02-04,549942
2020-02-05,576700
2020-02-06,566469
2020-02-07,594434
2020-02-08,624156
2020-02-09,653869
2020-02-10,686563
2020-02-11,720892
2020-02-12,756937
2020-02-13,794784
2020-02-14,831776
2020-02-15,831776
2020-02-16,873365
2020-02-17,914795
2020-02-18,959692
2020-02-19,990110
2020-02-20,941873
2020-02-21,941873
2020-02-22,894878
2020-02-23,894878
2020-02-24,850495
2020-02-25,850495
2020-02-26,807970
2020-02-27,807970
2020-02-28,767571
2020-02-29,767571
2020-03-01,729192
2020-03-02,729192
2020-03-03,692732
2020-03-04,692732
2020-03-05,658095
2020-03-06,627884
2020-03-07,627884
2020-03-08,596489
2020-03-09,596489
2020-03-10,566664
2020-03-11,566664
2020-03-12,570970
2020-03-13,570970
2020-03-14,599519
2020-03-15,599519
2020-03-16,629495
2020-03-17,629495
2020-03-18,653192
2020-03-19,653192
2020-03-20,685852
2020-03-21,685852
2020-03-22,720145
2020-03-23,720145
2020-03-24,756153
2020-03-25,756153
2020-03-26,793961
2020-03-27,793961
2020-03-28,833660
2020-03-29,874712
2020-03-30,916949
2020-03-31,916949
2020-04-01,962797
2020-04-02,1010028
2020-04-03,1010028
2020-04-04,1060530
2020-04-05,1060530
2020-04-06,1113557
2020-04-07,1113557
2020-04-08,1169235
2020-04-09,1226409
2020-04-10,1226409
2020-04-11,1287730
2020-04-12,1350338
2020-04-13,1413744
2020-04-14,1481375
2020-04-15,1553559
2020-04-16,1553559
2020-04-17,1631237
2020-04-18,1707166
2020-04-19,1792368
2020-04-20,1792368
2020-04-21,1881987
2020-04-22,1926139
2020-04-23,1926139
2020-04-24,1891710
2020-04-25,1891710
2020-04-26,1805132
2020-04-27,1763724
2020-04-28,1774745
2020-04-29,1774745
2020-04-30,1724496
2020-05-01,1724496
2020-05-02,1638271
2020-05-03,1556357
2020-05-04,1556357
2020-05-05,1478539
2020-05-06,1404612
2020-05-07,1404612
2020-05-08,1383449
2020-05-09,1374055
2020-05-10,1361072
2020-05-11,1361072
2020-05-12,1422299
2020-05-13,1493414
