date_obj,Adamant%20dart price
2015-03-26,145
2015-03-27,145
2015-03-28,141
2015-03-29,141
2015-03-30,145
2015-03-31,151
2015-04-01,157
2015-04-02,161
2015-04-03,169
2015-04-04,176
2015-04-05,172
2015-04-06,170
2015-04-07,164
2015-04-08,162
2015-04-09,165
2015-04-10,169
2015-04-11,173
2015-04-12,178
2015-04-13,183
2015-04-14,191
2015-04-15,200
2015-04-16,200
2015-04-17,191
2015-04-18,184
2015-04-19,177
2015-04-20,174
2015-04-21,172
2015-04-22,165
2015-04-23,158
2015-04-24,162
2015-04-25,168
2015-04-26,170
2015-04-27,166
2015-04-28,163
2015-04-29,163
2015-04-30,164
2015-05-01,172
2015-05-02,180
2015-05-03,183
2015-05-04,178
2015-05-05,175
2015-05-06,173
2015-05-07,173
2015-05-08,172
2015-05-09,172
2015-05-10,169
2015-05-11,167
2015-05-12,162
2015-05-13,161
2015-05-14,160
2015-05-15,164
2015-05-16,166
2015-05-17,171
2015-05-18,175
2015-05-19,177
2015-05-20,177
2015-05-21,178
2015-05-22,177
2015-05-23,175
2015-05-24,173
2015-05-25,173
2015-05-26,171
2015-05-27,171
2015-05-28,173
2015-05-29,176
2015-05-30,175
2015-05-31,172
2015-06-01,169
2015-06-02,167
2015-06-03,167
2015-06-04,163
2015-06-05,163
2015-06-06,160
2015-06-07,158
2015-06-08,159
2015-06-09,162
2015-06-10,166
2015-06-11,166
2015-06-12,166
2015-06-13,162
2015-06-14,163
2015-06-15,163
2015-06-16,163
2015-06-17,163
2015-06-18,164
2015-06-19,162
2015-06-20,163
2015-06-21,168
2015-06-22,169
2015-06-23,170
2015-06-24,170
2015-06-25,167
2015-06-26,166
2015-06-27,164
2015-06-28,163
2015-06-29,164
2015-06-30,167
2015-07-01,171
2015-07-02,175
2015-07-03,182
2015-07-04,191
2015-07-05,195
2015-07-06,192
2015-07-07,185
2015-07-08,189
2015-07-09,191
2015-07-10,191
2015-07-11,192
2015-07-12,189
2015-07-13,184
2015-07-14,180
2015-07-15,177
2015-07-16,175
2015-07-17,173
2015-07-18,174
2015-07-19,177
2015-07-20,174
2015-07-21,168
2015-07-22,166
2015-07-23,165
2015-07-24,167
2015-07-25,169
2015-07-26,172
2015-07-27,171
2015-07-28,173
2015-07-29,169
2015-07-30,165
2015-07-31,165
2015-08-01,166
2015-08-02,163
2015-08-03,165
2015-08-04,163
2015-08-05,164
2015-08-06,171
2015-08-07,177
2015-08-08,182
2015-08-09,187
2015-08-10,194
2015-08-11,198
2015-08-12,193
2015-08-13,186
2015-08-14,180
2015-08-15,175
2015-08-16,173
2015-08-17,172
2015-08-18,168
2015-08-19,165
2015-08-20,165
2015-08-21,161
2015-08-22,158
2015-08-23,156
2015-08-24,156
2015-08-25,154
2015-08-26,156
2015-08-27,156
2015-08-28,156
2015-08-29,157
2015-08-30,159
2015-08-31,155
2015-09-01,155
