date_obj,Watering%20can price
2015-03-26,48
2015-03-27,48
2015-03-28,51
2015-03-29,51
2015-03-30,51
2015-03-31,54
2015-04-01,54
2015-04-02,54
2015-04-03,57
2015-04-04,57
2015-04-05,57
2015-04-06,60
2015-04-07,60
2015-04-08,60
2015-04-09,63
2015-04-10,63
2015-04-11,63
2015-04-12,65
2015-04-13,65
2015-04-14,65
2015-04-15,69
2015-04-16,69
2015-04-17,69
2015-04-18,73
2015-04-19,73
2015-04-20,73
2015-04-21,77
2015-04-22,77
2015-04-23,77
2015-04-24,81
2015-04-25,81
2015-04-26,81
2015-04-27,86
2015-04-28,86
2015-04-29,86
2015-04-30,91
2015-05-01,91
2015-05-02,91
2015-05-03,92
2015-05-04,92
2015-05-05,92
2015-05-06,92
2015-05-07,92
2015-05-08,92
2015-05-09,96
2015-05-10,96
2015-05-11,96
2015-05-12,97
2015-05-13,97
2015-05-14,97
2015-05-15,92
2015-05-16,92
2015-05-17,92
2015-05-18,90
2015-05-19,90
2015-05-20,90
2015-05-21,90
2015-05-22,93
2015-05-23,93
2015-05-24,93
2015-05-25,98
2015-05-26,98
2015-05-27,98
2015-05-28,100
2015-05-29,100
2015-05-30,104
2015-05-31,104
2015-06-01,109
2015-06-02,109
2015-06-03,109
2015-06-04,105
2015-06-05,105
2015-06-06,100
2015-06-07,100
2015-06-08,100
2015-06-09,100
2015-06-10,100
2015-06-11,100
2015-06-12,99
2015-06-13,99
2015-06-14,104
2015-06-15,104
2015-06-16,104
2015-06-17,110
2015-06-18,110
2015-06-19,110
2015-06-20,116
2015-06-21,116
2015-06-22,116
2015-06-23,122
2015-06-24,122
2015-06-25,122
2015-06-26,129
2015-06-27,129
2015-06-28,129
2015-06-29,136
2015-06-30,136
2015-07-01,143
2015-07-02,143
2015-07-03,143
2015-07-04,149
2015-07-05,149
2015-07-06,149
2015-07-07,156
2015-07-08,156
2015-07-09,156
2015-07-10,162
2015-07-11,162
2015-07-12,162
2015-07-13,171
2015-07-14,171
2015-07-15,180
2015-07-16,180
2015-07-17,187
2015-07-18,187
2015-07-19,187
