date_obj,Annakarl%20teleport%20(tablet) price
2015-03-26,3012
2015-03-27,3012
2015-03-28,3012
2015-03-29,2997
2015-03-30,2997
2015-03-31,2883
2015-04-01,2883
2015-04-02,2740
2015-04-03,2740
2015-04-04,2709
2015-04-05,2709
2015-04-06,2661
2015-04-07,2661
2015-04-08,2661
2015-04-09,2685
2015-04-10,2685
2015-04-11,2713
2015-04-12,2713
2015-04-13,2759
2015-04-14,2759
2015-04-15,2866
2015-04-16,2866
2015-04-17,2949
2015-04-18,2949
2015-04-19,3071
2015-04-20,3071
2015-04-21,3071
2015-04-22,3202
2015-04-23,3202
2015-04-24,3096
2015-04-25,3096
2015-04-26,2952
2015-04-27,2952
2015-04-28,2857
2015-04-29,2857
2015-04-30,2804
2015-05-01,2804
2015-05-02,2803
2015-05-03,2803
2015-05-04,2774
2015-05-05,2774
2015-05-06,2694
2015-05-07,2694
2015-05-08,2685
2015-05-09,2685
2015-05-10,2739
2015-05-11,2739
2015-05-12,2876
2015-05-13,2876
2015-05-14,2849
2015-05-15,2849
2015-05-16,2723
2015-05-17,2734
2015-05-18,2734
2015-05-19,2634
2015-05-20,2634
2015-05-21,2634
2015-05-22,2587
2015-05-23,2587
2015-05-24,2664
2015-05-25,2664
2015-05-26,2678
2015-05-27,2678
2015-05-28,2743
2015-05-29,2741
2015-05-30,2813
2015-05-31,2813
2015-06-01,2911
2015-06-02,2911
2015-06-03,2880
2015-06-04,2880
2015-06-05,2751
2015-06-06,2751
2015-06-07,2654
2015-06-08,2654
2015-06-09,2548
2015-06-10,2548
2015-06-11,2437
2015-06-12,2437
2015-06-13,2402
2015-06-14,2481
2015-06-15,2481
2015-06-16,2597
2015-06-17,2597
2015-06-18,2668
2015-06-19,2668
2015-06-20,2650
2015-06-21,2650
2015-06-22,2634
2015-06-23,2634
2015-06-24,2656
2015-06-25,2656
2015-06-26,2752
2015-06-27,2752
2015-06-28,2824
2015-06-29,2824
2015-06-30,2779
2015-07-01,2707
2015-07-02,2707
2015-07-03,2693
2015-07-04,2693
2015-07-05,2741
2015-07-06,2741
2015-07-07,2720
2015-07-08,2720
2015-07-09,2686
2015-07-10,2686
2015-07-11,2642
2015-07-12,2642
2015-07-13,2676
2015-07-14,2676
2015-07-15,2793
2015-07-16,2793
2015-07-17,2912
2015-07-18,2912
2015-07-19,3043
2015-07-20,3153
2015-07-21,3153
2015-07-22,3111
2015-07-23,3111
2015-07-24,2959
2015-07-25,2959
2015-07-26,2811
2015-07-27,2738
2015-07-28,2738
2015-07-29,2696
2015-07-30,2696
2015-07-31,2767
2015-08-01,2767
2015-08-02,2777
2015-08-03,2777
2015-08-04,2804
2015-08-05,2860
2015-08-06,2860
2015-08-07,2924
2015-08-08,2934
2015-08-09,2946
2015-08-10,2960
2015-08-11,3075
2015-08-12,3075
2015-08-13,3006
2015-08-14,2904
2015-08-15,2904
2015-08-16,2798
2015-08-17,2711
2015-08-18,2711
2015-08-19,2648
2015-08-20,2648
2015-08-21,2687
2015-08-22,2767
2015-08-23,2767
2015-08-24,2819
2015-08-25,2819
2015-08-26,2887
2015-08-27,2905
2015-08-28,2905
2015-08-29,2891
2015-08-30,2891
2015-08-31,2789
2015-09-01,2743
2015-09-02,2743
2015-09-03,2739
2015-09-04,2734
2015-09-05,2734
2015-09-06,2772
2015-09-07,2815
2015-09-08,2839
2015-09-09,2839
2015-09-10,2798
2015-09-11,2821
2015-09-12,2821
2015-09-13,2818
2015-09-14,2818
2015-09-15,2791
2015-09-16,2791
2015-09-17,2832
2015-09-18,2832
2015-09-19,2752
2015-09-20,2752
2015-09-21,2736
2015-09-22,2737
2015-09-23,2747
2015-09-24,2747
2015-09-25,2681
2015-09-27,2603
2015-09-28,2542
2015-09-29,2542
2015-09-30,2568
2015-10-05,2631
2015-10-06,2636
2015-10-07,2636
2015-10-08,2564
2015-10-09,2509
2015-10-10,2509
2015-10-11,2505
2015-10-12,2505
2015-10-13,2515
2015-10-14,2515
2015-10-15,2484
2015-10-16,2497
2015-10-17,2497
2015-10-18,2436
2015-10-19,2500
2015-10-20,2500
2015-10-22,2471
2015-10-23,2424
2015-10-24,2424
2015-10-25,2425
2015-10-26,2439
2015-10-27,2439
2015-10-28,2502
2015-10-29,2502
2015-10-30,2501
2015-10-31,2501
2015-11-01,2551
2015-11-02,2551
2015-11-03,2559
2015-11-04,2559
2015-11-05,2498
2015-11-06,2498
2015-11-07,2532
2015-11-08,2532
2015-11-09,2625
2015-11-10,2625
2015-11-11,2607
2015-11-12,2607
2015-11-13,2721
2015-11-14,2721
2015-11-15,2847
2015-11-16,2847
2015-11-17,2925
2015-11-18,2925
2015-11-19,2968
2015-11-20,2968
2015-11-21,2923
2015-11-22,2952
2015-11-23,2952
2015-11-24,2910
2015-11-25,2948
2015-11-26,2948
2015-11-27,2989
2015-11-28,2989
2015-11-29,3026
2015-11-30,3035
2015-12-01,3035
2015-12-02,2930
2015-12-03,2997
2015-12-04,2997
2015-12-05,2980
2015-12-06,2953
2015-12-07,2953
2015-12-08,2884
2015-12-09,2789
2015-12-10,2789
2015-12-11,2775
2015-12-12,2775
2015-12-13,2709
2015-12-14,2709
2015-12-15,2647
2015-12-16,2558
2015-12-17,2558
2015-12-18,2481
2015-12-19,2481
2015-12-20,2479
2015-12-21,2479
2015-12-22,2570
2015-12-23,2650
2015-12-24,2650
2015-12-25,2732
2015-12-26,2732
2015-12-27,2846
2015-12-28,2846
2015-12-29,2911
2015-12-30,2779
2015-12-31,2779
2016-01-01,2757
2016-01-02,2757
2016-01-03,2881
2016-01-04,2920
2016-01-05,2804
2016-01-06,2847
2016-01-07,2847
2016-01-08,2805
