date_obj,Dragon%20pickaxe%20upgrade%20kit price
2015-03-26,140236
2015-03-27,140236
2015-03-28,140236
2015-03-29,140236
2015-03-30,140236
2015-03-31,140236
2015-04-01,140236
2015-04-02,133989
2015-04-03,133989
2015-04-04,133989
2015-04-05,133989
2015-04-06,133989
2015-04-07,133989
2015-04-08,132074
2015-04-09,132074
2015-04-10,132074
2015-04-11,132074
2015-04-12,132074
2015-04-13,128436
2015-04-14,128436
2015-04-15,128436
2015-04-16,128436
2015-04-17,128436
2015-04-18,128436
2015-04-19,128436
2015-04-20,128436
2015-04-21,125141
2015-04-22,125141
2015-04-23,125141
2015-04-24,125141
2015-04-25,125141
2015-04-26,125141
2015-04-27,125141
2015-04-28,119433
2015-04-29,119433
2015-04-30,119433
2015-05-01,119433
2015-05-02,119433
2015-05-03,119433
2015-05-04,119433
2015-05-05,114405
2015-05-06,114405
2015-05-07,114405
2015-05-08,114405
2015-05-09,114405
2015-05-10,114405
2015-05-11,114405
2015-05-12,114405
2015-05-13,111222
2015-05-14,111222
2015-05-15,111222
2015-05-16,111222
2015-05-17,111222
2015-05-18,111222
2015-05-19,111222
2015-05-20,111222
2015-05-21,106391
2015-05-22,106391
2015-05-23,106391
2015-05-24,106391
2015-05-25,106391
2015-05-26,106391
2015-05-27,106391
2015-05-28,106844
2015-05-29,106844
2015-05-30,106844
2015-05-31,106844
2015-06-01,106844
2015-06-02,104339
2015-06-03,104339
2015-06-04,104339
2015-06-05,104339
2015-06-06,104339
2015-06-07,99162
2015-06-08,99162
2015-06-09,99162
2015-06-10,99162
2015-06-11,99162
2015-06-12,99162
2015-06-13,94715
2015-06-14,94715
2015-06-15,94715
2015-06-16,94715
2015-06-17,94715
2015-06-18,94010
2015-06-19,94010
2015-06-20,94010
2015-06-21,94010
2015-06-22,94010
2015-06-23,94010
2015-06-24,89387
2015-06-25,89387
2015-06-26,89387
2015-06-27,89387
2015-06-28,89387
2015-06-29,89387
2015-06-30,88049
2015-07-01,88049
2015-07-02,88049
2015-07-03,88049
2015-07-04,88049
2015-07-05,88049
2015-07-06,83704
2015-07-07,83704
2015-07-08,83704
2015-07-09,83704
2015-07-10,83704
2015-07-11,83704
2015-07-12,85012
2015-07-13,85012
2015-07-14,85012
2015-07-15,85012
2015-07-16,85012
2015-07-17,89095
2015-07-18,89095
2015-07-19,89095
2015-07-20,89095
2015-07-21,89095
2015-07-22,93017
2015-07-23,93017
2015-07-24,93017
2015-07-25,93017
2015-07-26,93017
2015-07-27,93017
2015-07-28,96771
2015-07-29,96771
2015-07-30,96771
2015-07-31,96771
2015-08-01,96771
2015-08-02,92905
2015-08-03,92905
2015-08-04,92905
2015-08-05,92905
