date_obj,Arcane%20prayer%20scroll price
2017-01-27,35452693
2017-01-28,37225328
2017-01-29,38978918
2017-01-30,40823002
2017-01-31,42744528
2017-02-01,44881755
2017-02-02,47047809
2017-02-03,49362124
2017-02-04,51830231
2017-02-05,54258916
2017-02-06,56823731
2017-02-07,59513791
2017-02-08,62489481
2017-02-09,65613956
2017-02-10,66037053
2017-02-11,65303681
2017-02-12,65499069
2017-02-13,68717925
2017-02-14,69027445
2017-02-15,65736827
2017-02-16,63142686
2017-02-18,57262958
2017-02-19,54399810
2017-02-20,51726315
2017-02-21,51638556
2017-02-22,53680973
2017-02-23,54855336
2017-02-24,52350352
2017-02-25,53007296
2017-02-26,55507136
2017-02-27,53843818
2017-02-28,51456147
2017-03-01,49016585
2017-03-02,46687491
2017-03-03,44772994
2017-03-04,44029267
2017-03-05,41917863
2017-03-06,43728150
2017-03-07,45866927
2017-03-08,45571009
2017-03-09,45873156
2017-03-10,43994635
2017-03-11,42099026
2017-03-12,40377557
2017-03-13,40146801
2017-03-14,39535825
2017-03-15,38757676
2017-03-16,37212888
2017-03-17,36779435
2017-03-18,37208884
2017-03-19,36725146
2017-03-20,36256352
2017-03-21,36945911
2017-03-22,37225675
2017-03-23,38714924
2017-03-24,38522886
2017-03-25,38522886
2017-03-26,38337451
2017-03-27,39621746
2017-03-28,39639748
2017-03-29,39534457
2017-03-30,39792658
2017-03-31,41341191
2017-04-01,40676550
2017-04-02,41830297
2017-04-03,40897165
2017-04-04,39848245
2017-04-05,38955216
2017-04-12,36248372
2017-04-13,35568411
2017-04-14,35549919
2017-04-15,35479745
2017-04-16,35247163
2017-04-17,34278809
2017-04-18,33842360
2017-04-19,33842018
2017-04-20,33187502
2017-04-21,31808091
2017-04-22,31217019
2017-04-23,30798745
2017-04-24,30556598
2017-04-25,29386178
2017-04-26,28090309
2017-04-27,27991304
2017-04-28,27801731
2017-04-29,27115282
2017-04-30,27334750
2017-05-01,28083233
2017-05-02,29361953
2017-05-03,30182612
2017-05-04,31224362
2017-05-05,31618203
2017-05-06,30374391
2017-05-07,29315859
2017-05-08,29076945
2017-05-09,29538755
2017-05-10,30030404
2017-05-11,29796673
2017-05-12,30261187
2017-05-13,29858646
2017-05-14,29536700
2017-05-15,29337938
2017-05-16,29108286
2017-05-17,28553325
2017-05-18,28301550
2017-05-19,28167740
2017-05-20,28176235
2017-05-21,28291673
2017-05-22,28503392
2017-05-23,28674845
2017-05-24,29269019
2017-05-25,28653449
2017-05-26,27542487
2017-05-27,27280556
2017-05-28,26450164
2017-05-29,25571382
2017-05-30,25351183
2017-05-31,24610589
2017-06-01,23949472
2017-06-02,22753224
2017-06-03,21615562
2017-06-04,20583934
2017-06-05,20693213
2017-06-06,21322434
2017-06-07,20544748
2017-06-08,20178153
2017-06-09,20163857
2017-06-10,20079174
2017-06-11,19518262
2017-06-12,18601240
2017-06-13,18954385
2017-06-14,19847964
2017-06-15,19711290
2017-06-16,19912303
2017-06-17,19874648
2017-06-18,19965498
2017-06-19,19965498
2017-06-20,19383162
2017-06-21,19119961
2017-06-22,18863629
2017-06-23,18483114
2017-06-24,18023010
2017-06-25,17243232
2017-06-26,17050500
2017-06-27,16395936
2017-06-28,15764162
2017-06-29,16265571
2017-06-30,16085780
2017-07-01,16347462
2017-07-02,16453326
2017-07-03,16947542
2017-07-04,17178713
2017-07-05,17178713
2017-07-06,17260803
2017-07-07,17114562
2017-07-08,17192831
2017-07-09,17566117
2017-07-13,17613585
2017-07-14,17561266
2017-07-15,17458274
2017-07-16,17261929
2017-07-17,17120224
2017-07-18,17011578
2017-07-19,16676719
2017-07-20,16333368
2017-07-21,15805425
2017-07-22,15507766
2017-07-23,15195567
2017-07-24,14950801
2017-07-25,14700240
2017-07-26,14477232
2017-07-27,14533293
2017-07-28,14864765
2017-07-29,15196585
2017-07-30,15519646
2017-07-31,15796413
2017-08-01,15516402
2017-08-02,15331147
2017-08-03,14987391
2017-08-04,14858169
2017-08-05,14860376
2017-08-06,15521175
2017-08-07,16090965
2017-08-08,16507279
2017-08-09,16530971
2017-08-10,16158775
2017-08-11,15460207
2017-08-12,15394077
2017-08-13,15647847
2017-08-14,16295001
2017-08-15,16197469
2017-08-16,16267997
2017-08-17,16126549
2017-08-18,16070716
2017-08-19,15943742
2017-08-20,15762373
2017-08-21,15356379
2017-08-22,15193732
2017-08-23,15054846
2017-08-24,15080977
2017-08-25,15118402
2017-08-26,15102867
2017-08-27,14964008
2017-08-28,15001431
2017-08-29,14931231
2017-08-30,14861466
2017-08-31,14881384
2017-09-01,14983920
2017-09-02,15126577
2017-09-03,14865979
2017-09-04,14798956
2017-09-05,14634585
2017-09-06,14539917
2017-09-07,14999120
2017-09-08,15746308
2017-09-09,15756926
2017-09-10,15230705
2017-09-11,14830851
2017-09-12,14709278
2017-09-13,14603750
2017-09-14,14497706
2017-09-15,14497706
2017-09-16,14450951
2017-09-17,14428605
2017-09-18,14426123
2017-09-19,14622988
2017-09-20,15102131
2017-09-22,15299919
2017-09-23,15167576
2017-09-24,15164301
2017-09-25,15297270
2017-09-26,15095553
2017-09-27,14956197
2017-09-28,14344502
2017-09-29,13851018
2017-09-30,13397339
2017-10-01,13205969
2017-10-02,13054328
2017-10-03,12870771
2017-10-04,12810793
2017-10-05,12884642
2017-10-06,12696570
2017-10-07,12063965
2017-10-08,11744596
2017-10-09,12023013
2017-10-10,12189972
2017-10-11,12189972
2017-10-12,12327551
2017-10-13,12583024
2017-10-14,12573205
2017-10-15,12580859
2017-10-16,12694276
2017-10-17,12694276
2017-10-18,12357452
2017-10-19,12020663
2017-10-20,11827755
2017-10-21,11778168
